钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
ArwA4hci9Xz2YqAwFLWwXM2RGQJ7hiW21baCQgX4tJrV,,,,,,0.079676737468174,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
BnVhzFpqGS6GR5uhznj7zLUiU2wJz8YwxBb9hQJGtxBL,,,,,,0.002606670882224,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
AZR1frvwE2GdSstnNocgyv9zjS1RyNAKnnL7XxGxSngU,,,,,,0.002605384081887,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9QLj9m7sgG2qmwJmkzzfugmiJ5RHq8jb6DshPWPypcsL,,,,,,0.0026021551739830004,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
BrBB8V8bVjmm1u8NuN3YqRYSQX2FBC8YUMitkjW38TkL,,,,,,0.002590933194424,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
2WwiHuQ2bLvDSAz9kXZkDuLJVjY5dHgzDFKEwUSeDwut,,,,,,0.002570817314261,0.039830633432492275,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FY3xAJLgA3FEbfjhVfMZJNL1rKFW8wDmCx6QbSckzxnQ,,,,,,0.002525073441353,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
E7rBEbessEZmaBxNTCJEd8Qxpyd7u83Ch1BkYT1hRXvv,,,,,,0.002521418476398,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9sYt219SYGHyod7drQ2quzwHCBiaAkYrNH3qZTnmH84V,,,,,,0.002502573715808,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
A9StS6hVZ3EtXkaU9pb97DUTYVQ4k4KMjmsVfM2j6kYb,,,,,,0.002437333550615,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
6xDu9NYWz1YNjKYAEyRV2z6w3J4qF4gBTMgA118Gz4T6,,,,,,0.002436934503654,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
5yefCn25jnFop9AvEPtXMPYN23Ems7Wg2JeSP8MNq3vZ,,,,,,0.002429273294246,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
CHHUaJ9iPubQyHjWeynYq8nrsMuQAWLuWsaihpdvohtL,,,,,,0.002415208223983,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
BeKrTA1WmYhKBJ6uATMva4v9GkFuH3JSbrKdottYf8TU,,,,,,0.002404175709224,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
