钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
8Lzxj7G4wCKRwLvYe86eFK3jSy42dGWKPCpZWuQGnHG2,,,,,,0.073581531707853,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HQRQQwFhGu2vcGjwASd649WJwZgGE7UWtRcQyACugL6M,,,,,,0.010337820467346999,0.5794944339062004,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
JB9o5TUPxpKhVgeEVhjcDYos6Jq8QCykASHT3cMg9xsi,,,,,,0.0072412892669289994,0.16663090824529214,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
Gc7JV9dxUGXu8LsRen6ZFYDxzyp6A8XT5RZpBxY5pfmc,,,,,,0.007117585852372,0.6563718723047843,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
3NZAx3pBHZs1qDTFqkZfmBFAmw5rvVvaqgciufwfdP26,,,,,,0.006759248119854001,0.5578726608231817,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HaBoBXAbaMKUyFCS7qTtT4jA6ngqcrYc1HGtJygbqN9Y,,,,,,0.003952755004124,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GZ855aMMZYHeHTxioe8TkYzNWZpApo8Hi7sPRHyXci3K,,,,,,0.003656144945774,0.6056579730269929,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
GQVGXaFozLzzmEwFLnjYWm2Y6efErgTGwgQMUdbra4Vy,,,,,,0.002565919813364,0.8161862250439021,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders
DtA6K4PwVXtyzF8QEgCEvJf5uzRn9ZVFhVDU8XtgKyAu,,,,,,0.002488087708487,0.8741464720828117,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
J7Ucv2oaya9FeM5Lo2Y94W3WiAmL9G7EFkbiVTuGvnQG,,,,,,0.002449274554416,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9Rr6ghsqPbXF4AbPL9G1pkRjhX3qkrw1wbbZ8cs5DbQT,,,,,,0.002138874171367,0.7005133828327704,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders
EkR51R4DfUUmba823LiLJEeErodkkpd8akdPbTnNRmAH,,,,,,0.002134918069508,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HgfRK2sTHbfWYGBw7SH6JREqkyCYr2EqYcG2kYAoJJ6P,,,,,,0.00208229337659,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9imykV5FdxtAHkUGJRg8cwMejBwa3dSV27so5U7CUkDM,,,,,,0.002057656807491,0.5896620421098544,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
Hnd8Sohcbw1TSbjgTpZwKCaegMwwMxbj9X8gMYVbqwYW,,,,,,0.002017783053432,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
E9qwgwacKoiMveLzzbSQ1V3LQxvbRkfAmrPFEX9AmYtp,,,,,,0.0019797165647189997,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GYf9zXjb6Xk6qjuKvPft1DRjaDQZa4Lv9mxRhEk392NV,,,,,,0.0019739537471360003,0.37412861691041827,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GiuaZuVX7661iYnBVojrZv6pmafX9tzh6yBojc4fCMM4,,,,,,0.001961250785515,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
7i1nBmiyaN6TtSvv7DqjsbeWBYN5JxDyjAdVXhHMwQex,,,,,,0.0019571951490289998,0.592905257289461,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
ErEAMs12wxmWaS5A885Srr6698c8Cbtoj7UQvYDdLUGa,,,,,,0.001948353449063,0.2710073571886574,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DpUcxfQ1X1tnvvk2MeGfaBni5aAxBVeD9xproqKn7PgN,,,,,,0.001934759116219,0.5605711200529765,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
CuU39KoKiRaG4s2BvS9TxdorfeY8rgeNpXQ3kJKaxvDE,,,,,,0.001921101592741,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FbfeaH9Pd2bTqddYRwKC8ypBTmD7LRoASAcprpjA8o8p,,,,,,0.001906369374888,0.28132678278593115,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FJrxrXD5RodUVrbiJKSUZ29VEsqJ6t4uY9BVAoV5Bbk8,,,,,,0.001902573901016,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GHTqLZVQYajYMAGcg7SwPqADhmA5qtpVkb7434Uwzx8Q,,,,,,0.00189080235889,0.757787662741834,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders
EbPNkfX6hWmFVV5vF6X7myKkNv6eWpswUnFiVULYePSe,,,,,,0.001885301282641,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:holders_bundler
DEj1B44eAVPbFGfCdF5eF8Ujoe38dRuGAd5CQMXEbGuQ,,,,,,0.001878567239819,0.4893328842510226,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HqEwrm7t8s1KcS7UFReCKMxrPMf6f69fcUQJDztSj2Tc,,,,,,0.001863783452626,0.36148193043450305,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DsmdvG3MndkWnw7nPpnWXQiAyz845iUGn28H3SNFSSUm,,,,,,0.001862869103679,0.9208110448290177,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
G6U3Q57Ta6gRSPV2qXHu34YuhV1nYf5VBVU7dj9nFnGs,,,,,,0.001853439335325,0.3867535983085456,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
CSQAjaH2QC5G8g2qo23DFNJeDHko3pqUegeusMDutrXa,,,,,,0.001841804568424,0.5352228948410723,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DFo1iFEP4V4u2vfTJmqveRGoaD9rqQFAueSmMQ5rDTV8,,,,,,0.001823618262539,0.30743227604263434,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DzfDtdrE2FMAh8jFu1PjQfu5YXJ2xGA3zHaoshRCwMur,,,,,,0.001788732564373,0.8520781527602539,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders
HKEsrnrtsigMcJAsQMk5C2tHoVLRiRwkY8ga2JoCU99d,,,,,,0.0017841939485259998,0.212753598349115,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HJaXVswxCdMA5uEhK2VHPCczscwTa64WW3iJ1JApJEa8,,,,,,0.001770422549037,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
BvTD7vzjCz7NSFJPWURf1gP6QS1Et5GGC1uLiK5QV7Py,,,,,,0.0017637976942420002,0.46562478087605214,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
8TiYDCdMxVWX1x1w63muzXJqAkvEYF1r3tHXt9WtC4W9,,,,,,0.001749002183112,0.8048248763085486,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders
CgMfFUVnk1coxBDsa9myH7UWjDCeFoCrCScYy9eeU1ui,,,,,,0.0017472896588850001,0.594871089263465,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
GN2gHk2s7o4ZGGQLXueao5qptoa5Z6s9Fj3CumhjNSxk,,,,,,0.0017196959436389999,0.16703148228929623,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
Bu9b9i2ijWnLGy6iLvyW9j1en5FWvxY6NwEqm3qWziuh,,,,,,0.001715142388073,0.3351659795725385,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
G4WWWuue6y9tzymnH8xdc9QHvtmgXv2qkSac9SerY2Cu,,,,,,0.0016922876314340001,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FQj2rAX2dHk4kGKfr9VVQ6Msf1k5oeCJ4eYumM3691XG,,,,,,0.001672060606409,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GYxUD5VKQeECGHXBAW1vgE88zi2Qx2Mehnx8BpCsx571,,,,,,0.001658859424484,0.5137815871378619,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HU4KvZrtxX6gA4dtWFKtQzwDmwaHYA36SG2r5CQraBKG,,,,,,0.001644466426191,0.36358856171221504,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GaUodRFZw9MLxQ7ZLg1CmNdL7skf5zzHbVwAFmX2Gxca,,,,,,0.001643888550768,0.36037370160170246,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GXTYrNSxndaFYpn9DCqeoFX7BgbmuuTZyZziv8DBFM2q,,,,,,0.001641998219214,0.25106397160209215,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
HiFeFPHdvs3WTydKLPKxVmgRbZmvGq3FJA3XKewmzrRE,,,,,,0.0016419244002129998,0.23846367765939488,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DG4sXhGvbuSCTtqVAwJ85frHwu3G75LLtVrkts39iHiA,,,,,,0.001631696967994,0.6476272336965385,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
CtGQzxyCta1dPZPwU85kADR76KgrfG5nYET7nRd62Mw7,,,,,,0.0016268497842290002,0.20986542445741718,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
EDxZBmra3817h3UxnterN9faEk6YBvRBqcjbjvpuvZdL,,,,,,0.001616168343649,0.21824318670191326,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FFkVoaExUpxBL5W3czmrv6YRg48SKzWyAw8SqpnyegMi,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,gmgn:token_traders
4DF672X9RZVmUkezUw14kdMFRg6h3xL7cvCeoUiYwnV8,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,gmgn:token_traders
7AjcWTN6Tf27CjHzAupAyc8z1eWNxm2VvwQ5PhshpUpx,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,gmgn:token_traders
9YsWuA2whhkfypTDv2RsakpE4cbtYebQKHbVz59u8hmF,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,gmgn:token_traders
FMJLwLWAKMsXYd4jkyjLm56tmBPPaHHCtN9cLvx951z9,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
5AH9N5nofgFt1ABmjyPL59vhCK1XE3JUobhhEykjXDUw,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,gmgn:token_traders
GCwR8KQUrcNzHYKdfGLUeRovvdKXighddMXk2YXsjCKh,,,,,,0.0016020365609480001,0.9254097623215884,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
25JbXuWfgXycPZhxpUqJN8uFmE6RapRdYv2hCS5US4Sy,,,,,,0.0009292116292909999,0.9780385390643699,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
4d1X6irYEwZbyviGqspJnAhbgHYi2KfkBSHYKXNcobVN,,,,,,0.0005270916514599999,0.9842020712940867,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
5GBmjoBXusQLsvfPiLr7U6XseAiu8cs2TuVfJXB1FBm1,,,,,,0.000752025323655,0.9480185031744605,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders;gmgn:holders_bundler
BM13sAmkJdESsqi3HKAAYZ6LFfWZxuv8AnrQofHrsWTW,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
E2iV9hnb8i9J9ktRPL9YHCEXobhHUs7cMosAWzhZ6ogo,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
3uBHRapKAL5nuFdrifPXVhSgGJezRMqgmmxr44qKiCbH,,,,,,0.0009363821425410001,0.9576331473420475,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
DQP2Nam2rsrBgC9tLtz1xr9sCFLQ7ZuDcYDBnrhXTjTA,,,,,,0.00132077101628,0.870915730283943,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
CftPWzrT1KH3i7NK9XQGbfRGMnCQAjRiHhmi8T8UtMS,,,,,,0.000490372172924,0.9793276432645522,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_traders
