钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
4dZoyjAdqWBhPaMdqTvfAw5spQpevTfrzEzieSiDqTEK,,,,,,0.06939453591095801,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9MZfdvZrhMgsDxHzn1BvttkqNeNyQNgtbtcvkW6kRxS5,,,,,,0.008109733187693,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
6pbwrwiBm7FgmpnrPkLpZvSC1DkjjWzuNQKx3h5RJFVj,,,,,,0.005635514205854,0.7871939513183829,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,gmgn:token_holders;gmgn:token_traders
E2iV9hnb8i9J9ktRPL9YHCEXobhHUs7cMosAWzhZ6ogo,,,,,,0.00537255835073,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
FMJLwLWAKMsXYd4jkyjLm56tmBPPaHHCtN9cLvx951z9,,,,,,0.005283891035518,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DsmdvG3MndkWnw7nPpnWXQiAyz845iUGn28H3SNFSSUm,,,,,,0.004208615789537,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
Gq8zguHtsZrg2dMBZt7ZmHX9FkFnA2uze1hC73goEAA9,,,,,,0.004188495448373,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
3W73sF1mHpgbFPTSEF14Wkrd758LrF8CS88SfFgG4YLd,,,,,,0.0041759969627720005,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
4wMEoGQSRiBp885rRSDAEmMoAcgtYbpude7bfERD7Y7v,,,,,,0.003804908215785,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
DQP2Nam2rsrBgC9tLtz1xr9sCFLQ7ZuDcYDBnrhXTjTA,,,,,,0.003735195949513,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
7JPitNTSYWT1nMMCjDx4KPJCT8ATnJmLjrMaye2qJQcq,,,,,,0.003690195779083,0.049999999999987124,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
JCjzSAQZWxYcChWgQXRV8Q6jf83eYLkRMv1TjE3HSi6m,,,,,,0.003444167498703,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
CzernvhZ7XzaqDqDtQ2yGaQpgnNfMbn2cy5vjeot6QHc,,,,,,0.003185285241895,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
6rwuzoduUpiyR6RG46ymLsx3SM6z5KugBdcmDMTconA,,,,,,0.003126016810192,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
GQVGXaFozLzzmEwFLnjYWm2Y6efErgTGwgQMUdbra4Vy,,,,,,0.002940655311943,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
9gXSkK5HSsN868uLw5WKncFXMd5ThS6MB1R8ABo9sKdx,,,,,,0.002940070506409,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
Ah1W3PG5o3Aww2SmNd1ZLWiUSmcxopjxWLDVDQb7MoMB,,,,,,0.0029280602289530003,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
7i1nBmiyaN6TtSvv7DqjsbeWBYN5JxDyjAdVXhHMwQex,,,,,,0.002872040170671,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
46nnxR9AAviVvpYxEc3YhcCs8WgKzg2vBoPJ3p1TJg7t,,,,,,0.002830235753485,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
6N2gAw1tQu8KXWfEBB3WYH6qZXvSEqJpfW1nnkZMFeta,,,,,,0.002761797877067,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
5hRhN4pJvXmEUp1zS3Yeo8KHDKA8WNsweTThM8Se6srH,,,,,,0.002725063705153,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
7o3pFdcjikSinqG3XCT2EA1PcLVSJ16h93vQnv7x3V2x,,,,,,0.002719720800747,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
4JJ8rHP8Qu2PZtEjLSamrF1vjekmPaYBxVAWzvZCiQAk,,,,,,0.0026990101240739997,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
34uVLL3zWcGy78sbrjaTuHoDvXyrYtr2RJY8nnaC4geG,,,,,,0.002691040203998,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
74FiBZbAvtvohMXnvskHiqrx8Ng1xJK5zyxLcfL1cBZp,,,,,,0.002686604407746,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,gmgn:token_holders
