扫描时间,来源分类,代币符号,代币名称,代币地址,创建时间戳,开盘时间戳,总供应量,发射平台,筛选等级,风险动作,是否进入候选池,当前市值USD,流动性USD,24H成交额USD,24H净买入USD,24H交易数,24H买笔数,24H卖笔数,Top10持仓率,Dev持仓率,rat异常占比,bot占比,鲸鱼持仓率,Dev发币数,Smart钱包数,KOL人数,新钱包比例,狙击钱包数,捆绑交易占比,Rug风险,结构加分,通过条件,排除原因,下一步动作
2026-05-02T05:00:01Z,completed,NKT,Narcissist King Trump,iBcavzgHdvaHHEM6Tdm9UsRqEJu2iQRac3cjinbpump,1777680781,1777680781,999999999,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,1099514.73383457,87221.88864674,3207796.78518493,54781.66009616,21889,11990,9899,0.0811,0,0,0.0425,0,1,1,0,0.4436,10,0.0415,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,UNIPUMP,Unipump,9KrdYnHHrsWYpWMxyzbmmrjcXRr7ERWpB3byNeb1pump,1777658679,1777660475,999992353,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,322108.25993865,48981.73767295,2147076.49088161,30899.71058684,29623,16466,13157,0.2008,0.0054,0.0008,0.2012,0,1,13,8,0.1057,24,0.2656,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,lolcat,lolcat,F8R8VWgiKHvpEh13DFtKsk5PSN7vMzzvP5mmLLUspump,1777568093,1777644465,999999970,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,110203.11971223,26322.54001853,506318.42270505,12110.84911439,7446,4063,3383,0.2399,0,0,0.3161,0,3,7,0,0.2772,9,0.2027,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,AALIEN,Anon Alien,ARea51UmRfn22Ds7KwFZirSMEEn1gtBdrhW4zLeveeV1,1777562822,1777564934,999999746,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,234700.17133813,39433.50736323,608416.88458518,11673.61458575,43819,29768,14051,0.3003,0.0342,0,0.2283,0,1,3,0,0.1889,15,0.1376,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；新钱包比例有结构痕迹；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,HIIE,Hyper Intelligent Innovations AI,AKKAPZBnJnzfE83DspsBSoqGSMwa2haFvoEJj1qzdrmk,1777300280,1777447979,992762635,meteora_virtual_curve,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,99690.01348962,30707.15700461,174926.02968476,8231.91424818,1482,792,690,0.2787,0.038,0,0.1972,0,2,5,3,0.0331,12,0.0305,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,1000x,1000x,C1FjBybKVyatJcJ8JDd7VunSjVkmsb3m1p6q3qvHpump,1777412912,1777414203,999993274,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,130002.724882,31047.2835106,180116.62861475,6151.21773758,2475,1306,1169,0.2227,0,0.0001,0.2672,0,1,16,4,0.0557,21,0.0982,0,4,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,SCRIBBELON,Scribbelon,9EZ8N5ukVzSQJGu2K38f1ZydTK6JrqCx57j8yTipump,1777667108,1777667108,999999971,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,91101.70007894,27176.85979623,5356882.06427365,34215.60539689,76666,56041,20625,0.0378,0,0,0.0056,0,1,2,0,0.0005,19,0.0597,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,freetrump,free trump,FYLdHidVxz373JdKwq8F5oFi7cn5eQFF997QrtnZpump,1777680691,1777680691,999999077,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,233899.22473714,40024.3415941,1251530.66318541,25680.26095452,35016,27938,7078,0.0268,0,0,0.0019,0,1,1,0,0.0001,6,0.0358,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,UNITED,UNITED,LzxN1DNn3qNdLw7VKYvxBqvWMY45rhTeq4KoytyLUSA,1777478487,1777478499,999997129,meteora_virtual_curve,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,409530.7802982,103003.855838,600433.53661914,21614.40280885,5077,3128,1949,0.0867,0.005,0,0.0761,0,1,13,3,0.0241,13,0,0,3,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；Smart钱包>=1；KOL人数>=1；存在狙击钱包；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
2026-05-02T05:00:01Z,completed,GRUMP,Goblin Trump,21EZ83KVV3YqhXiAuEwsWsUF8C2EkNVZC3ejV29Hpump,1777671555,1777671555,999999094,Pump.fun,S3_进入SIKK结构分析,ALLOW_ANALYSIS,是,1018517.57046105,85733.62298687,2910291.76724979,54169.36455272,79200,66690,12510,0.0329,0,0,0.0002,0,1,0,0,0.0006,13,0.0598,0,2,市值达标；池子/流动性达标；24H成交额达标；24H净买入达标；24H交易数达标；24H买笔数达标；24H卖笔数达标；Top10持仓率达标；Dev持仓率达标；rat异常占比达标；bot占比达标；鲸鱼持仓率达标；Dev发币数达标；Rug风险达标；存在狙击钱包；存在捆绑交易痕迹；净流入为正,无,拉取K线与 holders/traders；进入吸筹窗口与钱包结构分析
