钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
DXBmKH1twSor4Zpb8boc725RvMaPFkMpM8DnLY9iLF8p,,,,,,0.16001535500835215,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ARzPbcnTJTetxXRi5DNBoEi7b2DgguM9kWLxWRJVZUMP,,,,,,0.029836952335117652,0.1445293296138883,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
J1quW5i6LKCA6yHrq6EXfDNcQhnTHGgjzE8d9Um4N8kR,,,,,,0.024237152776450728,0.36323190965587787,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
63QwbUd4UBH7iXb42CH72kmaxFMSzLtFPctgj9b2uqC9,,,,,,0.022974494530862366,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3,,,,,,0.02031548735445781,0.37119999999998216,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AhMA3DC95h8NfRz26f7y6ZYUTXEFPwHfh2SDSAHMQtJe,,,,,,0.02005355932528985,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8JunCCKCYyQ9UwYQg83V1djEoGKwE2V7Wz5xwYP6KXuV,,,,,,0.01828152521416808,0.4566128613917195,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FfLCJfZVSJ3iBLpy38tZbXSvHGHUjJH1pFzfUcF9LuL8,,,,,,0.018030935804975667,0.7009637847585068,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,,,,,,0.01736900461917524,0.5214089717075414,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9oC7hJhsfCJy1BJe4vUQxmHuhzdHJNkAS1z46VTvj2Kc,,,,,,0.0162289588321707,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
