address,gmgn_note,reason,action
DXBmKH1twSor4Zpb8boc725RvMaPFkMpM8DnLY9iLF8p,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.16001535500835215；sell_ratio=0.0,risk_watch
ARzPbcnTJTetxXRi5DNBoEi7b2DgguM9kWLxWRJVZUMP,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1719.8018207544662；hold=0.029836952335117652；sell_ratio=0.1445293296138883,risk_watch
J1quW5i6LKCA6yHrq6EXfDNcQhnTHGgjzE8d9Um4N8kR,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bullx,top_holder；profit=424.12976810570547；hold=0.024237152776450728；sell_ratio=0.36323190965587787",risk_watch
63QwbUd4UBH7iXb42CH72kmaxFMSzLtFPctgj9b2uqC9,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,padre,fomo,top_holder；profit=763.8911688404094；hold=0.022974494530862366；sell_ratio=0.0",risk_watch
HF2Lw2tYs4B3y1iqz6iw2f4wTjrn14KppvAezcm7TAT3,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=trojan,top_holder,bundler；profit=1134.9070859084495；hold=0.02031548735445781；sell_ratio=0.37119999999998216",risk_watch
AhMA3DC95h8NfRz26f7y6ZYUTXEFPwHfh2SDSAHMQtJe,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=910.8240596317165；hold=0.02005355932528985；sell_ratio=0.0",risk_watch
8JunCCKCYyQ9UwYQg83V1djEoGKwE2V7Wz5xwYP6KXuV,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=846.4390728470838；hold=0.01828152521416808；sell_ratio=0.4566128613917195,risk_watch
FfLCJfZVSJ3iBLpy38tZbXSvHGHUjJH1pFzfUcF9LuL8,GameBay-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=gmgn,padre,top_holder,bundler；profit=1185.4004725675188；hold=0.018030935804975667；sell_ratio=0.7009637847585068",risk_watch
5B79fMkcFeRTiwm7ehsZsFiKsC7m7n1Bgv9yLxPp9q2X,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,bullx,gmgn,top_holder,bundler；profit=390.3679420539387；hold=0.01736900461917524；sell_ratio=0.5214089717075414",risk_watch
9oC7hJhsfCJy1BJe4vUQxmHuhzdHJNkAS1z46VTvj2Kc,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,top_holder；profit=357.69915153284444；hold=0.0162289588321707；sell_ratio=0.0",risk_watch
E7tfuzXiTTFRatryvnW8dis4sBcqqfFWB9i6efCMGc5P,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=709.3857392661654；hold=0.014642677141547423；sell_ratio=0.6532869542039097,risk_watch
8k7XRwWbcgmZXFJ7Fmpa2p4AnPT8za3LC74WySC76Goo,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=450.4561846815726；hold=0.013649629430930302；sell_ratio=0.44327658349559257",risk_watch
yRzRZru7K1ra6G9124ZKSeJj9wrSfcRr7THq6ZnUo1o,GameBay-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=70.92709850805988；hold=0.009931366830472375；sell_ratio=0.0,risk_watch
