钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
HXGMvjriDQLYQYTFEHgPqH6A4vfvnpbYmKsRhP5WLNTA,,,,,,0.068387831342332,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
769wZZLeYbk9Ed7EQwcH1RQ4pFRVypsMzZwe5CPRH8VG,,,,,,0.0035714004084455727,0.5566727329387038,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8MtSskCGmpnynUsBiWca3VCs129unZ5Vnd5fNCdAcJkz,,,,,,0.00344383170865235,0.4151951917141455,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
42138aRGQtzAUpUpJjrCHH6iBznyBdb65CU5pVwyAatW,,,,,,0.0033689096391775002,0.2017332718012705,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FPB2u3zYvrFPgnEEXmbkGMgGRDjur88dQAXqSzZLWXVJ,,,,,,0.003276521964814554,0.3082914363193044,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8dMqshwaoRKrEpHVPS7pAEPsD6qTVoKqze5Jc1FnUfLm,,,,,,0.0031760046884242808,0.415119592395405,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2dgXccSQhDatdSzmegRKGNBeUcEfCRUuaU1gxza6dRFo,,,,,,0.0031629234432441035,0.5633815864035568,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
8JaQithbr6LDbxveoEmDaa2civRpEen76fzg9rMbivKE,,,,,,0.003075566468767186,0.45158225903292815,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
CmaCf1sXvqvASfXtEUN2UrFsKuRS2tTsyVdyaesYZJj5,,,,,,0.003000990680030491,0.3267759688023876,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4PaexC5rt8fKNZJTaJCVgasii9jqwjT6cEUYDoXn4KeB,,,,,,0.0029902503929986088,0.5796132356549848,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4XtsAmPC3dtk4CT7snmTHtb4oGEn3hAE6zonxWUzbeGt,,,,,,0.002860106990809683,0.25632040097757763,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
GfBAKsGkGVuFxncGXYA9jwtguBecGrh5syMCwdxsGgsu,,,,,,0.002835598857866757,0.3366610307705976,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8pd1s6C6ExWkeH9oZ9apwVaYnCzum6uD3uXwbA6Mvecs,,,,,,0.002832371293884991,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4B8hvqAuLiX3SwXUJVRryALsfevebqdGW5DjDsAK5WxK,,,,,,0.002796879796223254,0.6593659900821989,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FD3VszTNwpzxz9sosTFATdVifNhMX4gxnqjW1B7mKH8V,,,,,,0.002762685538626897,0.46248340835309754,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Ggv5iz3xe9u4TBpEXsnY7zfv3MbGYjCXrUXJSmoShrcz,,,,,,0.0027521592349453814,0.5704998467320374,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HgqkV1sE81tk5y76GtyXxUoznve5jJzwmW1CFiJSj2id,,,,,,0.0027066961637005975,0.533104187287829,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FjCLC6tvv75EWRJHVqu7MDqS3Sw5YBfJXpkYNkZKTQ66,,,,,,0.0026689177025098626,0.3950010391953645,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
