address,gmgn_note,reason,action
HXGMvjriDQLYQYTFEHgPqH6A4vfvnpbYmKsRhP5WLNTA,GRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.068387831342332；sell_ratio=0.0,risk_watch
769wZZLeYbk9Ed7EQwcH1RQ4pFRVypsMzZwe5CPRH8VG,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=654.0044044875903；hold=0.0035714004084455727；sell_ratio=0.5566727329387038",risk_watch
8MtSskCGmpnynUsBiWca3VCs129unZ5Vnd5fNCdAcJkz,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=158.84169417007575；hold=0.00344383170865235；sell_ratio=0.4151951917141455,risk_watch
42138aRGQtzAUpUpJjrCHH6iBznyBdb65CU5pVwyAatW,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=440.0330111088016；hold=0.0033689096391775002；sell_ratio=0.2017332718012705,risk_watch
FPB2u3zYvrFPgnEEXmbkGMgGRDjur88dQAXqSzZLWXVJ,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=101.68157680781658；hold=0.003276521964814554；sell_ratio=0.3082914363193044,risk_watch
8dMqshwaoRKrEpHVPS7pAEPsD6qTVoKqze5Jc1FnUfLm,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=594.840250151295；hold=0.0031760046884242808；sell_ratio=0.415119592395405,risk_watch
2dgXccSQhDatdSzmegRKGNBeUcEfCRUuaU1gxza6dRFo,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=1776.6767187562812；hold=0.0031629234432441035；sell_ratio=0.5633815864035568,risk_watch
8JaQithbr6LDbxveoEmDaa2civRpEen76fzg9rMbivKE,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-306.48394344394393；hold=0.003075566468767186；sell_ratio=0.45158225903292815,risk_watch
CmaCf1sXvqvASfXtEUN2UrFsKuRS2tTsyVdyaesYZJj5,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=276.8025083964255；hold=0.003000990680030491；sell_ratio=0.3267759688023876,risk_watch
4PaexC5rt8fKNZJTaJCVgasii9jqwjT6cEUYDoXn4KeB,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=415.7217396141949；hold=0.0029902503929986088；sell_ratio=0.5796132356549848,risk_watch
4XtsAmPC3dtk4CT7snmTHtb4oGEn3hAE6zonxWUzbeGt,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=177.307741245997；hold=0.002860106990809683；sell_ratio=0.25632040097757763,risk_watch
GfBAKsGkGVuFxncGXYA9jwtguBecGrh5syMCwdxsGgsu,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=518.2796532552286；hold=0.002835598857866757；sell_ratio=0.3366610307705976,risk_watch
8pd1s6C6ExWkeH9oZ9apwVaYnCzum6uD3uXwbA6Mvecs,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=616.3170344823532；hold=0.002832371293884991；sell_ratio=0.0,risk_watch
4B8hvqAuLiX3SwXUJVRryALsfevebqdGW5DjDsAK5WxK,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=334.8336469168698；hold=0.002796879796223254；sell_ratio=0.6593659900821989,risk_watch
FD3VszTNwpzxz9sosTFATdVifNhMX4gxnqjW1B7mKH8V,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-285.0577378859713；hold=0.002762685538626897；sell_ratio=0.46248340835309754,risk_watch
Ggv5iz3xe9u4TBpEXsnY7zfv3MbGYjCXrUXJSmoShrcz,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=354.2869505210584；hold=0.0027521592349453814；sell_ratio=0.5704998467320374,risk_watch
HgqkV1sE81tk5y76GtyXxUoznve5jJzwmW1CFiJSj2id,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=154.53225206875607；hold=0.0027066961637005975；sell_ratio=0.533104187287829,risk_watch
FjCLC6tvv75EWRJHVqu7MDqS3Sw5YBfJXpkYNkZKTQ66,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-316.32406023325694；hold=0.0026689177025098626；sell_ratio=0.3950010391953645,risk_watch
Cruhm1Gb5oDSKM2KKiiZ5mQachx44f8D1HTwVV98AyWr,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=626.9502600024733；hold=0.002659882660629869；sell_ratio=0.0,risk_watch
CWTuAfjH4VTz6miVQq7G949ViVBeZVEkL2nr5njAPCZW,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-23.048515233434614；hold=0.0026570341104371425；sell_ratio=0.474685546169958,risk_watch
6YjSEULZ9FV4bD9oHGjTzmSvKih3UszS2p14jinRTexk,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=284.49693108739876；hold=0.0026527520245095988；sell_ratio=0.09547194231974396,risk_watch
ExJjwReALkKAr9Ji1VhRx17YkqQCiqTLDg5f1L4f1DkA,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=257.0891904506092；hold=0.0026472794254031157；sell_ratio=0.2597298708703045,risk_watch
GZnhFLxaTvTtiHMyRSyhTR97ZDnHik4MkH6vG9f8rpHW,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1199.4332640378568；hold=0.002570822132945607；sell_ratio=0.5518707139377165,risk_watch
CeVdXEEHpyJu9soMdboHqSbjw3zh2f7i4KaLSgnx8LYe,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=791.7629866594638；hold=0.0025362586283271277；sell_ratio=0.26586497367951323,risk_watch
HM5N8fJpgshBVXSXuYzPbMnJemjcpAWpsR7cmeAmn6PT,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-334.9100502427563；hold=0.0025193532364495047；sell_ratio=0.5788310819618854,risk_watch
88ZwbPGubS9RfTSJfa8BzTPWrVTJby6ES8Hmyg3U8ovR,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-1111.0038802125887；hold=0.0025088260873902175；sell_ratio=0.07406217892457374,risk_watch
HskuqFRskjY7GV6KgEd6ca3qMHPAP4XNwZLzpAJQe3Xp,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=255.60468752925556；hold=0.002506511943838405；sell_ratio=0.5119378021725334,risk_watch
8dmqvB1vdSshsyCmyMfVGJ8PPv63GAxVmCi831N4o3aC,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=873.453066915629；hold=0.0024916721252866503；sell_ratio=0.20970906607392706,risk_watch
CtXRKJJx1xYApP1fuFsehBsc5To8wzSKhQc22VjGvSTb,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=434.3661224697956；hold=0.00248278065725574；sell_ratio=0.49152856462376654,risk_watch
2iNZcqGgWFYVQYXXH2XhQtob4FLuLjop65bVZxfLiCb8,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=135.67953054562253；hold=0.0024738381124701967；sell_ratio=0.6909039189457393,risk_watch
3WDThcyCJMihQRkDEGpzspf8aBX4uCry8hJ4ET5J5gXJ,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=dev_team,sniper,bundler,paper_hands；profit=51772.28014448765；hold=0.0；sell_ratio=1.0",risk_watch
G9TkBf79ghnqi3roKkpGqtJqrt5GjLG69UVHs3RMcC1m,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=dev_team,sniper,bundler,paper_hands；profit=45633.67410624401；hold=0.0；sell_ratio=1.0",risk_watch
AWfcNoTwzemvSgtwMsDnWReA6QDpsuZmUMmRieJt5HXC,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=dev_team,sniper,bundler,paper_hands；profit=29160.89894228155；hold=0.0；sell_ratio=1.0",risk_watch
3FtTAgH2vg6BBcFw2oiFStFsUR9n5aB4jnZfaQLcenvL,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=dev_team,sniper,bundler,paper_hands；profit=20848.1611114632；hold=0.0；sell_ratio=1.0",risk_watch
CXPt44zt5bSyeV2c39kcfCjACnx8Y2jrFj3g6Rb2rYzz,GRUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,whale,sniper,dev_team,paper_hands；profit=14195.79538477117；hold=0.0；sell_ratio=1.0",risk_watch
3LTajoYJUG8XQXoWeAK88UG22CxQnqH7odHWcaCa8xG1,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=creator,bundler,sniper,dev_team,paper_hands；profit=8582.4726479907；hold=0.0；sell_ratio=1.0",risk_watch
9Z27TBjVDWe7Ap7vmyGeb8bGVpqEoVj3a8ivDdPkBSWp,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=paper_hands；profit=2307.63710104795；hold=0.0；sell_ratio=1.0,risk_watch
B7Fb2MesA4Nzbrek9tphqdvUdAQtARtZJWPWo874vQZZ,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=2171.145230376075；hold=0.0008080805857835748；sell_ratio=0.904957624209602,risk_watch
4UHDULLjxuutkejqWRG14EhNRxkiGGpnQsqgjPSbb28u,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1907.2214046143513；hold=2.1586590752557356e-05；sell_ratio=0.9953775301492901,risk_watch
6miZPXG4DMHRL7PhLypGfXRQ7uRvexcbsffaUKMTSH8D,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1803.1526790420255；hold=0.0021669791829009937；sell_ratio=0.5735486128750484,risk_watch
364gSGLzF84Wp3UatioNvDA7kCaQq5tCzUdvR4cSCmgv,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1720.5784831081337；hold=0.0023838704092356837；sell_ratio=0.5583375086050908,risk_watch
8j19un7dHcsx517hPqbnAgD48ji193K2f7s53wihN7J4,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1711.0201443235628；hold=0.00014274630124037305；sell_ratio=0.9600188647747804,risk_watch
8YeyMYYXDcuCHjbtVn1thpoJrxTG66EGiXXpHV5QRt9W,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1659.5982642928711；hold=0.0003533601349728032；sell_ratio=0.9376458579075567,risk_watch
7ZE8XSasuYFL8uUtfZxrWZHhqo7RD4NYRJccArMSrdX5,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1568.4285268040505；hold=0.0007444116124358021；sell_ratio=0.8750851278732529,risk_watch
FPfpAWzYFh7Wj2SpKDcCdqZEbexHUM9hNxgKUMfvTtfz,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1534.6502259845465；hold=4.819456946364192e-05；sell_ratio=0.9921541894398752,risk_watch
Ee1D6ccTpaUQEMKcHsyQcfzSdv78byXjiQreFAvgihVc,GRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1502.668659094971；hold=0.0004185255941408674；sell_ratio=0.8663849047781468,risk_watch
