address,gmgn_note,reason,action
DqbwV7CmAon8EU17AMawK2bQqWWJpNUHHLQMBqWWxRpG,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.0907951328765857；sell_ratio=0.0,risk_watch
3EPAYTXtUtJwaEJchtrHMAkdehoFqaWX3PraUs1dQ3XT,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1078.7531697822087；hold=0.007570548664261053；sell_ratio=0.0,risk_watch
CKuQvhWTt7dBFYSr31z9nqBFXU7EdpBTeVRHkvurTBTh,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-2.9126471344559377；hold=0.0072431032959955404；sell_ratio=0.0",risk_watch
EhEYEW8JfHTUdNu8VPFq25nJT5VaP3Axd5ZxtFHTSnrs,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=1391.8544785661193；hold=0.007239610108259538；sell_ratio=0.3938180535012186",risk_watch
7i91tCMifhFpkuFfS1aPV8x6i5p5ykWshMALcp9FyKm6,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=46.08107661406552；hold=0.007024104941092661；sell_ratio=0.0",risk_watch
DsjKoA2HbP2BgYnx73wBevSazS7LBoFf8HBgnbNVU8vG,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-103.34483781838108；hold=0.0069851842393404496；sell_ratio=0.09999999999996134",risk_watch
4aNBTig6YRT6BzfzvSgJ5u2dyUPSxYUeDfrW1V5PAWdB,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-164.09675542794503；hold=0.006911188246858742；sell_ratio=0.2271690504655098",risk_watch
GL8TaiLuwgtJxTXcXjV9zWvoRwGHuzuSyWvB6b5hK49N,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=955.3852432994635；hold=0.006867039275412867；sell_ratio=0.511509833899635",risk_watch
7xojwEaSjTEmaD6ZaMW4Nc9yDZrBbQsMB538ikDm45A5,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-243.05966418839057；hold=0.006864835839745017；sell_ratio=0.0",risk_watch
AuzdJ53PXRQiEwxPizRKPSy7zpQ93zA4cSYTn7wyaDpe,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-220.7193057373408；hold=0.0068305143806375495；sell_ratio=0.09999999999999999",risk_watch
Hc7JgT2cdkFLASx55yzWbhdUW4iiUs3Ezmqu9EMWp7vB,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-170.99823488852758；hold=0.0067131819417792825；sell_ratio=0.0",risk_watch
7GThjSsqS2JWr6xVcTRk3mMLb2J8QpWswGBiSRAwq236,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=732.3451648017365；hold=0.006578833657948857；sell_ratio=0.0,risk_watch
37rwQqhg8XMpcm1EfE9QGgBDbF4FWEP5nfK4pyCHrpcd,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,dev_team,bundler,sniper,creator；profit=5022.893963932291；hold=0.006562456971978358；sell_ratio=0.9629218150054809",risk_watch
9tSEk4BxdGRMkpi5LNeoe7NSw9EiuFywepZ3o5BFQHfA,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-200.01279318117287；hold=0.006557034880352547；sell_ratio=0.09999999999994509,risk_watch
4KCoy39KNej9AAgdjw6mtomSr47rmeNpSmUaqxhndXrc,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-235.78891668645718；hold=0.006500126555260238；sell_ratio=0.2310181411551306,risk_watch
2zmmbrAWVMwH7HjyqY7JoBdj3PQD131MAwExCYbZtdLX,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-168.25774423009162；hold=0.006491701015701174；sell_ratio=0.2343560397935757,risk_watch
EQ8P17rmSQqJmB8wigKN4vLFw5QAnsryHuwYpZvvNxGn,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-183.36999172055314；hold=0.00623928095313651；sell_ratio=0.24999999999993988,risk_watch
7wRNRJh3Af15NLuYvuyEQHRX2VKCTbw4vCZiD6SSDahi,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1137.7221860699983；hold=0.006178375738492429；sell_ratio=0.46755233928677886,risk_watch
BMQB1A9vCSzHPXLsEzfqQPGAb18dJdPw4MiGY2AoMJCu,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=665.8957560113579；hold=0.0061056265800917406；sell_ratio=0.0,risk_watch
88iAHwWfsUsCmyZcNfPFnwGm1piEWUbdWvZXiSyx1Krx,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=264.31549916340464；hold=0.006078188421166755；sell_ratio=0.0,risk_watch
EwwNScGV4NSJSB1PgRYavd2h7E8c5ht4zqWKEAWniFH8,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-291.55848273921515；hold=0.005895119737295741；sell_ratio=0.0,risk_watch
42jc3nwvmwowQsQxfRZFUAY3EN8WVq4rRTd85bq14Vjm,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=874.7626829643667；hold=0.005835504746494847；sell_ratio=0.24999999999996786,risk_watch
Gba3Jby4QLgdkmBSm9DUV3F5vor3GDNeFW6LJvDzfxr9,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=-476.3026989419243；hold=0.005648747002664531；sell_ratio=0.0,risk_watch
23FuwNW47Ju9u4vjgNmHeWdmhKjxtsLAhWxraBWHGWtV,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-519.1932105670649；hold=0.005554736870444791；sell_ratio=0.0,risk_watch
3iRut4tPESfpDzmbnvvbjRZKREi9TXF4o8xRdPHQAh8y,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-65.10255307873658；hold=0.005553035378360583；sell_ratio=0.2499999999998987,risk_watch
J7FHgtB6PtWZFzLwEEv7EfFCxNLqBWhJm8V4LHGcnYUW,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=-238.94409228289305；hold=0.005552677298126443；sell_ratio=0.0,risk_watch
