钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
DqbwV7CmAon8EU17AMawK2bQqWWJpNUHHLQMBqWWxRpG,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.0907951328765857；sell_ratio=0.0,仍持有,risk_watch,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3EPAYTXtUtJwaEJchtrHMAkdehoFqaWX3PraUs1dQ3XT,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-1078.7531697822087；hold=0.007570548664261053；sell_ratio=0.0,仍持有,risk_watch,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
CKuQvhWTt7dBFYSr31z9nqBFXU7EdpBTeVRHkvurTBTh,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-2.9126471344559377；hold=0.0072431032959955404；sell_ratio=0.0",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
EhEYEW8JfHTUdNu8VPFq25nJT5VaP3Axd5ZxtFHTSnrs,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=1391.8544785661193；hold=0.007239610108259538；sell_ratio=0.3938180535012186",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
7i91tCMifhFpkuFfS1aPV8x6i5p5ykWshMALcp9FyKm6,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=46.08107661406552；hold=0.007024104941092661；sell_ratio=0.0",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
DsjKoA2HbP2BgYnx73wBevSazS7LBoFf8HBgnbNVU8vG,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-103.34483781838108；hold=0.0069851842393404496；sell_ratio=0.09999999999996134",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
4aNBTig6YRT6BzfzvSgJ5u2dyUPSxYUeDfrW1V5PAWdB,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-164.09675542794503；hold=0.006911188246858742；sell_ratio=0.2271690504655098",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
GL8TaiLuwgtJxTXcXjV9zWvoRwGHuzuSyWvB6b5hK49N,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=955.3852432994635；hold=0.006867039275412867；sell_ratio=0.511509833899635",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
7xojwEaSjTEmaD6ZaMW4Nc9yDZrBbQsMB538ikDm45A5,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-243.05966418839057；hold=0.006864835839745017；sell_ratio=0.0",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
AuzdJ53PXRQiEwxPizRKPSy7zpQ93zA4cSYTn7wyaDpe,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-220.7193057373408；hold=0.0068305143806375495；sell_ratio=0.09999999999999999",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
Hc7JgT2cdkFLASx55yzWbhdUW4iiUs3Ezmqu9EMWp7vB,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-170.99823488852758；hold=0.0067131819417792825；sell_ratio=0.0",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
7GThjSsqS2JWr6xVcTRk3mMLb2J8QpWswGBiSRAwq236,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=732.3451648017365；hold=0.006578833657948857；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
37rwQqhg8XMpcm1EfE9QGgBDbF4FWEP5nfK4pyCHrpcd,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,dev_team,bundler,sniper,creator；profit=5022.893963932291；hold=0.006562456971978358；sell_ratio=0.9629218150054809",仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
9tSEk4BxdGRMkpi5LNeoe7NSw9EiuFywepZ3o5BFQHfA,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-200.01279318117287；hold=0.006557034880352547；sell_ratio=0.09999999999994509,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
4KCoy39KNej9AAgdjw6mtomSr47rmeNpSmUaqxhndXrc,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-235.78891668645718；hold=0.006500126555260238；sell_ratio=0.2310181411551306,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
2zmmbrAWVMwH7HjyqY7JoBdj3PQD131MAwExCYbZtdLX,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-168.25774423009162；hold=0.006491701015701174；sell_ratio=0.2343560397935757,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
EQ8P17rmSQqJmB8wigKN4vLFw5QAnsryHuwYpZvvNxGn,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-183.36999172055314；hold=0.00623928095313651；sell_ratio=0.24999999999993988,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
7wRNRJh3Af15NLuYvuyEQHRX2VKCTbw4vCZiD6SSDahi,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=1137.7221860699983；hold=0.006178375738492429；sell_ratio=0.46755233928677886,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_traders
BMQB1A9vCSzHPXLsEzfqQPGAb18dJdPw4MiGY2AoMJCu,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=665.8957560113579；hold=0.0061056265800917406；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
88iAHwWfsUsCmyZcNfPFnwGm1piEWUbdWvZXiSyx1Krx,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=264.31549916340464；hold=0.006078188421166755；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
EwwNScGV4NSJSB1PgRYavd2h7E8c5ht4zqWKEAWniFH8,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-291.55848273921515；hold=0.005895119737295741；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
42jc3nwvmwowQsQxfRZFUAY3EN8WVq4rRTd85bq14Vjm,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=874.7626829643667；hold=0.005835504746494847；sell_ratio=0.24999999999996786,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
Gba3Jby4QLgdkmBSm9DUV3F5vor3GDNeFW6LJvDzfxr9,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=bundler；profit=-476.3026989419243；hold=0.005648747002664531；sell_ratio=0.0,仍持有,risk_watch,GLOO-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
23FuwNW47Ju9u4vjgNmHeWdmhKjxtsLAhWxraBWHGWtV,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-519.1932105670649；hold=0.005554736870444791；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
3iRut4tPESfpDzmbnvvbjRZKREi9TXF4o8xRdPHQAh8y,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-65.10255307873658；hold=0.005553035378360583；sell_ratio=0.2499999999998987,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
J7FHgtB6PtWZFzLwEEv7EfFCxNLqBWhJm8V4LHGcnYUW,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-238.94409228289305；hold=0.005552677298126443；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
59yVRVCz8JgbWU95k1DicxEPy6Q1ifX1gkWPNShCHoB,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=-251.5517661091676；hold=0.00554536191952442；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
6XvXNxLV7dSqcKEYFmBg3R1vzGcbGgfKxkvbbvddZeqE,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=671.7230627625906；hold=0.005467356248474006；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
HuxKJgvbw1uoExmk3qrMPHEDKH4ekejpUmuHFkDDvd5t,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=497.84862565863705；hold=0.005366200767716656；sell_ratio=0.4151429293291806,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
HvTwd13CR944YQcgip98kKydxFzDHNcmWFTAK2huRrG7,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=549.332793902329；hold=0.005353044746796267；sell_ratio=0.0,仍持有,risk_watch,GLOO-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
BvCQG6KiwheSfTsMF6BNLyfFXDyGKRDCRwoFA2is1xKV,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=3744.8145611345876；hold=0.0016191319510436325；sell_ratio=0.9659493710839617,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_traders
C6NWBV8qcDGaBZZqM7ZCWh9Up4W3A5E7d4rETL4uV5aY,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=无；profit=3645.26712914275；hold=0.0；sell_ratio=1.0,已清仓,risk_watch,GLOO-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
H1oE4UsMPXFzoJvWPgMnuNfFuaF7PJtKZhLyT3wNtUSu,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=3379.4866626221474；hold=0.0015624981796643672；sell_ratio=0.9674719412776266,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_traders
Hk6Tg9cap6qoEpqdaatdBHZz9TS9Uq1q7hcmsW7kKVoG,EARLY_BUYER,STRUCTURE_SIDE,E3,GMGN标签=bundler；profit=3197.438050182515；hold=0.0015435162454646859；sell_ratio=0.9621659678710821,仍持有,risk_watch,GLOO-EARLY_BUYER-E3-STRUCTURE_SIDE,token_traders
