address,gmgn_note,reason,action
6YSrZ5hi6WCxXaragYM8DcpVhbftRKv11bc8GfYTqBqE,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.138582129545327；sell_ratio=0.0,risk_watch
3cAS1ygrDzMEFpRL7b8LfyQeXf4uU9rb5fYtR1kCwdes,Scribblin-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=153.8781713922317；hold=0.017270346226393；sell_ratio=0.0,risk_watch
4PjhdYwn1H1h1Fu6Sr9DCXWiE6LY5BvN7nh4JYVBa1qh,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=730.1058112110003；hold=0.010478845445619；sell_ratio=0.0,risk_watch
Wt3fpfDCFrqgxGdfCTphTBtNaZgfsESAxut1rwe4HDk,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=81.51697217823875；hold=0.006658619184719；sell_ratio=0.0,risk_watch
BnFCsMUFVtjqq3YXq4GR9ib2vSpEsVxR9o68W3Ukh4Ys,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=344.0301890120595；hold=0.0060512514375160005；sell_ratio=0.0,risk_watch
AGRu5wm5MPgJ5D9aK3geSyYtQbNGwYARaVs7Wox7tEvu,Scribblin-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=549.4096510650397；hold=0.0056422634527000005；sell_ratio=0.4034789438819495,risk_watch
BiYhFiVJRE9JY3puhq4FsbDHvQ7zcwTWSSmY4gMMG2vt,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=139.85731974583996；hold=0.0053245216696060004；sell_ratio=0.0,risk_watch
BNrZz87b2LocYeMhYBEgan2VWiXQLDZSVq88dRwJVGEj,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=112.55030458807897；hold=0.004846792865882；sell_ratio=0.0,risk_watch
GDpbDecbaG49LGCXJAwn23xHRWpA28zmacLrPxoyw4vp,Scribblin-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=168.8052928000794；hold=0.004559123546865；sell_ratio=0.0",risk_watch
5m13suZwZqcK2wbrW69tvN3avGdiNC1k2zhemLZ8XD2B,Scribblin-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=835.0685144117824；hold=0.004255028210485；sell_ratio=0.6851654778294524",risk_watch
