钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
CENY19fGTEcSw9hE4bW7pDa1sJDXYD3ycD2eW9zaLZc5,,,,,,0.9360272274463856,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5g3Y7TZj4wZQTnqTrsXtU2bXFNiJi1mms3V9rn3u8Yct,,,,,,0.029721842854017036,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5n4ANuMjWpPLfMiLPgPrPqmb597uu9nu3xG7tiR7vUdb,,,,,,0.004812034265083666,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5zP6wH1JCydRAENbct51koeBw9Y9N8QeHVKKtWJSTJRJ,,,,,,0.004271798146434157,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3bMLyCHthTuchwxPbZo7YTZszeNBRqReqP7StPrLu5Fn,,,,,,0.003059856555308567,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BJZzLeJn5145yLAmbXLkdbVBgRete7JM7BkV7Xmfxk3Z,,,,,,0.0015442966934906062,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
LqDgSyVJi8tPx6cgiwBT4kb57Kk8ZdPFeYQN3s1CBE3,,,,,,0.0014314486253116652,0.46746795970823285,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
97aThXZJgLuMPSBb6nWUrDToio4brGcQZDTBrPNsV9Fq,,,,,,0.001326907402027122,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FXYgHcbQjNZEBEtX5bMuTJW1ybh1ATVHNKzQpjnYMCc2,,,,,,0.0012725811576352831,0.02422286993767514,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6BdFUBC5ZFv6Et7pheYZRomAQnvb93edCnAB8CBrBjkq,,,,,,0.0009371446362729184,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7ijyttAorp2CQGhPSxftLwBRjnzKXhK5vLjLrtaFPzpB,,,,,,0.0008720960202649225,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
23hG7pEfe3tmSj1z19iBfZt1RU1VSfcQQcE6hddeSPkc,,,,,,0.0008677535726101449,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
D2UYc9ZtEopPfyiUpPY4m59AyFdKMGgC5u1mAqyxSbAV,,,,,,0.0007804210295850173,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DYuoCrGYvfGVg2MZh1GSCSSsKdm9mM8wpecm1mhWjKUL,,,,,,0.0007304178252712812,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DjeCvbachEfv9394Dx8BwdVin9AzbdQ6BPgM35uDPpfA,,,,,,0.0007248821936755672,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5fNS7oNsf7gPJfkXds2gDpEDj1wubSwXVDpWMjpYe2M6,,,,,,0.0007220790414935399,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FD9bkcQSLjx4dZTK4rx39Ht9EGqNTrXpFsfyew998twT,,,,,,0.0007070158680222364,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DG52DzEMn6iJw53TAmTYtzcdn2EAQyWkMUBm4sxRHqbC,,,,,,0.0005438224929887696,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4dDHafxUjX6r69RK2QvbDNHBbMtHLzZLFsyQYCf2NovW,,,,,,0.0004679468637611841,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EYHwwPdrWd4KMHw8GVHS6AMpqAMe1nxknETzFd848rBE,,,,,,0.0004301426866534945,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DEGeNMZV8ur7JoJNG7AHZYRKGu8xT4w9U6VHdaRG6wWL,,,,,,0.00038470476656564915,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4KpNxiHPaFsngQpxughMYid3wsvwsBiu9iKG5mbj5ga4,,,,,,0.00038245416751506205,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4PexQ4H89RSZ3K7Yp1ebGbdJHU3i9YWXEEoDFksMs2gD,,,,,,0.0003421774016001797,0.032300067069850655,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DnoPZbkYZSD1s74KVf9CwAwnqPiNL8ypzRp4kfFByp85,,,,,,0.00023869360042949004,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ENY5B79UavvLJfbfy9Y8m1Bh7ns9vZhrxNiGVASQrAs3,,,,,,0.00023724779687548937,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8kV83kkE1E89Z5ytqFdeULNG5tVWit5oUMoPPb2uuNzX,,,,,,0.00017986249834256454,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9Kjr3gbtCceXoAX6nBMStNTiPTjH41K9EUQX8715rMY9,,,,,,0.00017782305648607775,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7nh4CnZjaVfFLaRgUmUVGnF2f22yoa7gAeePyhqqoVRR,,,,,,0.00017638423722220943,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7bczgxjh3NQrLbGhsCYbL6dBq9WhEoaBGGLcHMSnbSX4,,,,,,0.00015120792971969402,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9o4hCq1iCXm4gPeqkdLcMBDSAZsPncvDgi8XWiJQJkYh,,,,,,0.0001431320594859336,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DL5YTtqJBHiXavKHj2DE16DaSEwXC3cgXeo8365FDTM5,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
7DKwySjkPFCtak2DZnfhrVZ1GTzWp4PZWKpHV6DeidGg,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
Egrz6DKsUFk6zfFSoUKhgLtw2svKy4oLzqssJWpgBK3Y,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
Gw1nEstsZbpTfRySkUjw2QNgQhvEetJTyJycHBrZWHro,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
6u8qtwVWv94YhrkydQEaz6Q5t6PGCmicdSJfybM5wFyd,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
6qi3Bgc7TDCXBsa4eT2gNKSdPeqvXKQaxThBJPA4C9n9,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BFKyMxDHpcotvhYuCnzCG1TMVi1oD9MrPtxKnqbfEBbj,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CRHif5qFBJqxqMUnK5kxY1VzryA2xaAYXwHo7Q9R4XZ9,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
2AKzDE1uMDye9zZwjm4vdCDr3VaNWQEdXvgaoqhgUiwt,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
GH7rWrBv4B1jfkeXoDE3uSqBKSFEhRZxnEZaUdcgKBKs,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8GKDFc1yfJh6kSgfrav9dzFRLPFRdHXPcCzePCyLadW2,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
7Ge9ubNNbQQoMweztuU93LFuthH4zdLoE3XKquhcYbx8,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
7t2WVe7GDS5iS4i9vuRAxM5MkC7BGZmPnZmMvnRFWGo2,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
F7RV6aBWfniixoFkQNWmRwznDj2vae2XbusFfvMMjtbE,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
BnnNJJgy9w2MLQ9XBKJKG9FQa2r9qdW7u5VpzEkwUcc3,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HTqbKG25Z34ijyXHc1ss87sVngGjjCcwdpqzMHEQcDhV,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
4g9X69JQHWGczZam9his8Nhemg8fBxP9qCvobnQ7TZ8e,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
3SkBCx49BsK64h6tssBBJZ1WNvpiLdnhnXNmJtP46d7b,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
3vNb7Lo9Xc8DBKhBfvzq8q1zUUca42BTDATRJmYrwrJK,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
9pSR8LhTaLFwdjB8iZUyhMQ67D2qs8U5xRiitu5mj91G,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BLnympBmrQYuz4wL6WcLdwehpvCheBvXoTPG4dBTnXWX,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
2bZ7U2exnzZu9LCvMnkMUBemrH9zZkXrQEcT7AA4Ujx6,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
Ed5sUMHsCwu94egKQ57ChSmZKjYqNsDtKDHmYHRxw7hx,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BVbRguTa92jgD3Xo85Fg4pdpsr9tTR2TAMwgiybwg6HU,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
AC4yhniVWnTwysJAqQrfBULC7yXenLhefPrm4iWhZvcA,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
9N5vYmjVkAsFqJazgURq7xWertXdn65WMCuT1C3RXbrU,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
4pUnDKgDDZRgXdQKM6H1fz5apLFe1zJAEw7rsShYzAeo,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
5HQid9JUo4guk9vZRirceuwN9vLWVkuiU1GrpZSJd84S,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
Ci19NZBqnWvdNFdPjzWd7bnbwHJBtbYNqUU3E1N4Ws6Q,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
Fq7KuNzaYVcnrqrnwt4ftKravvGGNiYkiT2tQjwhxVBw,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
