钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
CENY19fGTEcSw9hE4bW7pDa1sJDXYD3ycD2eW9zaLZc5,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.9360272274463856；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5g3Y7TZj4wZQTnqTrsXtU2bXFNiJi1mms3V9rn3u8Yct,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-6.3974168200156925；hold=0.029721842854017036；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5n4ANuMjWpPLfMiLPgPrPqmb597uu9nu3xG7tiR7vUdb,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-423.842536257309；hold=0.004812034265083666；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5zP6wH1JCydRAENbct51koeBw9Y9N8QeHVKKtWJSTJRJ,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=top_holder,sniper,creator,dev_team,bundler；profit=-2.5362764976875543；hold=0.004271798146434157；sell_ratio=0.0",仍持有,risk_watch,GTAVLOG-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
3bMLyCHthTuchwxPbZo7YTZszeNBRqReqP7StPrLu5Fn,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=gmgn,top_holder；profit=-377.8724498700056；hold=0.003059856555308567；sell_ratio=0.0",仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
BJZzLeJn5145yLAmbXLkdbVBgRete7JM7BkV7Xmfxk3Z,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-122.36454242572839；hold=0.0015442966934906062；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
LqDgSyVJi8tPx6cgiwBT4kb57Kk8ZdPFeYQN3s1CBE3,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=-60.29440397556316；hold=0.0014314486253116652；sell_ratio=0.46746795970823285",仍持有,risk_watch,GTAVLOG-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
97aThXZJgLuMPSBb6nWUrDToio4brGcQZDTBrPNsV9Fq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-141.3075001454398；hold=0.001326907402027122；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
FXYgHcbQjNZEBEtX5bMuTJW1ybh1ATVHNKzQpjnYMCc2,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-0.053014712293050825；hold=0.0012725811576352831；sell_ratio=0.02422286993767514,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6BdFUBC5ZFv6Et7pheYZRomAQnvb93edCnAB8CBrBjkq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-93.49882758787226；hold=0.0009371446362729184；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
7ijyttAorp2CQGhPSxftLwBRjnzKXhK5vLjLrtaFPzpB,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-40.430132075978904；hold=0.0008720960202649225；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
23hG7pEfe3tmSj1z19iBfZt1RU1VSfcQQcE6hddeSPkc,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-83.00916659255259；hold=0.0008677535726101449；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
D2UYc9ZtEopPfyiUpPY4m59AyFdKMGgC5u1mAqyxSbAV,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-83.15524892125426；hold=0.0007804210295850173；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DYuoCrGYvfGVg2MZh1GSCSSsKdm9mM8wpecm1mhWjKUL,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-0.5798251551324829；hold=0.0007304178252712812；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DjeCvbachEfv9394Dx8BwdVin9AzbdQ6BPgM35uDPpfA,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-83.2343998747566；hold=0.0007248821936755672；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5fNS7oNsf7gPJfkXds2gDpEDj1wubSwXVDpWMjpYe2M6,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-83.23941228661533；hold=0.0007220790414935399；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
FD9bkcQSLjx4dZTK4rx39Ht9EGqNTrXpFsfyew998twT,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-83.26634725997202；hold=0.0007070158680222364；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DG52DzEMn6iJw53TAmTYtzcdn2EAQyWkMUBm4sxRHqbC,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-24.041010585156126；hold=0.0005438224929887696；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4dDHafxUjX6r69RK2QvbDNHBbMtHLzZLFsyQYCf2NovW,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-20.205847280200107；hold=0.0004679468637611841；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
EYHwwPdrWd4KMHw8GVHS6AMpqAMe1nxknETzFd848rBE,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-0.038560556347327246；hold=0.0004301426866534945；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DEGeNMZV8ur7JoJNG7AHZYRKGu8xT4w9U6VHdaRG6wWL,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-32.706572306436286；hold=0.00038470476656564915；sell_ratio=0.0,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4KpNxiHPaFsngQpxughMYid3wsvwsBiu9iKG5mbj5ga4,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=smart_degen,axiom；profit=-62.15321509744293；hold=0.00038245416751506205；sell_ratio=0.0",仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4PexQ4H89RSZ3K7Yp1ebGbdJHU3i9YWXEEoDFksMs2gD,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-1.20107489794328；hold=0.0003421774016001797；sell_ratio=0.032300067069850655,仍持有,risk_watch,GTAVLOG-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
