address,gmgn_note,reason,action
9drCPQWTu1NHrVai3bxZBx1tzQN5Q7dPZ5PW4YebiXNL,Trollpface-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.10260341080654863；sell_ratio=0.0,risk_watch
gToAg1vQGsAQobHByv16Vg6x6Fjumvnxi8fhYjJYRYp,Trollpface-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1197.941856448021；hold=0.0032543067889268407；sell_ratio=0.0,risk_watch
5orQxnpRPXcB3iZPGzJ22KWLAbEk8b3PeRPEGaySMTWa,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,top_holder；profit=-173.7770251579779；hold=0.0027369510003374363；sell_ratio=0.10758374778417956",risk_watch
Dauoo9q5NtuZiS7bBaiQrBUiVfmULY1MopYftMXso8KU,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-456.1427436068403；hold=0.0022007052630298183；sell_ratio=0.41692944695951273,risk_watch
3Wy8GkdvrWryC7nspz6dLdFvQcSZekfh8bpWd9i8uuN8,Trollpface-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=-833.9463444387337；hold=0.0021934547497070938；sell_ratio=0.12609661718862736",risk_watch
Doo6u92taMzehE261171UkJHkkR1LHDh56VBhRe3fyWf,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-432.7757962715028；hold=0.0021616474730273257；sell_ratio=0.08811296370643196,risk_watch
BVeywYrbF3DBhibKDf6yaSFW7UsJdMrDoAANRuDNcdHB,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-446.72836116660346；hold=0.0021396253059134153；sell_ratio=0.31024742341590617,risk_watch
nuDyuqMAATe9XVaGoygaBNyMxdpW4zcU6jnmfi1GT5E,Trollpface-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-196.8647295228634；hold=0.0021084657637715637；sell_ratio=0.0,risk_watch
Huz3V1KVp4keg21UVQyMAqkQPR7Sg7H6DiWqm13m42Bt,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=237.63754672279856；hold=0.0019995471768720946；sell_ratio=0.3134527508619608,risk_watch
EA7mNnHFvn2Qrik6wwhTQDB2Zb66aaMwQjgPbZxQr2Wp,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-216.91166708916884；hold=0.0019460993306935907；sell_ratio=0.15464108940101504,risk_watch
DjfRQANkvfTfZvjP8wQoEFDTJB38cXeFJgJSxqVBfgWC,Trollpface-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-169.48099346836057；hold=0.0019066812019484165；sell_ratio=0.0,risk_watch
G2hEg74b1t5fKhRzxa1wCr9wx2ViFLFeoxrfBZQSHggP,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-354.86726447579105；hold=0.0018167333391920586；sell_ratio=0.0,risk_watch
kcU86LBvA68DSnd3H3f6BrUXNKRDQjmuy3cgGmNtSLe,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-393.76329433601995；hold=0.0018130955079948656；sell_ratio=0.44307137510634426,risk_watch
vu36vWsrxUEt4PXUPsF4YNhypG747xUsuGtzmYKvKh3,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-792.2520296782386；hold=0.0017706278078889047；sell_ratio=0.0,risk_watch
3p1wUuUWEVPDkt2F4ANXnBkcmg6XN624kPUxCbRnWiV2,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-160.19558067778843；hold=0.0017572342674444035；sell_ratio=0.2437212089475494,risk_watch
Ee39Mb51c1wniiCYwvZ1CJbiGjdSw7KJjYSmHPVfvJUN,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-349.5574275448266；hold=0.0017540453775441265；sell_ratio=0.15345101532028238,risk_watch
5Hq9epJLSBfY8KR6NAtjxEjbFeyUHWeyJvz5S2Fu6mb9,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-445.5393498266243；hold=0.001723493266480544；sell_ratio=0.4423277639174556,risk_watch
7pY66ozGjVJpnfVUhKMfczw4YtBdZW6A9f3xABjP1L7S,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-350.2251530941463；hold=0.0017161711075111073；sell_ratio=0.2666598385764613,risk_watch
DhKFpY9u9qXumyQGL3TeZNhTB9GYPkh9XbSEe3VEykAP,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-437.93850329146295；hold=0.0017096464195238028；sell_ratio=0.4434957133485306,risk_watch
AdnyQG8As5Dp6pjw2XAZqb1qTgFCaVdg3rQHt8TAjGjr,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-138.76781276473173；hold=0.0017022696934087755；sell_ratio=0.4439759572198195,risk_watch
96GofC8mZheQGm5sMmC62o9LiszBbQ4RwhRSeAThqfXN,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-806.1950267172348；hold=0.001688222930875039；sell_ratio=0.25339310230295686,risk_watch
ZYPB1SwQAjx1ZsQuYcjRmEpXNM5HSQyaU39UcXH3gsS,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-111.12665204318117；hold=0.0016567215298315863；sell_ratio=0.5303281608682824,risk_watch
J9NaGFbEWiYj8iJniPQNn1kJ6Y1kEf1urEkuKGiwbD6A,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=203.2704391596464；hold=0.00158408918284564；sell_ratio=0.3542939496366273,risk_watch
8RpRxABkP9FtSjAmT7tb5uw97rd7GnEn5dGpGBpJXtaK,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-748.6369092872991；hold=0.0015236700976680182；sell_ratio=0.17929153522321586,risk_watch
CxWJ8XiNw8MUYeEHZSEjWFhDYLBMPopKZE4m8TSJ6YGG,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-183.90965273451565；hold=0.0015158292886353617；sell_ratio=0.5496772612507594,risk_watch
HuqkfSX8rvH7NLbA5QVxGxujMsCcPuG6TBZoHTEx6bWF,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-1014.79590951462；hold=0.0015149346815735573；sell_ratio=0.23266541635320703,risk_watch
GEjTLVoJ2Aq1a2W6HhhfRdYtCUBY98ocVuqhP96prSPV,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-178.09008250045744；hold=0.0015022688533258151；sell_ratio=0.30083233044148505,risk_watch
42frMB2N8T2cUc1H4qUmEiQeJi7y169PKBfGSagd1qmb,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-157.87182593528766；hold=0.001469924975396049；sell_ratio=0.1603859753026023,risk_watch
BRmEECr5xqdHhm5W6njybAEEqGa4DVopsBS63qwkPP9M,Trollpface-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=-495.6082641686596；hold=0.0014697710229486995；sell_ratio=0.5096995247511396,risk_watch
