钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
CxN26Rg96SfF33Bw8p6TYa8qHVVEPqMmy9B59dswbBfj,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.14978130293282577；sell_ratio=0.0,仍持有,risk_watch,FINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
41gNrJtjnhzKhxFU7tNrDe5M1CgVKp6PtmDp6R6ezUGJ,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-1960.442367972304；hold=0.01649914308287759；sell_ratio=0.4553780445961864",仍持有,risk_watch,FINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
zxrqjW5YqXDUyMLJCfgGiddJMPNyHKipKvoRUjP43Rr,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=220.2649022261716；hold=0.01144324757868152；sell_ratio=0.06845979752141382,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_traders
GpaYTY7RMbjCUvj9DFX835pur4EqtEkPHHVaiVDj3YAN,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,fomo,top_holder；profit=-220.33770430018046；hold=0.011193069123818566；sell_ratio=0.0",仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
Bgy3gUJ4vYiCkDNkACD58D5CESuFtE2gCmVk7tJNcqfA,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-36.572783578094544；hold=0.011187291869079727；sell_ratio=0.10375820666194897,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
9Hrw3ACRFBdmufA4BjsAM22NAVGUagF59yjjEXuQ7g4E,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=200.2086241499946；hold=0.011056818501505757；sell_ratio=0.0825208346032507,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
6pYF5sS994FcRdk2cpSpCnVxREiiWbUf5j2vgZDcfSuM,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=8.449738475217288；hold=0.011014782075202298；sell_ratio=0.12205202039998009",仍持有,risk_watch,FINE-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
G9GsUGqESNXYYytp36gUgDf7QSGr2kLMtV6FbrJ5yBAH,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=166.98732961887677；hold=0.01100103126092797；sell_ratio=0.07638830903662167,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
4ZYthstX5fqCtTVkvbcKDg5v6JQisMt8jbQzyAazVfKm,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-118.9657133764419；hold=0.010957001930588184；sell_ratio=0.07705370164157442,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
CxD1VcLg2zAx9EosVZpRe8TBWy46rf2NVQMdwCnQgxZq,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=132.2308737955205；hold=0.01093986410655409；sell_ratio=0.014042032906233202,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
7SjZFAQNhb6xApGG61ufpMqWkwxWCwKD81d9sFTgfZRh,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=62.11792121654625；hold=0.010885306553902121；sell_ratio=0.05561317876724002,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
7efm8BaK4BBu7Zbt5ZenRWbcuJDPZomZkhPzLzLVnYGz,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=-72.07113023176251；hold=0.010883180225953122；sell_ratio=0.11851926364957809,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
7tHrbEfDqYSBTBig9gyJVPwdxVA3r9qPcQfoBoRZWDwY,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=205.96939002773163；hold=0.010875827604067622；sell_ratio=0.04472939739637221,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
BdTDK2xnDbR7uveWTBZrLQuMaaiBGjfX3YEo4gctb76o,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=-22.77584310130007；hold=0.010868691867460728；sell_ratio=0.12468681342694765,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
8VzRgT92NfUzQiGzT1HDrxEMfE9pWAxbHocsBMPhoheQ,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=-5.110905627442918；hold=0.010799597670844778；sell_ratio=0.1486429431219409,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
Gpppb8dcVL2FJGwuXYT7yMo1qkiN6E6xXTccpUbxwQge,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=196.4921153910234；hold=0.010788462393815928；sell_ratio=0.1565794669882652,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
BeVnSjZLFoFk77hyNKSHyxmFvkDHuev9kEcsGCSt5QCA,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=无；profit=176.5614546617832；hold=0.010709153101100544；sell_ratio=0.0414002023712743,仍持有,risk_watch,FINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
