address,gmgn_note,reason,action
s2kPNa1idwmDT1nqX3G4bqpSNyhqmX2FG25pAeqW76N,GOP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.051252705686930175；sell_ratio=0.0,risk_watch
J9nSJQXpmRTascQqR5bkSyT822D2DUAHFC35NxDZDAmF,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=0.0；hold=0.023659938398985215；sell_ratio=0.0",risk_watch
8rwK6Q18LPie1EjW2qA8rvsu9pti88rRHcGoipa5WqU1,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=11948.502275542627；hold=0.022749052563851308；sell_ratio=0.0",risk_watch
GtJLoUtow8Qxghf7zFZzDJYgRvWchHkZE7saq2CZjnQd,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=11948.502275542069；hold=0.022749052563850305；sell_ratio=0.0",risk_watch
27AsxxzeXAeNbk6XWrzZxbsdYvBzkmPS9s9xKWqi6BaA,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=11489.980399169535；hold=0.021926342865957626；sell_ratio=0.0",risk_watch
93AfRB29TJb9PPGG9jnPqwjiXYdLAReidFzqn5DvQFwR,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=11489.980399167032；hold=0.021926342865952627；sell_ratio=0.0",risk_watch
3WCMRibDjAnLJ7XfL8BDnDzAKJwcPoxYdPMEjGnYsEwM,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=padre,axiom,top_holder,transfer_in；profit=11467.54872440134；hold=0.021821561122912742；sell_ratio=0.023472487782030652",risk_watch
MWEtJhARwg5jDX5pEyJNADWtZ4N6jvPX7Ttqthz7PAA,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=11046.773034060046；hold=0.02079617605160969；sell_ratio=0.0",risk_watch
6ea2PZ5ap44eJQ8dMiZr5WPwNiV64mT8Mahc1r3rH8KU,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=9397.037515690003；hold=0.019314557127718332；sell_ratio=0.0",risk_watch
GPLm2C57jgX1UF9VGUpDASfzJL1Jh4KSEZZAMC1Lgqut,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=8753.802446678526；hold=0.018026919985871113；sell_ratio=0.0",risk_watch
BEHUMTLNu85UN2YS5wwJYKcTTjWbVhT5PxtvF8rPC2bL,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=8774.04737295139；hold=0.01802691998587011；sell_ratio=0.0,risk_watch
JD8bF38GxYBFCHBZ8ZbkCUW3f6T1eaH4b1mV7okF4bpu,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=top_holder,transfer_in；profit=8772.510948482717；hold=0.01802691998587011；sell_ratio=0.0",risk_watch
5jsZopE9sU7bTe7nV4wZUAMcAUddRqvGMm3NZie1Fi6V,GOP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=8766.679534432746；hold=0.01802691998587011；sell_ratio=0.0,risk_watch
