钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
uKw3gt7f78LhHeKAwAJRZpDVVMELMkikvLokbTT1z5P,,,,,,0.11453500092265441,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Mdm6rjrbQD7oV5RBiwjzCGAfhwuRySvTxyor3qvkNaz,,,,,,0.007981315151457974,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3DqLCnxmer856hzHnt2ziLjFDLc7PTbiVum67w7x4dxq,,,,,,0.007761071166177689,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Dg3Zgo5sMhe9bVayT1eMSnRZh6UtUXiDdcCy6H3SwTsX,,,,,,0.007516122370967963,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7MsqgJZj2wHV3msczRTvBXnFssXUZac8XYfGZPvWu2sX,,,,,,0.007394885277373788,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8u9dxpJFTDsbE8CiLCGCXS9ThNEcW3JVVuFgGZee4q8j,,,,,,0.007362984379320088,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
J8k2GzcDu1fQxzJjQmBio8nNyjJKgrEY6aZwmVj2dcj2,,,,,,0.0069413967826344606,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8mRVvAMYsWtruG5Lq3KztAxZ3Qxk1nUTbNUtEise9vZG,,,,,,0.006749338914919896,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6RV4n43t22p9JiVBQmefYp2yDbozVUtMbBA3vksBJ6RU,,,,,,0.006654382888814391,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
B3hbohVcP8YvZ4kfTNAxkD2vQpaHXrKLJcGuXojqiD1V,,,,,,0.00663985100400332,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AwAR18Rbj5ocJox1fXFCUj6WedNWtGbB3yMnWyVyP2QQ,,,,,,0.006597420027948726,0.16734642633153796,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
EpxFyysZm2vgxoNxEXUKsaynmg9HUTYoFJ4TNrcTdRY9,,,,,,0.0064753746560008785,0.1737399486263122,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
Cw743P1ZQGoaMFTQGkxqjV4qSR1zS5vVGLKkKBJJK5Dn,,,,,,0.0063896927045252435,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EaeKT21vTv3ic9PyApchgJ1SXZAYYeHxwtr8zsZuAy6h,,,,,,0.006108490417817449,0.1970865371016875,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
GTtMoRkA7GZApmUKWGmYvLMjuqwrM9562E8Zk34fZ6J2,,,,,,0.00597660673171124,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AwhWyk1zhCcpYvF2oFd8KZdNtQkVeHtMw9KGeU7sWunF,,,,,,0.005971848128836296,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
7iyyWvcmkdFHauvoo6YCtwMNsfPhtGghNTELq1Ci7axb,,,,,,0.005807470467787223,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GZpTjgw9gGRPktv6hAdizt4v4Zbdi9BPsfW9gm4GF9wY,,,,,,0.005801625232156253,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
25WFpmiR7JPAAtcxpTcYMFRx1zqd5DpbXfh7mc3rgHo7,,,,,,0.005776992401291079,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
88cb7ueZPkmR5AL1SNTqu2T42rETJZTfjXJy72EdVmfr,,,,,,0.005775121789329247,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
965DXU9jmcKgFnKGuS8j3x9f9jD8cdudUKQsCv2YaLZn,,,,,,0.005753605529204154,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2GiCQxUdK4QrJ1zNQUrhDtEb22whDAF5pKkrVBRZXG9E,,,,,,0.0056532962885519076,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BkTvoZdbahjrcPxYvWYzZqd2hMLEbKAaoHrG3fnt1pAj,,,,,,0.005609295939807082,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4KGC93C1uu1RFY3by6R32Ci2vRepWrh6tTowkjgjAmt4,,,,,,0.005551378460222421,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
