钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
uKw3gt7f78LhHeKAwAJRZpDVVMELMkikvLokbTT1z5P,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.11453500092265441；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Mdm6rjrbQD7oV5RBiwjzCGAfhwuRySvTxyor3qvkNaz,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=602.4191921859434；hold=0.007981315151457974；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3DqLCnxmer856hzHnt2ziLjFDLc7PTbiVum67w7x4dxq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=553.6179023657883；hold=0.007761071166177689；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Dg3Zgo5sMhe9bVayT1eMSnRZh6UtUXiDdcCy6H3SwTsX,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=438.9319623232888；hold=0.007516122370967963；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
7MsqgJZj2wHV3msczRTvBXnFssXUZac8XYfGZPvWu2sX,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=539.3911996962304；hold=0.007394885277373788；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8u9dxpJFTDsbE8CiLCGCXS9ThNEcW3JVVuFgGZee4q8j,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=431.5160275556601；hold=0.007362984379320088；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
J8k2GzcDu1fQxzJjQmBio8nNyjJKgrEY6aZwmVj2dcj2,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=368.07459984705207；hold=0.0069413967826344606；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8mRVvAMYsWtruG5Lq3KztAxZ3Qxk1nUTbNUtEise9vZG,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=394.0084262491173；hold=0.006749338914919896；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6RV4n43t22p9JiVBQmefYp2yDbozVUtMbBA3vksBJ6RU,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=347.42711902776875；hold=0.006654382888814391；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
B3hbohVcP8YvZ4kfTNAxkD2vQpaHXrKLJcGuXojqiD1V,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=445.46790829759453；hold=0.00663985100400332；sell_ratio=0.0,仍持有,risk_watch,GOBLIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
