address,gmgn_note,reason,action
4PuhV7FzjYXVMeyfgdaKhbaybwgSuRSiiR9enRu4Lmv2,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.12179845070602084；sell_ratio=0.0,risk_watch
8euzd3Wo9Rq8BMcDTTfjTQ1XGSj77LxQjd8L5VPnyJPR,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=415.7057040785677；hold=0.007270636480984636；sell_ratio=0.10434676000417288,risk_watch
DZ5NbBCAXYqHtCThimAbqJAQkKw471TGhY1HkHyMnkn6,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=384.03430131042825；hold=0.007258855737382341；sell_ratio=0.0,risk_watch
HnHKzmUutfB3hDdp55Nc32paEDqdGBzhsM4bG5V8nxe5,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=484.57656497154767；hold=0.006822510590423197；sell_ratio=0.19580793402046492,risk_watch
5Utj8V4JWBKyWUmxXa3M69MVRhqbBDfmmyLGWf5QYwK2,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=482.87426695787326；hold=0.006654920605699549；sell_ratio=0.17431718195175328,risk_watch
D27FbVvoggfXpFTW3fNA9Y7uv9wEH6gPVtDaxsSd14bz,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=298.47936807761545；hold=0.00629652463834607；sell_ratio=0.08510136592800384,risk_watch
76d4QWCDmvJQwtxsTHfsTcYb8rPfZG5extsHkB1j9WiR,MSPEPE-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=227.71693216470624；hold=0.006291011737904086；sell_ratio=0.26426751223657174,risk_watch
93k32bDkmhz7Fgo1uVH3g9MXonPc662nUqmF4Qso2pnW,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=443.84777958578843；hold=0.006285584138078123；sell_ratio=0.190126358384476,risk_watch
C5sNikJnyCysKeKyXXi9gCFuKqPKZZSo7gaPCx7hQEf6,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=157.6281425344289；hold=0.006122398528644462；sell_ratio=0.0,risk_watch
EkjuuKjtRv4ggyHaj6f9TJFmtndEq7Uxjep7pE6gkAxt,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=483.14399159473805；hold=0.00593006857884608；sell_ratio=0.20147284832046866,risk_watch
cudH2qJRL8NjYmesbhVP9FqC6EwV4WVUUGJZnyeUxVb,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=579.4669856013886；hold=0.005863817471210723；sell_ratio=0.27600939161529403,risk_watch
2heAVGSS9uQgEPKBysFPyJXmeo9SYkJQKvW4wSZp4G4L,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=209.42662783923868；hold=0.005546460761702629；sell_ratio=0.0,risk_watch
63DQc66iRndmLSUMVei9Fr41vJrr9B5M2YnNJfU6M5JP,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=300.7112199050605；hold=0.0054368888240979504；sell_ratio=0.0,risk_watch
5G5CQnojQCGZnRGTKN9o3em9coDNtsutgnusDoSkGRM,MSPEPE-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=439.0198965693601；hold=0.005267177942868728；sell_ratio=0.3823034399138193,risk_watch
