钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
4AScT7UaXB6F9bTXeccjFBZ5uoFcZo6pWoNitiA5Nqsz,,,,,,0.1391749587311071,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
qAH1wMFfcqCg1tMZDzm3weWDKybTvfTwPmrY4cZTWE7,,,,,,0.012698270684103594,0.1100859008997499,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Gf3qHTQt5PRUQC2GQDNyhCD93FbwKDbie2CeDfZpEF9P,,,,,,0.011992369052383574,0.555582336399677,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
D9tVtFsbsnraSHBXgtNtdS9cy75WJYj3m8Eg54NxLhto,,,,,,0.011756546776021332,0.3687401401678181,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
6nCeaxjTgYh3HAbn8Ac1xCqfbkX4mkPrPzTeCo6fyJak,,,,,,0.011274774277579428,0.4963213629313926,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
DxuugSXAR3x8kuedtvydw1NZzEPbJ9Ge72qzNPxqsQGx,,,,,,0.010475685730364618,0.3625060308209766,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
FinvrMrpvNwxXVQtfAr5LatYLtHzW1MaUzzYrq1SHWGy,,,,,,0.010422683568255967,0.5854864615791693,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
ewvgm63MPSxxYgJWwANhJ3LLJ4qc3iYFYkULqLTMdfY,,,,,,0.00644698639468994,0.4585494273447026,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
CUnLf78n4aKJfL6xooC4VC8dVDAV81fRKmC6s1ET3pMv,,,,,,0.0047809426625049535,0.6765847585092141,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
3mY9iumbmJSwa7HH6qjMJjGnL8tCFJ9G65wieZVJDiuy,,,,,,0.004093633296091596,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
962CfatnfvCM6zUYc7x3AATFRc4eYqjXU9TaHsxtepGD,,,,,,0.003972147214724714,0.5111516339135275,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4PCc1HyrmuQzmXcfZatWkJVVxpfvY2pk2QzSaDr739Av,,,,,,0.0038442139109771552,0.774215910577241,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
79uHQ6W17ez1f7QVBVATSdKbhJrASmdcxtGGERqtrUis,,,,,,0.003810141563247581,0.7790929882322307,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4e6xfT3NukmS4tcM5AXtXdTAVMBqWhWzBd2ahxi3ZaJs,,,,,,0.0036705927573786783,0.8459521737754612,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2ZBSeazPBjJFQ2Gb8y9QHC8KgadAt4fTFBZ7EWMBAwgQ,,,,,,0.00362118336516081,0.6955887745977863,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
CABDTXN4QB1Af8xtJazusS3TCzKj3Wg2KCEFYGRAsojF,,,,,,0.003470841821541789,0.8377200202772193,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
EnFuthREw9yjnQ3MhUc4aMFa9W71LWzFch7uNcBZyy49,,,,,,0.0033280732314577882,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5yQB6QPh6mQ46ZLhTuhmQumpTRnnNNoijVDkabaSMr9g,,,,,,0.0032918733553992004,0.6641367581592662,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
6miZPXG4DMHRL7PhLypGfXRQ7uRvexcbsffaUKMTSH8D,,,,,,0.0032779083346617358,0.38277412840774877,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DKagtJKDGdew9QRYua7enJuF1CJBNgKQ3wLH18XNheRr,,,,,,0.0032730097960809654,0.7994184045137969,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
4TVhHMVc4XW9u9P7MWQtgTgvaFpokuRZsb5CF8zHgEBr,,,,,,0.0032303770028464743,0.7262462652605401,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2YqhxuZkJ1wvBe7f5WF2g1Cck9oCiHwGgRVSm9pgBxuu,,,,,,0.003196738852755255,0.8318374147574411,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
67aDaLMHuVdC461KexqYtWnLavB9togRfwfLf1V2TFms,,,,,,0.0031075472065108466,0.8445700293220001,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
GX9jwaGiLD6pHs4wPTE9uUFVc7ALskiYoQihcCL4VWq4,,,,,,0.0030055450097249145,0.8050291491342022,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
83UU882VZdBHgoutHQJTMKPguq37QxxASEo3atrMnSwb,,,,,,0.0028648983565312844,0.594310233165228,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3T5hgN2NDXdaLKYobnZqgvGpMQx3JXRy5xcBcjGP797U,,,,,,0.0028518103428008283,0.7414374079320478,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
