钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
Fr2AzEUeszDfRhye41XLdfxmuZJZLAD74U88142Tc7pf,,,,,,0.10098890489710359,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HSddJz6bBiKAE6ZHqoUv37LcWj7rqz3socmxR9RaGCwt,,,,,,0.03479252246619768,0.3921311161343247,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
9L1GbKbmKidauHVyYiRBHd2tCcKsBVMivK4NwDvtESMq,,,,,,0.028087020449884547,0.19913829754391377,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
J3dnz2QDVfiouCjWTXowtX9zpNzVp9eQdnTa1P1xMArB,,,,,,0.026289102491070256,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EFAmoHKE5YekcoJHtLBenfGjcRQeG18T1ngBUxGwBsie,,,,,,0.02583890473614593,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EeaPLsWSybGbvABYnae3vxiwCovtck4VSNLi2rjNY82E,,,,,,0.02301528132179669,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9oC7hJhsfCJy1BJe4vUQxmHuhzdHJNkAS1z46VTvj2Kc,,,,,,0.022448674981110164,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9tBVfGoprxwd4cdHgvzi4QcSU6XjYNEAyAfM3jq6i3D3,,,,,,0.02235669830202019,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
25keYDzNQ8LV5ToZzDcMoom3dzEnFEE76znk7m4WZi65,,,,,,0.021614666944288347,0.3346286277240844,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2iemfqLRUj7pvREX8aXT8G6wHTCf97SZ19psd24rs2Rx,,,,,,0.02136883883130363,0.4245968565159354,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
Ao9eKFiCoi9k5QpCJacSAFvKaJgbimTtnHyrJWrCo6Du,,,,,,0.021207329507417487,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8WXKcUjwMU5TxiEN4mjw52iP4uPKx8VpXGozqMadqhyq,,,,,,0.02019857543762099,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2PVv62rDKbv7B4azBffLo7KU93hwXc4iGEqMDS85iJhy,,,,,,0.015836264474220554,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5rSYtHhYKo67ijVbzhGGvRkB395nbAEaquGJeXpFffnd,,,,,,0.013741483727215396,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
2fJQLzSKRLuWmb58p2V3T4eeoBju8MshCwLzFnAVBhqg,,,,,,0.012533379092345353,0.3788885428369397,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
FNJn6jeKWGYRHa3k6Hy1khuo99m9n1XSyqGkcNnQBTXK,,,,,,0.012517968181190454,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8JxpAEjmiL6h7zmRubuXPGAPwQq1j5CW5RiQqvJGeaEa,,,,,,0.011811623955402745,0.6086625949786896,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
4K7QejP2vVhJGbjD2Cvdt1p3bQybu9Ekwmx16y61hDKi,,,,,,0.01170186626356065,0.32999999999995533,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HMognvDFYkKhZ7srG2HvFFoDEmYFRaBGrwpuNwPgrn6j,,,,,,0.011671545865985445,0.45324999999996474,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
7ae5seL4ZvCMMS2ahRMMiMXpSLCRYNi3KczfKD7q79Tx,,,,,,0.010619048262135396,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7ZC4dtM1bVi6LMGFxN86pacHhKXAEgdxP4WmkFhSRwv2,,,,,,0.01061269152189987,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AQYfi3QJujxrumqY5Ga9vrFXDiuQMGcPArbzjc5C9aJJ,,,,,,0.010057126734046674,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
C4Svaa7djC8d3CVxaohrsedccaKqimNoJrWe9iNPdix5,,,,,,0.010000600796093426,0.6007806356027509,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DUUCWMbCmMCkfqrUEp3k5FZgxXtnknw6JLtCb9WN9G4a,,,,,,0.00971436143598463,0.04999999953052946,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2uWbau8835NZC2q5DaiPJrvdJz7C2kbLV1t3H6oeQMKE,,,,,,0.00960396349504393,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2BqUhXCjDUAvwBghPNo4JREGdfh6eyjSvTVTpzg2f8kj,,,,,,0.00936121684796336,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EeaFMwTmez3owRFwvHoMV8nbnw9tg5f2fC9ypnbE5bpT,,,,,,0.008936237321815345,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DD2bYFyVryiWeiTGPZ67AH4pJUqzA89VvfW5YPoKRmvB,,,,,,0.008500510676679411,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
H3X3PyginVGghuyWHJYJVa5U8vfenmVHVjPQUemYWqfd,,,,,,0.007635601224962191,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
EVECwExgATtbRXX1nvNQ7CPE2pzhperS8iekp8aBCTgX,,,,,,0.006985215254864651,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Ec9VUTrTLks1ACjku4WXgQEuMxgSKGFowAdeFT5fwkWT,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
FtJTyKG6GHfQDayf7HyYuPBdJb8yg526k43Mw4qW6Ddv,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
G2UjYApQ77nEwCP5vqPdNWDpG8A6PXFzVA9EXLbisEvg,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
7NqqHv8v7DLiPaWaiPDTyMGDGgkL11D4T4zScXEpzr9h,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
8xsP5Daogj2gdyttxXdYPeRVPS327q5Uhy5gfyzmxKfL,,,,,,0.003407648171498551,0.8243084600577911,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2vw3h8QMDdW3WbmKkTct8EWn2FyGx55xjZ1SBJQeQaKc,,,,,,0.0028588058162682182,0.9300854867659046,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
FZU56d9iPqohXM5XBrYYBZLi2UoUnZT4V5Qf2631tEzb,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
ECnR6A9N4s4ZZQuSjmu5gyXd38YkqJmc53DkUaj34AKc,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
J75JWWaAQ4N2YRi2XQaixcSnddmRDER7Tu8HeR9BiPBg,,,,,,0.006444635663221104,0.40616270495693885,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
5owdTRvZgxmEm4hrdQTn89BGPFCx31FZKtQw41Gqi3UU,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
3M6h7ZbPD7CfE8tBEpTyLwNfHfHn6SiLC2YiMv2G5wxB,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BgALSD5UiPcDPFEL6GxSEDJrC3JvRoSrNKpvbbxJQDz4,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
Dp9edokxBsL7f8RYbDP8Xmvt43C6WyE5K6eZHVxJi54x,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
5tfZgNGXCfuLcv5aV46tTaru43LLnzD9AmNam1Q2zvn,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
H2hkxanvYfoFjpax5DARMQo1Kt6DHp5S5hMtXcdUPxKq,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
4HPVhpPNWpwdcZq9nuScbTimaE15TTRxLRdNQFKkPtRQ,,,,,,0.006115561212367394,0.2796527145868516,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
2fg5QD1eD7rzNNCsvnhmXFm5hqNgwTTG8p7kQ6f3rx6f,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
6Xw8XGGTgad5gp8xT8eWK7DcJKNPBsNWfxrY6pufQgG,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
5dGiwiFm3jMHqgh1xR5WtB5QFAUorqfjUeP6o54Hp9Mb,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
GJn53cswJ3vkHnWaoyVmEACP2RoSGzM3NszJRyiY9RzN,,,,,,0.002420275298606839,0.8136969359415106,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
6apEEnyNt1HeY48iwZQ9X1i5U9NX48wr7CRgvNeV4cuk,,,,,,0.002620215013500151,0.6352718229824007,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
F17aqrko5Thp6G8GskXV15SJbZg7TahLzeuNPrKQZnWv,,,,,,0.0010597483950915837,0.5079384383551366,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BF2YqGu3fPakdh4o9TNpGdVAxtxY6Fum6tY8VfnPS8f4,,,,,,0.001015064115423798,0.5108734646807277,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HTMXW3uv4WTVQEmrRYGiK6viGPTBjwp2CdZj5ZxX1bmm,,,,,,0.0010120517156358684,0.6331813983204903,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5FPytvPnCfQNN454uT342ChLoyb72dpkvZpdGwR2cnii,,,,,,0.0009000540716484083,0.4254282626175963,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5Kiu25UHSve6ixoFjHafYCSkwXdiDsx13EgBt4oPtto9,,,,,,0.0008884816003076201,0.9371515865403466,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
Ho9VEKHLSn4FFke2cH1iXqLgWvvkdu2SVkJUm6J3J2TZ,,,,,,0.0008579700196549009,0.6453331371726034,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8w1Zdm1GEzMXatN9hYERByrJWqqtpUHioMcVqZ57zYKH,,,,,,0.0008500224806605482,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ERBVcqUW8CyLF26CpZsMzi1Fq3pB8d8q5LswRiWk7jwT,,,,,,0.0008145447208246483,0.8924197608016502,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
Aqytbp8o2UvfGaqbkKbw6stT9Tku5zM7vSmFuSopxasa,,,,,,0.0008024129316322807,0.8486080165453063,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
PZU1wdX28Aed8yzxNtBmXqSd87dhmPvf2X7xum63yd7,,,,,,0.000699014120099279,0.9680932905678759,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
C5ktrucAPjyMr7C8Bzhmf1whPWrhNVEEQPGkWM1qfSiS,,,,,,0.0004895640567822752,0.6739898440534662,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FxDDMKEhmLphmCuU5YHAK1wMzVRNhfMLQG6fu66Pg87p,,,,,,0.0004424302608623516,0.8948246295653243,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
ARqJ18xaBLrEJYARaYHxfRKSi1pB7dZjwq1NW6Fiuieb,,,,,,0.00039376221273069203,0.9610638649502784,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
CVMbHGJWT9BXCLxjKBFMarNeN8ydbwV9hE99r8wmyhr,,,,,,0.00027979615772597157,0.966168911877204,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
J6ZaGCE5dsp9apMhENvTDfrMFxR1ezSFRn1nC5BVBQQG,,,,,,0.004200252334359239,0.003897889660735932,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
EDe37jnErxAGMkW3JEgCRA8mGdJX9SoXe8HGnvV6rPkh,,,,,,0.0027993824807009105,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
H6mnMAYvQBf4xVG4Be5TJtwv6mESUhSqcVJju85W7MLK,,,,,,0.0024632590088322142,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
rXXiAnaGHjDLubikAbnj9719dEQcvw1p3ADVUuddtw4,,,,,,0.002449535314983583,0.712762141454262,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Ajn7JvcYrCY78eqCwffSG1A4bjYSpqXv16ysT2MD47ju,,,,,,0.0022592503232684207,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
7vnZthNiEnnXR1EgcJ6Vf1nHpjwcczjsbKkLyzfSAU8c,,,,,,0.002242031559109945,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
