address,gmgn_note,reason,action
4uCk1yZvtb7EXqLrSL5ZYHpFM4UBreHQyfVKWsS9QwgM,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.10363438579242203；sell_ratio=0.0,risk_watch
gop32LnD62i1AiLkZgwn9cPUAB8Eo9NcF7FhwarVUQU,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=top_holder；profit=1554.499224151038；hold=0.020333354337047214；sell_ratio=0.0,risk_watch
4Er2S3CpG7HGHcPgfYSopSayEGgQy7BgCWVFYVsoHccs,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1089.1830720354103；hold=0.01897906106567834；sell_ratio=0.0,risk_watch
HuM1YDtGf2VtKhhguTEhFsNYJDpsoVNcVt4bTPm2wzGW,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bundler,top_holder；profit=900.1231781579504；hold=0.01821442777165145；sell_ratio=0.0",risk_watch
Gp735j34jhci7L8YXdqVSwFNKe3prkmKrVABguGofBrq,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=top_holder；profit=979.6931423420683；hold=0.016263417616492894；sell_ratio=0.0,risk_watch
6VbdR52ku4sw1QD35n5yWocGiNgT9zHcpM5LUiR71jU8,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=top_holder；profit=849.5692435888468；hold=0.015416298758338711；sell_ratio=0.0,risk_watch
4zSJXLyuhk5s8jdRtFHrVF1jL6hLUc9PXy1AAN28erp2,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,GMGN标签=top_holder；profit=35.40694696531364；hold=0.013537068120434422；sell_ratio=0.0,risk_watch
4ARMfAemt3qEfRnDuS9AypTjGR3wpHmu6nd4UxxAnz8Z,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=28.519060122420342；hold=0.013460858727299387；sell_ratio=0.0,risk_watch
T6KMpoCgWf2mLuN66wQCUBoEoxyTy31Bp1pDxwGnmxR,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,top_holder；profit=1705.4691367544583；hold=0.012424894055992789；sell_ratio=0.06403065200653034",risk_watch
7qFD7UqHaU7fLAXBUgvXP4o82W8eePPHQz5NB6EK7DfK,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,"GMGN标签=axiom,bundler,top_holder；profit=1678.8525979595547；hold=0.012080721781857432；sell_ratio=0.0621083296686652",risk_watch
3q1SyAwsjLCMrqQA1EzCjcBMuhqf5HaZXqXUBBuUCoay,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,top_holder；profit=1563.0768123938196；hold=0.011909100776231418；sell_ratio=0.0",risk_watch
Crrso2XHhJq3joEfXkp77kbjXfqW171RtRQBGXyS612h,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=1658.6991348078977；hold=0.011759835921336897；sell_ratio=0.056180523202906986",risk_watch
5rA6tSfA5maETjLfCx15ZpsbX4Xv2HQBNUxmWsGYQnb3,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=1520.934604806438；hold=0.011738020960130206；sell_ratio=0.0",risk_watch
Bpumg5ZkzmBQKvYX5T99Xiu8mzHw5VZjQT9Shiv1Z1Dg,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=1494.700110441219；hold=0.011417722449074534；sell_ratio=0.0",risk_watch
FZEVnpZh4e2cwdGTtNTeYFN8t6jvDxmYgVgJ5464QwcZ,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=1612.9461440107552；hold=0.011200631794112664；sell_ratio=0.11810437675158779",risk_watch
