钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
4uCk1yZvtb7EXqLrSL5ZYHpFM4UBreHQyfVKWsS9QwgM,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.10363438579242203；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
gop32LnD62i1AiLkZgwn9cPUAB8Eo9NcF7FhwarVUQU,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=top_holder；profit=1554.499224151038；hold=0.020333354337047214；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
4Er2S3CpG7HGHcPgfYSopSayEGgQy7BgCWVFYVsoHccs,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1089.1830720354103；hold=0.01897906106567834；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HuM1YDtGf2VtKhhguTEhFsNYJDpsoVNcVt4bTPm2wzGW,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bundler,top_holder；profit=900.1231781579504；hold=0.01821442777165145；sell_ratio=0.0",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Gp735j34jhci7L8YXdqVSwFNKe3prkmKrVABguGofBrq,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=top_holder；profit=979.6931423420683；hold=0.016263417616492894；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
6VbdR52ku4sw1QD35n5yWocGiNgT9zHcpM5LUiR71jU8,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=top_holder；profit=849.5692435888468；hold=0.015416298758338711；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
4zSJXLyuhk5s8jdRtFHrVF1jL6hLUc9PXy1AAN28erp2,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=top_holder；profit=35.40694696531364；hold=0.013537068120434422；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
4ARMfAemt3qEfRnDuS9AypTjGR3wpHmu6nd4UxxAnz8Z,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=28.519060122420342；hold=0.013460858727299387；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
T6KMpoCgWf2mLuN66wQCUBoEoxyTy31Bp1pDxwGnmxR,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,top_holder；profit=1705.4691367544583；hold=0.012424894055992789；sell_ratio=0.06403065200653034",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
7qFD7UqHaU7fLAXBUgvXP4o82W8eePPHQz5NB6EK7DfK,RETAIL_NOISE,NOISE_SIDE,R2,"GMGN标签=axiom,bundler,top_holder；profit=1678.8525979595547；hold=0.012080721781857432；sell_ratio=0.0621083296686652",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
3q1SyAwsjLCMrqQA1EzCjcBMuhqf5HaZXqXUBBuUCoay,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,top_holder；profit=1563.0768123938196；hold=0.011909100776231418；sell_ratio=0.0",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Crrso2XHhJq3joEfXkp77kbjXfqW171RtRQBGXyS612h,RETAIL_NOISE,NOISE_SIDE,R2,"GMGN标签=axiom,bundler；profit=1658.6991348078977；hold=0.011759835921336897；sell_ratio=0.056180523202906986",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
5rA6tSfA5maETjLfCx15ZpsbX4Xv2HQBNUxmWsGYQnb3,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,bundler；profit=1520.934604806438；hold=0.011738020960130206；sell_ratio=0.0",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Bpumg5ZkzmBQKvYX5T99Xiu8mzHw5VZjQT9Shiv1Z1Dg,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,bundler；profit=1494.700110441219；hold=0.011417722449074534；sell_ratio=0.0",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
FZEVnpZh4e2cwdGTtNTeYFN8t6jvDxmYgVgJ5464QwcZ,RETAIL_NOISE,NOISE_SIDE,R2,"GMGN标签=axiom,bundler；profit=1612.9461440107552；hold=0.011200631794112664；sell_ratio=0.11810437675158779",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
AYMD3du4UPiXrWDZ6PGDXZgb835J6AQMEpEaeuPJmrK8,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=axiom；profit=1687.8372281456514；hold=0.010293224826548398；sell_ratio=0.2670327127036202,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
78nhKRaV2WSUxGU97hJnnqrzB3sNXQ6zur9HDGJrpMnh,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=axiom；profit=1319.1254341142103；hold=0.010080024390210732；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4wyV35P6g9PDVju3GeSWoJYJJL8QaYxMGKH9W2UV9ym7,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,bundler；profit=1350.7821348909843；hold=0.010061874560025807；sell_ratio=0.0",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
CVra64YYfzYSW1Y4oLWnQeKM6rHAUmkzC5WycgWmNtRX,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=axiom；profit=1267.2501227275084；hold=0.009962305803169789；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
GTZzCZKpqe7cTAMgvxYxwV2PxjDKrBQ2FWzzT9UgWqQy,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=无；profit=22.988971940614874；hold=0.009813611676388587；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_holders
4cz6pycPQBXVjxtKVsa1w99V6hydPfGJLA4T8enqbgdD,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=axiom；profit=1390.9584289255938；hold=0.009656564803012415；sell_ratio=0.21213124192638486,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
5jgqU5RyMQNW8YbKcPSfGZkSJ8YLWp1wk9xQymwbJUxw,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,bundler；profit=1369.0649253524712；hold=0.00960181915625333；sell_ratio=0.07690963484068425",仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3yJgqD6z2CjAeqzVxE18w9M9Beb9GyepUZ88hc7ivqka,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=axiom；profit=1367.504111615616；hold=0.009415378153858858；sell_ratio=0.13742081830043287,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
HpGgVmHX7fZyHBQy3DZzrgJsRbhiSgmniV4fAL3MqY5d,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=axiom；profit=1332.3018148001513；hold=0.009104124930634115；sell_ratio=0.2570563280440421,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
3L96zXfftFwBvMEU2d18XcCH3CA1mWZ8AgcADetxChNG,RETAIL_NOISE,NOISE_SIDE,R2,GMGN标签=axiom；profit=1255.11661578629；hold=0.008885803763324977；sell_ratio=0.19845203079269008,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-R2-NOISE_SIDE,token_traders
2pn9mvo7HM9Mf9YPLPTnJs8F8dKv3B19Mh8g3MvwbwG7,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=922.147586368294；hold=0.008638226857287708；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
GwRPB6KjFgY25UzXmD5BmCi5b9dzvFReLthRaVYN4ggW,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=bundler；profit=1151.761437736393；hold=0.008560110706991938；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5gh8ujtFLtXkFTy6TixxUhJpQcCShTbZRaL6rUbqnTVN,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=1128.8877064738424；hold=0.008394444803862054；sell_ratio=0.0,仍持有,risk_watch,TrollGoon-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
