钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
Fp4CxwregS8kxZNniRNW9QaJdk7NmS4TWmbXA3PrKi9b,,,,,,0.15844327519710763,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
34hYWwksgZa814fMyBRAafQYEGH2kRYFKzWNEkmHw4Xt,,,,,,0.03443738768936071,0.1324038048170065,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
EF7fuMtYGq2LuCoY3tNxXqVAnkr765p4gMZjm26tdyQo,,,,,,0.027842896573148628,0.017700780444532153,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
GCEXX2VGFnwb9jrCEqbUUYWoJVtzReq9rKTyG8tPnw3u,,,,,,0.023964954542929105,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6wgaPZZMC71DvyRtJVe8FWjVEgGjT5bGzyhx76SJy6rT,,,,,,0.02248942005753961,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
6M1i8VZ4Hnvs3WT7u8TaSktvMNxZCT9KecpBNYKoVtrG,,,,,,0.020575652099459222,0.5748589012708993,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
36jMMG2hWBYWV7zvRuWqfFPCJaDLSpMGrUGfJY1Qj2Ho,,,,,,0.020068874712296,0.6276520019092177,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
FUbHPPDCjqrtGzJbz6w1n63oqiMfGZETmXCqHCYRQDhw,,,,,,0.01908113593704666,0.06742598989080324,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
6uWy4f92Z4NpEBD4Un2yCpb9ypHokzuNPBJSEmfMXAvZ,,,,,,0.018730277265752045,0.8018817442922223,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
JDo2YZm3barZQpoYi2QwURqUZNCuWWWEzhrSXFFh7Xw7,,,,,,0.01852678876282655,0.4303293386453535,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DHRBrWEvX7ofPypjYd9nuk4dngXwHpNMRHFc2TaDC1Si,,,,,,0.017218800594873154,0.7561709322681092,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
46dMtwMGvM2TDkKXcYRyystPxENHkb55J5N7mSFozS9S,,,,,,0.015984389015015244,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
67MHu7ELJTJZeuvcSrhwGujixQxDSQBpr9gb5hSnaaBm,,,,,,0.015535959729959564,0.7231856074581923,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
