钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
Fp4CxwregS8kxZNniRNW9QaJdk7NmS4TWmbXA3PrKi9b,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.15844327519710763；sell_ratio=0.0,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
34hYWwksgZa814fMyBRAafQYEGH2kRYFKzWNEkmHw4Xt,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1614.8966673977732；hold=0.03443738768936071；sell_ratio=0.1324038048170065,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
EF7fuMtYGq2LuCoY3tNxXqVAnkr765p4gMZjm26tdyQo,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1153.132561611378；hold=0.027842896573148628；sell_ratio=0.017700780444532153,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
GCEXX2VGFnwb9jrCEqbUUYWoJVtzReq9rKTyG8tPnw3u,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1110.0058189187766；hold=0.023964954542929105；sell_ratio=0.0,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6wgaPZZMC71DvyRtJVe8FWjVEgGjT5bGzyhx76SJy6rT,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=fresh_wallet,transfer_in,top_holder；profit=885.5058389020169；hold=0.02248942005753961；sell_ratio=0.0",仍持有,risk_watch,CHARITYDROP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
6M1i8VZ4Hnvs3WT7u8TaSktvMNxZCT9KecpBNYKoVtrG,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=375.2345690804205；hold=0.020575652099459222；sell_ratio=0.5748589012708993,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
36jMMG2hWBYWV7zvRuWqfFPCJaDLSpMGrUGfJY1Qj2Ho,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1000.5286809220102；hold=0.020068874712296；sell_ratio=0.6276520019092177,仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
FUbHPPDCjqrtGzJbz6w1n63oqiMfGZETmXCqHCYRQDhw,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=810.6423216398388；hold=0.01908113593704666；sell_ratio=0.06742598989080324",仍持有,risk_watch,CHARITYDROP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
6uWy4f92Z4NpEBD4Un2yCpb9ypHokzuNPBJSEmfMXAvZ,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=top_holder；profit=1059.585932178191；hold=0.018730277265752045；sell_ratio=0.8018817442922223,已清仓,risk_watch,CHARITYDROP-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
JDo2YZm3barZQpoYi2QwURqUZNCuWWWEzhrSXFFh7Xw7,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bundler,top_holder；profit=757.5753791840964；hold=0.01852678876282655；sell_ratio=0.4303293386453535",仍持有,risk_watch,CHARITYDROP-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DHRBrWEvX7ofPypjYd9nuk4dngXwHpNMRHFc2TaDC1Si,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=top_holder；profit=957.9523504280182；hold=0.017218800594873154；sell_ratio=0.7561709322681092,已清仓,risk_watch,CHARITYDROP-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
46dMtwMGvM2TDkKXcYRyystPxENHkb55J5N7mSFozS9S,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=718.9966690662595；hold=0.015984389015015244；sell_ratio=0.0,仍持有,risk_watch,CHARITYDROP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
