钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
5ahUazf3yijLqEs3GtseWMGYSahui2KzWGcLrENNCJEL,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.17759432828505312；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
E34capZzN5K6yekWmwhy9ciaJrD7UCCpqsaVm9GzFTdP,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=bundler,top_holder；profit=-116.6294995253657；hold=0.014525601176466129；sell_ratio=0.6922494509643409",仍持有,risk_watch,CUMSLAYER-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
3Uv3ZMdoe1tRJom5iYTqXtjkcgTJ3dPH2zRr7pojgTik,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-233.5430764641244；hold=0.013564937056255076；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8qt5qmzAmjtgezdgQ3GgRz6KRxRNT8mb8giyuTVSuFud,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-211.26759310089753；hold=0.011715768796912567；sell_ratio=0.24999999999998399,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
GWRWbrHPtM47eFP7izeUy4h3noKGZr3zUYTYLwjtWqi7,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-234.84876389681588；hold=0.011574022558518481；sell_ratio=0.18999999999989434,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
7KGMgH66Nr2FqEd8Wq4DxEnsN6zWDn6eHSfq1KQoKKsB,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-247.8603700903435；hold=0.011337849311632425；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
2bWZJD9LEQi4JQvdX6vFH1ZSpxUypFdteNCD397i6WtY,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-236.41213307075475；hold=0.00832453991205239；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
9Gmct3FhnGmprMqedTxzrdqTyTG5rVrLfYA91i5Go6Cs,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bundler,top_holder；profit=-219.5280900805929；hold=0.00807856354359999；sell_ratio=0.0",仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5ZbrPDvApm3itU77CeW8qCnToPV2A8zUzGG1hbzdu7QS,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-196.128403582058；hold=0.0073439182612020084；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HG7wEJup62YR1co4JKNMuVFVuGsaXztJu5ktyZuGMePq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-125.63025551860949；hold=0.007070091335644047；sell_ratio=0.0,仍持有,risk_watch,CUMSLAYER-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
