钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
4uqCS1viyNXJX8ppjcCXTnvpzdhZHdbcJM4EAN9SFsiu,,,,,,0.13957089709387138,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2dJ5BGup3wQKTYczCxezZRT9oZmSpXWWoJS6z5kvzjqh,,,,,,0.0031288483043957747,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9ogBLCVb5tHMhz55CKZ9Q5GFEZsEe2JGCT4AWFpPgAGa,,,,,,0.0030191237550071578,0.7363682692895228,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8bPnBg4miabYtqfkF2dmCEJeyhUfH7Tsj72Tiss4u3mt,,,,,,0.002797588133090522,0.7225734733562111,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
37rDLaK9Xs3RdmyVgcR1ktq31LQE3EeXknFyEq141LUJ,,,,,,0.0027942637176485152,0.6306247017018461,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AarXKLFvyFGa2ErG7Fs5eKGJn7PgvNiudHfycnT2TMNW,,,,,,0.0027678193941246348,0.39195610629208444,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GuAF8AuwbSv9jTEauKdxVqpkhFUxKucN4uBsvr1Afq3p,,,,,,0.0027624845698478585,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BMgbL6xDd7UgzXb9WhmzPrY9qzGU9utW3rsas3ZWrHHD,,,,,,0.002757971276146874,0.7655532074466623,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2giPAJxA38CuvhWWNg3dWx35JdLCY8UPcGMw6chuy1ca,,,,,,0.0027513995832015694,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5pukxxCsJbDUuwuGpdkuoQ1o4TxkVXGD6NTinF4XMkFU,,,,,,0.002665407012254119,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4rxMtHWNjVQzYfDHGf91e6RWVCCpfzV4S6H2Fs88mHM5,,,,,,0.0026469733281660264,0.6772227945847028,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
BpvUUAPsVBxdsPbCVRvNHQLbbtUeYPedL6NPizAatiQG,,,,,,0.002633074173252489,0.06788555418668928,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5NupdNaCmAe2zbKPYuhLrdaYKPKarvKPEVtp6dRFVQjf,,,,,,0.002573192187906222,0.3032342812346966,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4Qy2PnyedyRhT5CHfQu6kKHAucF587QbaWuBvkKELPwm,,,,,,0.0025531028735036126,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8V192ZxKwPoSRE4fZteP1gUbKZnhSXeJdHiAjqEUpW5F,,,,,,0.002514148026347954,0.580804392867462,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
7UNqGvftLQAie2Wd91THDVjwdkGjHSEDSx4UG4faMixd,,,,,,0.0025029957266846834,0.5397933338990071,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3TpfGzA2eyXK3uj4ZGJwk36zfFkBP8bH2gTEDVWbyJ2z,,,,,,0.0024789160851897904,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GLnmfhFCwzpZcTANwjpTX2PbQz3jAVeCi3nUNq18e6Pp,,,,,,0.002423636597228108,0.8120366581160262,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
9QDJV4E6hHEeR9TSGducE8a3WpC2wziM3CbuScXeHnwr,,,,,,0.002358057348105244,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
A1pzNVrJ6CC6HHorasyLQfmxRNahPJJ89vUqLF2moECH,,,,,,0.0023546978330976393,0.8097358423615648,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4eGXjW2U9w3nBz3WfA3C93WqzoMfDw3gn1HQB1LkGRBt,,,,,,0.0023507599813072386,0.6149512556550908,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
GMCLRT8bJQH1YSP35h1FLd1ZorbKKqUS1rjnFVErBiMd,,,,,,0.0023365936539359302,0.5730288649453293,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DmT88tYVA5Tu1U4ea3GomC2b1ZFhcgo8uhd6WXAhBisH,,,,,,0.0023294266402795714,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HAk8A2ShxY5veKvDpYtkL6mGKWbNpfYHwCWBYyWvPrtX,,,,,,0.0023241255100892875,0.8024321515604645,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8knCmpSmhuzAciF7LAfB3Ki9psGNaiLxTUaP149aYhKM,,,,,,0.0023204010197006753,0.753443783013356,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
9xfWQJwCfKaSiehg7EMxJGXnzDFDhqWVqoGGsoRYnWKE,,,,,,0.0022851179156777256,0.6815818595490576,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
