address,gmgn_note,reason,action
4uqCS1viyNXJX8ppjcCXTnvpzdhZHdbcJM4EAN9SFsiu,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.13957089709387138；sell_ratio=0.0,risk_watch
2dJ5BGup3wQKTYczCxezZRT9oZmSpXWWoJS6z5kvzjqh,TRUNC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-210.0149645049736；hold=0.0031288483043957747；sell_ratio=0.0,risk_watch
9ogBLCVb5tHMhz55CKZ9Q5GFEZsEe2JGCT4AWFpPgAGa,TRUNC-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=817.0154582010136；hold=0.0030191237550071578；sell_ratio=0.7363682692895228",risk_watch
8bPnBg4miabYtqfkF2dmCEJeyhUfH7Tsj72Tiss4u3mt,TRUNC-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=top_holder；profit=925.0756806079909；hold=0.002797588133090522；sell_ratio=0.7225734733562111,risk_watch
37rDLaK9Xs3RdmyVgcR1ktq31LQE3EeXknFyEq141LUJ,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bundler,top_holder；profit=956.1096154255777；hold=0.0027942637176485152；sell_ratio=0.6306247017018461",risk_watch
AarXKLFvyFGa2ErG7Fs5eKGJn7PgvNiudHfycnT2TMNW,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bundler,top_holder；profit=428.3974710991775；hold=0.0027678193941246348；sell_ratio=0.39195610629208444",risk_watch
GuAF8AuwbSv9jTEauKdxVqpkhFUxKucN4uBsvr1Afq3p,TRUNC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-221.5233804078846；hold=0.0027624845698478585；sell_ratio=0.0,risk_watch
BMgbL6xDd7UgzXb9WhmzPrY9qzGU9utW3rsas3ZWrHHD,TRUNC-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=bundler,top_holder；profit=1063.8947331025913；hold=0.002757971276146874；sell_ratio=0.7655532074466623",risk_watch
2giPAJxA38CuvhWWNg3dWx35JdLCY8UPcGMw6chuy1ca,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=32.22654471942721；hold=0.0027513995832015694；sell_ratio=0.0,risk_watch
5pukxxCsJbDUuwuGpdkuoQ1o4TxkVXGD6NTinF4XMkFU,TRUNC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=-142.04731784396984；hold=0.002665407012254119；sell_ratio=0.0,risk_watch
4rxMtHWNjVQzYfDHGf91e6RWVCCpfzV4S6H2Fs88mHM5,TRUNC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=1033.057877701915；hold=0.0026469733281660264；sell_ratio=0.6772227945847028,risk_watch
BpvUUAPsVBxdsPbCVRvNHQLbbtUeYPedL6NPizAatiQG,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-20.51787065659651；hold=0.002633074173252489；sell_ratio=0.06788555418668928,risk_watch
5NupdNaCmAe2zbKPYuhLrdaYKPKarvKPEVtp6dRFVQjf,TRUNC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-16.48832430346195；hold=0.002573192187906222；sell_ratio=0.3032342812346966,risk_watch
