钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
BoQP31E9Dd1MyKjVMUvWuq7pJjKckPAJa5QRf5i4gxFQ,,,,,,0.15600904702128,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
21KkJM6XkLoHJv5xwayqpJ27NZK7MavMYp4YhQtxgcr5,,,,,,0.028010305223538073,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GkkC5D3z5prXNiSd4jAaYNthakG5bzYSXspLHc9Lo2Wx,,,,,,0.02300855129371094,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3BQc5YQdvWJruWRfbKtokmHdfCntngXuW6X4PtQu1Vyk,,,,,,0.02266233580988227,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8avA5dWatcrJiHnuof3xk8UTaV25fZputpeBjWfLUk5n,,,,,,0.02261682591946476,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7fTREYp5bxYYemWMvdnSrdG2FeqppNUi8QUpSZsNe514,,,,,,0.022209113078108616,0.24999999999999156,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
3Ct8AjgepXq4Tf4kp71dZJMrn6Q2ETwf32APz9mezNhu,,,,,,0.02208047493693944,0.8293140949312456,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
DBA34VtQiUC78y6ZfdcBBpaNKief2nafnuPVfsvP1MBs,,,,,,0.020822659469615246,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AMEtcdVr5vDm9SrPod9m5PDjQArdMJnU3Df7BoLmqrZe,,,,,,0.02059754330103856,0.19525317277511012,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
881DyWemaE9KWxqGtGE9k4NjpUKQU56p4muizqZK48wb,,,,,,0.020591314349781606,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FyNrn5ELHtimjCscVqRK11Q59VaH3knzahtcaPpcmSro,,,,,,0.02024708929329337,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GbozgdkPTCx2D94YM5CsZR1x5nKRL3pETvyKCArrrBsH,,,,,,0.02016483471968781,0.6127707624410202,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
zNQbkZjsRcCE5SSHdxPEVy7qRT3a8d2ABzxxeJaJZBJ,,,,,,0.020125811947459174,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FEGM3TLnTbsbZ8a6yhsdHAaoe7ewk6wS8MgW8Z7YVbfx,,,,,,0.019947992340731142,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Ch165eEXKcmaE866D1WtS1JqzbGJSN77AuE5m7RbwH48,,,,,,0.018429800757305246,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
D3ntg2YygF5e96QhJUNUCd56qHLcTvB1PDC8TFjp4esK,,,,,,0.015513302818100125,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DNMY7eQpqhX17Ly5tANBAdzMi1QnMxRyo8EkZFjGawY4,,,,,,0.015215358681967361,0.709279733465696,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
4SQvhRPMZEeCU3h8r9BjrMqh3xQ8rFHdkyuAfgyMcaTz,,,,,,0.014635125599723605,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
RXDM9tr7qjPC4a2u3XnnQLiJwADPvFXwRRagy264UJB,,,,,,0.014202399881569861,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Bz3JkPUmtfuGhLMPH8izTU3q61bSPekm6xAcRHEjED6z,,,,,,0.013785899517225704,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9uuYyxtz4X3kaH4P5z8EX9BKp1nCYTL5CDTTuoVaxsRL,,,,,,0.01326321888591515,0.6059826344434133,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5HAdzhYggJwYt3ctiEuWZV6FKPY4MfGFJWaFTcnVJXC8,,,,,,0.013261070833387362,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2znQ11WbZ2rhB2xhWCaDkoaXMjKdQE8CcafBEnHZgXGQ,,,,,,0.012900195457608527,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BCD81EvozotiLJMJbv7QF2NVqdmFmFVfaaGFTPoepitB,,,,,,0.012706569910632662,0.6756313608492382,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Hk3Eqk7Q7AEsf8pU1jcQCwHKf4tVvFEEmU9bxHTzGTkW,,,,,,0.012371358715799514,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
CuX4hzB9oH5LDVQpf37mnwcCgBSHpmPbenzPzdepwdDj,,,,,,0.012213297817833368,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
pjrMfSmjd71sLKDQzXCBmqZ8dh6XpA22MvsqMymNYWH,,,,,,0.012147290414363677,0.5249925822377084,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Euiq5NSfFGBHGZCE2hmYPVkGft7M4GoZENSmp4szXcu3,,,,,,0.011800638011656591,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7X4kMaaQhDe8982eXnmgpXE6ZbZGWdFmLwTpYaQVrHLQ,,,,,,0.011118604734932149,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Dwjj4LJo4acZ5gu2nH4D4fwLqNfisJY9mjE3bQyHBSgu,,,,,,0.010972998296350246,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CZjxED3uVrU4MaNqkbw6jsVQfCTjb8ctenJfJGBpYJi,,,,,,0.0065882706288376315,0.8389122456667443,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
J7vXj6mzQUmrNutRafAF33sRQ3Hsr2awj3wTH9CtXdyg,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
HQiVHihUQRbfyU4H7M4Q9ntztjZVUhayp2pj29HNMMZe,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BxYEWEzc327t4dEiQuUhYoqKKLCSDyx4At6M5Ze6Wa92,,,,,,0.008248262900092458,0.1999999999999224,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
FBPUWTdiP4Wy3ts9Z3TrVmc9BxNzji4L3B9PyVawZccd,,,,,,0.008143999144537107,0.19999999999998036,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
89aCH4qgS81M3XYPhu869ZTRDUXcpwdqJJht9PuMtamk,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
EKFwtWafCSc8BmnSRBPNEHKczdSfdzvXxQHN38oD2Qcf,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,,,,,,0.008688959583391064,0.6249999999999947,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
Ed6jTiwJykEbCdXfUHeHtU51Wp3LNU1Gq7QwDHdTypf1,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
DynAiW8FojJgR1BznAcxTMPWL1AzBTRCnj6osjKaoaRh,,,,,,0.010049854377663274,0.46247156640461196,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
47qMMJceFfEoY3HGYBPrKoi2Ed351qTp4cjBSFyhEb8G,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
5MW6pDmWkuAqMxFVKivK22Ndoz8BrsivqraEhKca8gTv,,,,,,0.0011295397695544912,0.9363317153170914,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
DiY3AV2wRZfBbEVTwEx1nUEqEcKoAN4gZAg6o5687ZMS,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
qmC1gusK2b5pYNDp1Aw5nDdZx9WTLVs7KHQoq6AAxFN,,,,,,0.006022638507172846,0.7877941337126081,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
2fHJxjGYQHdNzFE5bvhQi2zSwZqwHv7WPY9RDBmxmv5B,,,,,,0.001003292482778089,0.9163740431357735,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
6LxiLdPzEpBxGNwMGiXJ53fb27wGVj1ZxH7GNvzZvPZN,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CcbLvYiqNJ8RWQResDg5k71dWSRuhUyHVghAnGSAu8EP,,,,,,0.0,1.0,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
