address,gmgn_note,reason,action
BoQP31E9Dd1MyKjVMUvWuq7pJjKckPAJa5QRf5i4gxFQ,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.15600904702128；sell_ratio=0.0,risk_watch
21KkJM6XkLoHJv5xwayqpJ27NZK7MavMYp4YhQtxgcr5,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1573.772654415499；hold=0.028010305223538073；sell_ratio=0.0,risk_watch
GkkC5D3z5prXNiSd4jAaYNthakG5bzYSXspLHc9Lo2Wx,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1144.5943466648007；hold=0.02300855129371094；sell_ratio=0.0,risk_watch
3BQc5YQdvWJruWRfbKtokmHdfCntngXuW6X4PtQu1Vyk,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1016.2392945164063；hold=0.02266233580988227；sell_ratio=0.0,risk_watch
8avA5dWatcrJiHnuof3xk8UTaV25fZputpeBjWfLUk5n,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=132.95904382402682；hold=0.02261682591946476；sell_ratio=0.0,risk_watch
7fTREYp5bxYYemWMvdnSrdG2FeqppNUi8QUpSZsNe514,MILF-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,padre,top_holder；profit=1468.594463565542；hold=0.022209113078108616；sell_ratio=0.24999999999999156",risk_watch
3Ct8AjgepXq4Tf4kp71dZJMrn6Q2ETwf32APz9mezNhu,MILF-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=top_holder；profit=1465.6179585278926；hold=0.02208047493693944；sell_ratio=0.8293140949312456,risk_watch
DBA34VtQiUC78y6ZfdcBBpaNKief2nafnuPVfsvP1MBs,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=887.3240158454983；hold=0.020822659469615246；sell_ratio=0.0,risk_watch
AMEtcdVr5vDm9SrPod9m5PDjQArdMJnU3Df7BoLmqrZe,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=912.8790162918114；hold=0.02059754330103856；sell_ratio=0.19525317277511012,risk_watch
881DyWemaE9KWxqGtGE9k4NjpUKQU56p4muizqZK48wb,MILF-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=878.9609293852811；hold=0.020591314349781606；sell_ratio=0.0,risk_watch
