钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
9LcD9bDZuUHvBbRrtLShdBoNFUND3V2pcRHUxjjGTmfN,,,,,,0.11273570828722022,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3APDBoqYyZA8RJzFh8ukAdKqBL2pobdPqrZD4pSaJ8nA,,,,,,0.030066296367003593,0.19483084668115297,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AVc2wAyW9unrEgEHmfJTVzLECTX5edFzNYtDwP43ciqD,,,,,,0.02766444161765604,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3UT7hJZY27JsDaAVHzBUkgQNitSQNAPu4uQF6s68UATM,,,,,,0.025263791725612293,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9yoSimMsWZUdbctcQ8RE4PAirbc6iewRx9pfrGLxwNoB,,,,,,0.024689487262129977,0.5386046211453699,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4dErjzPmumZuHuY6KBGacLxVFVST21LQcUCXGS1WHJGx,,,,,,0.021313831448766283,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DBZNRgUbLHvZQV1PexWpBiWizmwg9coV4V21JeYAg6Uy,,,,,,0.020460689528790245,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5d7kbshGpm1e2drfj1dBp7XUi66qLJG4WzqP4MgF3mUA,,,,,,0.02000080711257022,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5b8mm4zs35ZnE49L8uMEMRbqujKUUq9NfY1L38ZF97Kb,,,,,,0.02000080711257022,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
3wfeogsLJZGpVvC1VtofNFuAURAJ6w8WCkBwRPvBxhnu,,,,,,0.02000080711257022,0.8251721352658422,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
8MJH51fbbJ6T6iLuSFKY8S8WRNfzuJdBgqkuJnrENrqC,,,,,,0.016000645690056176,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
97wamyWhVT9D8pVkmnLiEp87WtwG8xZjzjBCQ1QhwyFX,,,,,,0.015606153891621143,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HerBaGXW9Q4STQfqdc2m3tk3shAsVu2R2HjRTPD5hK2q,,,,,,0.015000605334427666,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
8sjfKLnXNTjBGp6hTEeXoY7jHzRa6xgkgFfU2LsmPF8i,,,,,,0.014714144222516955,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DAzUoTKG656pMNR3YvNgZEUyEwSQk8FDJP7WoVcs6jNj,,,,,,0.014704972403857385,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
2XpPvSMuK7o5qkGrVHoG479wbBtqVxgjBeReZvji9qvJ,,,,,,0.013000524623170643,0.5823001129114872,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
YpWbrg34T2UHzn22PaShPvnbNSKvpRBpJhRyNgpXF9P,,,,,,0.012843741000335328,0.3228569186311445,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
14KbXMEiDZ6jW4Q5fYyHkMn8HhAuF6rjdXQXrbaD9nZe,,,,,,0.012123157148503571,0.8175338075397933,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CLKyaAHCk8AWkNbfPfoUexmmrs8LrtS1jBKWSbdoG8Dt,,,,,,0.011929923162551303,0.4622791593225174,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
QVaGob9KXdZA3wq1Jr1sfc6X46xXKxQ1hBWYYFKXPzv,,,,,,0.011604744578701729,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4NkKQ9RYwjHo9wxsY3sgq4KsFRKFnrJHEm9WjVk9HrqR,,,,,,0.010968812989026359,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FxRq27aojoCKTdSwyA97HvBhLx3E4VmTsN68zzXtqTFn,,,,,,0.010801572529391852,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2v178XLeug7gpPXrU7LWmqizMBxjtRXkfWZ8iQA4P47i,,,,,,0.010621577594668256,0.6352866938302353,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
CaHbb9xtystKYWm6uskp7LyPTHiyivcfkqrMwd1F7fJk,,,,,,0.01051319283762477,0.2499999996746635,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
E7dWj7JUpge7dpRa8zw1rDzAMpGLS7yq9o6xQGZdQ3rb,,,,,,0.010050977269660739,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FR4bdQtxSb6fZp8HvYXZ5qDpRSQ8NxhaGvz5Q89mXMeP,,,,,,0.01000040355628511,0.0010994691407716958,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8HfzFoeMGkgtPKLGBkkE4wwY9dMSUgeJeTYd5bM5NAyT,,,,,,0.009973672116649596,0.6436441015318737,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CRCLhwcP1HiWb4p7BL72rBk1WY8HFYPPVeXt7HApu8Qc,,,,,,0.00992918407865731,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
91hi6qyPt9byJoCUAhZSeG9D5UPAR4vgj969RZ4Emei8,,,,,,0.009900049123895345,0.9320575969446855,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CxBW5E5DPFAKsXJ113yZJkPMKugbNSpcZwwiNXd5pWXL,,,,,,0.00980581862615784,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
2XWYFmSutsDiiqA7FBPg7A29tDPQKg1qaLFQrVHFCgnm,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CNLbtA1USuWXJuTzHc9jeFrh3ATeLdU8ffe42J9T6U1Z,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
jyS6csWzRsY8CKEKAjrH14K9Bh2M7nGYuDWqYNH9kDQ,,,,,,0.0,1.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
HBYfbfZUJEU3d17gmGLVuiJr6hNyDhhkpDeCYKxGVKRX,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
29Sr7KmKRwuwFFrFDRfxTeLC2KYVT6qKSVkx5mqiTjp3,,,,,,0.002296155411866491,0.9130029165443052,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
GijFWw4oNyh9ko3FaZforNsi3jk6wDovARpkKahPD4o5,,,,,,0.0,1.0,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
7aQ2v6Eh5ocjcJzjTBHaVUgi6UuSRDFKnaVQzco2ygvg,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
72ovD1udZadSPmi4g8Ny98fYJrmPrcSgVTdpy1XMTPPo,,,,,,0.005406354490644116,0.9406688004148444,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_holders
2wGcK4oceiDRdA347syqTtPK9xxdp5umNGGA59cMcJUQ,,,,,,0.009208878414064522,0.6125700139773909,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
9z29GiS4Z1G3MD5itSNjncj9hMWD29sxMKLXqZWxUKYR,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
