钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
9LcD9bDZuUHvBbRrtLShdBoNFUND3V2pcRHUxjjGTmfN,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.11273570828722022；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3APDBoqYyZA8RJzFh8ukAdKqBL2pobdPqrZD4pSaJ8nA,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=gmgn,top_holder；profit=2607.1146640080046；hold=0.030066296367003593；sell_ratio=0.19483084668115297",仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
AVc2wAyW9unrEgEHmfJTVzLECTX5edFzNYtDwP43ciqD,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=3262.7470151924604；hold=0.02766444161765604；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3UT7hJZY27JsDaAVHzBUkgQNitSQNAPu4uQF6s68UATM,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=2926.803469510907；hold=0.025263791725612293；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
9yoSimMsWZUdbctcQ8RE4PAirbc6iewRx9pfrGLxwNoB,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1427.141221696956；hold=0.024689487262129977；sell_ratio=0.5386046211453699,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4dErjzPmumZuHuY6KBGacLxVFVST21LQcUCXGS1WHJGx,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=1844.8508870112698；hold=0.021313831448766283；sell_ratio=0.0",仍持有,risk_watch,WOLVERINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
DBZNRgUbLHvZQV1PexWpBiWizmwg9coV4V21JeYAg6Uy,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1520.582195841768；hold=0.020460689528790245；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5d7kbshGpm1e2drfj1dBp7XUi66qLJG4WzqP4MgF3mUA,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=1113.7959199999996；hold=0.02000080711257022；sell_ratio=0.0",仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5b8mm4zs35ZnE49L8uMEMRbqujKUUq9NfY1L38ZF97Kb,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=2441.7839599999998；hold=0.02000080711257022；sell_ratio=0.0",仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
3wfeogsLJZGpVvC1VtofNFuAURAJ6w8WCkBwRPvBxhnu,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,"GMGN标签=fomo,top_holder；profit=3854.1272487964798；hold=0.02000080711257022；sell_ratio=0.8251721352658422",已清仓,risk_watch,WOLVERINE-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
8MJH51fbbJ6T6iLuSFKY8S8WRNfzuJdBgqkuJnrENrqC,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=1713.2731656197598；hold=0.016000645690056176；sell_ratio=0.0",仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
97wamyWhVT9D8pVkmnLiEp87WtwG8xZjzjBCQ1QhwyFX,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=padre；profit=-576.7552623832444；hold=0.015606153891621143；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HerBaGXW9Q4STQfqdc2m3tk3shAsVu2R2HjRTPD5hK2q,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=1132.94202；hold=0.015000605334427666；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
8sjfKLnXNTjBGp6hTEeXoY7jHzRa6xgkgFfU2LsmPF8i,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=creator,dev_team,sniper；profit=3448.716920726526；hold=0.014714144222516955；sell_ratio=0.0",仍持有,risk_watch,WOLVERINE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
DAzUoTKG656pMNR3YvNgZEUyEwSQk8FDJP7WoVcs6jNj,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=71.05721218873396；hold=0.014704972403857385；sell_ratio=0.0,仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
2XpPvSMuK7o5qkGrVHoG479wbBtqVxgjBeReZvji9qvJ,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=1301.9543225080931；hold=0.013000524623170643；sell_ratio=0.5823001129114872,仍持有,risk_watch,WOLVERINE-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
YpWbrg34T2UHzn22PaShPvnbNSKvpRBpJhRyNgpXF9P,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=fomo；profit=1198.759620969336；hold=0.012843741000335328；sell_ratio=0.3228569186311445,仍持有,risk_watch,WOLVERINE-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
