钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
2Umb31px1FGhB5qLmCJrrdHhDJCRzocWkEgHsk4775bf,,,,,,0.08236869617013676,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FcG8NUXeTyCuf79g7Q6eWovhqVvhF6sSU4xajSjxAeiW,,,,,,0.050000454904138715,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
9dbcLC76Cr32kkSt2ayEzkYxxptwtkyAnSYNUsnnzK8A,,,,,,0.042040382483399835,0.0020547317574368244,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_holders
AKfjA7dEpb8783fVkgzKdAQKUEucQixnqXaAEFFwvbaM,,,,,,0.023549602719500542,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
31HPt5v1zLzBM9CvfnHj467e1q7bvieJk8845kP6M8HF,,,,,,0.022930526295947242,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
34syhubDfDzbAVe4hv4vDcQ9tX4db2APVt5mwb9vxEKT,,,,,,0.02208291863801577,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
JCgG4gMJjMAx7w3nXZ6CKqYa51ANbsxCanvD6jTUmuBU,,,,,,0.021739356309770707,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6AKPf5E7dzXKDqMXAf5E5kH7iaNDBafL8bhTEQCNL3Tt,,,,,,0.0213334743684608,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6UUqXEpm42QJssxEDJy4DGsg973dcdYMmwG7LieyY9rT,,,,,,0.01938564205210239,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7uqH31bTzV98Mt8E4cQVE6Sn5ezuiFmvuNrMR2HyZFg3,,,,,,0.01726758919626751,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9tBVfGoprxwd4cdHgvzi4QcSU6XjYNEAyAfM3jq6i3D3,,,,,,0.017133853093303446,0.3655241056562648,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FZvKfnokhmpLP7Yo5srCXa6wwDhFaRXwz59sGWVescqr,,,,,,0.0160653808199227,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3uVe66kGTd3CGYYK9TetnNF1nZ3aby12addtDdFVVrdn,,,,,,0.015306936986945706,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9nn2bvxw47CzjEXsBZNdUjYtqUrxbZzFZRnjZsfSTa1u,,,,,,0.014045174006627113,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6FKAjpMP2np45DK298ynWrjjnzmmjDLw3ZfPehLuVt6s,,,,,,0.012345990392858594,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
9QvxaDgtiKtrPT1JWtju7TLRkoumk5muZ2qY5P9xJjvX,,,,,,0.011322428512046604,0.46411801173425293,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
2h3srWoMsqjxu3K9Lw54Gx6uwz8Hj8kra6T77dXSmj8g,,,,,,0.010815722488180197,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3mM1Mvw4adtow5Y9NQKV6DabYvPVTXBYssDbunw7tAVs,,,,,,0.010727371168759893,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5RcvkTT7be1LTgYixEadpf1oz1MNUwxMfUe8RJxH96rs,,,,,,0.01021579959884775,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2wJfuVmPyPE2z8R94zVibmALAQ7o5Mx426ZSCG3cNEqT,,,,,,0.010000091250285196,0.7031763287630183,HIGH_RESULT_WALLET,STRUCTURE_SIDE,资金待查,token_traders
9QVQCqzESPjncKVJZ9FQrq93PM9o58xBTXhJyhsRPzUS,,,,,,0.00996010646635863,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6EqGRuhNZk5wdWazBHfMF5wRHKnprY5JNqEZzHyeRFHU,,,,,,0.009743299896780461,0.09721852587706566,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
831Kb3uCtqniSA9dT5ZVfq4FtqKhYCH2WYC4TnLy3JJw,,,,,,0.008555750846902205,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4cmrS8hRwYQ36r9VL6sjgnYJ3AM6AvnmZZPaTW1j1kTq,,,,,,0.008433747747403006,0.5346997022021148,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
6AEVrf7FzQanyLtDWXzf96xiphahR4zRktA6KPQzeKy1,,,,,,0.007850697971076142,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
HGg9v1yDXEfT3hZyQvqkod2MEgCfwUTZfp7x2AjFUdXk,,,,,,0.007804214836065578,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BeZegi7NenWfyJLxdWoTnRMKveBorJsvkjsiJGwyJgJ,,,,,,0.007697263467553028,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
