address,gmgn_note,reason,action
2Umb31px1FGhB5qLmCJrrdHhDJCRzocWkEgHsk4775bf,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.08236869617013676；sell_ratio=0.0,risk_watch
FcG8NUXeTyCuf79g7Q6eWovhqVvhF6sSU4xajSjxAeiW,UNIPUMP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=6579.26861856375；hold=0.050000454904138715；sell_ratio=0.0",risk_watch
9dbcLC76Cr32kkSt2ayEzkYxxptwtkyAnSYNUsnnzK8A,UNIPUMP-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,"GMGN标签=fomo,bundler,top_holder；profit=5404.827786465984；hold=0.042040382483399835；sell_ratio=0.0020547317574368244",risk_watch
AKfjA7dEpb8783fVkgzKdAQKUEucQixnqXaAEFFwvbaM,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-930.6264403356499；hold=0.023549602719500542；sell_ratio=0.0,risk_watch
31HPt5v1zLzBM9CvfnHj467e1q7bvieJk8845kP6M8HF,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=814.4250756152842；hold=0.022930526295947242；sell_ratio=0.0,risk_watch
34syhubDfDzbAVe4hv4vDcQ9tX4db2APVt5mwb9vxEKT,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,bundler,top_holder；profit=2091.3883839049868；hold=0.02208291863801577；sell_ratio=0.0",risk_watch
JCgG4gMJjMAx7w3nXZ6CKqYa51ANbsxCanvD6jTUmuBU,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=gmgn,bundler,top_holder；profit=2238.803816541259；hold=0.021739356309770707；sell_ratio=0.0",risk_watch
6AKPf5E7dzXKDqMXAf5E5kH7iaNDBafL8bhTEQCNL3Tt,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bullx,top_holder；profit=804.9110201857029；hold=0.0213334743684608；sell_ratio=0.0",risk_watch
6UUqXEpm42QJssxEDJy4DGsg973dcdYMmwG7LieyY9rT,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-1284.7684115481297；hold=0.01938564205210239；sell_ratio=0.0,risk_watch
7uqH31bTzV98Mt8E4cQVE6Sn5ezuiFmvuNrMR2HyZFg3,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bundler,top_holder；profit=1754.5975681613863；hold=0.01726758919626751；sell_ratio=0.0",risk_watch
9tBVfGoprxwd4cdHgvzi4QcSU6XjYNEAyAfM3jq6i3D3,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,bundler,top_holder；profit=-1419.9080567105816；hold=0.017133853093303446；sell_ratio=0.3655241056562648",risk_watch
FZvKfnokhmpLP7Yo5srCXa6wwDhFaRXwz59sGWVescqr,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=0.0；hold=0.0160653808199227；sell_ratio=0.0,risk_watch
3uVe66kGTd3CGYYK9TetnNF1nZ3aby12addtDdFVVrdn,UNIPUMP-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,axiom,bundler,top_holder；profit=1679.9236810752423；hold=0.015306936986945706；sell_ratio=0.0",risk_watch
9nn2bvxw47CzjEXsBZNdUjYtqUrxbZzFZRnjZsfSTa1u,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=49.176770912807115；hold=0.014045174006627113；sell_ratio=0.0,risk_watch
6FKAjpMP2np45DK298ynWrjjnzmmjDLw3ZfPehLuVt6s,UNIPUMP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=2372.42674770151；hold=0.012345990392858594；sell_ratio=0.0,risk_watch
9QvxaDgtiKtrPT1JWtju7TLRkoumk5muZ2qY5P9xJjvX,UNIPUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=7883.482639573589；hold=0.011322428512046604；sell_ratio=0.46411801173425293,risk_watch
2h3srWoMsqjxu3K9Lw54Gx6uwz8Hj8kra6T77dXSmj8g,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,bundler；profit=897.3103654596689；hold=0.010815722488180197；sell_ratio=0.0",risk_watch
3mM1Mvw4adtow5Y9NQKV6DabYvPVTXBYssDbunw7tAVs,UNIPUMP-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=140.66366685232333；hold=0.010727371168759893；sell_ratio=0.0,risk_watch
5RcvkTT7be1LTgYixEadpf1oz1MNUwxMfUe8RJxH96rs,UNIPUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=1159.6216440626815；hold=0.01021579959884775；sell_ratio=0.0,risk_watch
