钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
4prwF2THukSaQwfMmZ53MTatqtC18GZBRdDW9EMpwsNp,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.060583087948531164；sell_ratio=0.0,仍持有,risk_watch,AALIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
dNnuySdFBhWNT8wpRHtnioksxgiY2iUWYWs7oNTazrv,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,GMGN标签=top_holder；profit=18235.23760301231；hold=0.04421859680222861；sell_ratio=0.5646860240617257,仍持有,risk_watch,AALIEN-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_traders
Bua2TMXfNQ1upTizbsSx8FUwhWy9xcCXgtioWGaqsa1B,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,GMGN标签=top_holder；profit=17471.31687538042；hold=0.04359875491189699；sell_ratio=0.6417928335061953,仍持有,risk_watch,AALIEN-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_traders
ALieNgvC1mMaqn6RKyHbJim3rSGwYYMKsgUUfkbC7zYL,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=creator,top_holder,dev_team,sniper；profit=15849.09639988208；hold=0.03419922223798323；sell_ratio=0.0",仍持有,risk_watch,AALIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
4hkrKpsrqH5tRoxwCXktJ9VzyRyXJTDnPJ7wpzxNFhvx,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=axiom,top_holder,bundler；profit=12948.664336103142；hold=0.025741702144359502；sell_ratio=0.3727556266549946",仍持有,risk_watch,AALIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
3ba3yevAekRz2nHM4QCu9rsanzyRTvuTg35wpYkSu7iT,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=10954.271943288668；hold=0.023885345956891388；sell_ratio=0.17634914756377512",仍持有,risk_watch,AALIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
2CdSE5h3nwTBmjbqfhdff5dBV4ywcS9Qhk8oZGDFBHCi,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=8383.293374006802；hold=0.022767104711054535；sell_ratio=0.0",仍持有,risk_watch,AALIEN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
4WzPdc6amV7Q9E2wL1EFkAnFPd3uVrqkAbfGk9Wk5Drf,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=8197.630399163449；hold=0.022217932874314474；sell_ratio=0.0",仍持有,risk_watch,AALIEN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5FUYuP4r5rHWj3qaeurezB8xVZUxoDihVx9n4F1KKWwe,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=top_holder,transfer_in；profit=7489.769590443451；hold=0.020198120794831527；sell_ratio=0.0",仍持有,risk_watch,AALIEN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
9gRgFUDLdBH2zy6p8LJjnGZayDqy6JTL8TsYsJ2WnZXR,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,"GMGN标签=top_holder,bundler；profit=11873.947168316277；hold=0.01878311613982992；sell_ratio=0.0",仍持有,risk_watch,AALIEN-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_holders
2K4Mbd8VJKXZUbYMXbXgkFp5qiZugnMp9HppZwcTp7gs,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=top_holder,bundler；profit=6854.2313220860215；hold=0.015936131242657366；sell_ratio=0.5594750569770065",仍持有,risk_watch,AALIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
BF69QrWvp3SLwwEVgU6jBR65ETCPHa2yvyvEbkDaWjKT,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=5658.7772734515775；hold=0.015148590596123144；sell_ratio=0.0,仍持有,risk_watch,AALIEN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
AVXxBLz7SXur6woa96R6vgNVkjtDChu1X971PHYV38vH,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,GMGN标签=无；profit=6854.218187575261；hold=0.01439139067992439；sell_ratio=0.0,仍持有,risk_watch,AALIEN-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_holders
5ab4e3idbofWFV41RzYUD3AHb2qVESRBNoBuyLcJUxnf,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=5844.360539946744；hold=0.013076348765039958；sell_ratio=0.0,仍持有,risk_watch,AALIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
2cxjRs8bt5EBxbcSJkY1AXLX5UCYq23pWn83EckDMdCv,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=photon,transfer_in；profit=5161.201838823406；hold=0.012276455731090753；sell_ratio=0.4561409543565994",仍持有,risk_watch,AALIEN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
ADEE7URpHeXdtPbk2J1ZckGaGNPxaTAEAXjUE8Lmo8xe,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=2359.935089720072；hold=0.011858597519248013；sell_ratio=0.0,仍持有,risk_watch,AALIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
gzS7xUw3T8datpD3VK8b3QXF8FXuj4R3y1S1X4TyeGm,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=3635.4789035872896；hold=0.011768649288831952；sell_ratio=0.0,仍持有,risk_watch,AALIEN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Hv3Qoz3v18SGrD647m8n5QYz5tfFoBASgADNE4HhA9Hw,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,bundler；profit=5111.698115298312；hold=0.011494741137852297；sell_ratio=0.0",仍持有,risk_watch,AALIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
