钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
CUhN3ysyTxRiLApzXBSDgfqEoDEjB63VFgfYz1KVWRZ,,,,,,0.17289480589088707,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
63W3ivaQsDxxB8rQtmpK8EK9u1x7V4oZByM3Fh8VcWa8,,,,,,0.07371838449265221,0.20811837341057784,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
tptsJeAeNyTHMDcTZap7u468eDmZmWGoPXhRLiSNWQP,,,,,,0.041862855552754,0.2016675302940637,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8v1XRLkRrTfJUPozdgt77EGeM9fr3bAFssyxgbrDiAU3,,,,,,0.03129697766228498,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
CMwtfuHGNaX4YQxuqrCQKe2sCNN4cx1svQX1vehqEnED,,,,,,0.03129697766228398,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
7uDdckhD8UXEzgwjLy8aeJNaU9jHTR2mHf7v5GCXVwPr,,,,,,0.03105496662621299,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
92qTZThZifAeByQMKSif9vz6HzCfd658sYdSrKdjrdYC,,,,,,0.028376310969024973,0.05991734205149358,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
Dvz8TzLBAsqFwY8SnyZ7kbKXLYh46dBP2WMqrxuG5e6m,,,,,,0.02805361421474856,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9FJs2NzqrkLMCv8JiXVQU2tiVfEZzQkfS4rK35WjmPMx,,,,,,0.02764772521804054,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9epYxJGFNTSQ9PLtNTBQpgvNgep5no3CTbcNmwcSv9Vb,,,,,,0.027000005513530993,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ERctmBpnuTCpApgBFWDK2UiSDHWxnJZtVyv29QLi3783,,,,,,0.025849454505278813,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4uSPfh5KzDEoarPjyquqbSXEWh3Luq1Wv2THafTnaVWm,,,,,,0.025151608480502526,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HWprm3SpkTMmbSH95if8ojUbaw5ZmQVdwMg7UPkpyUQL,,,,,,0.023267922257106007,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4RCBQrBwrBS1TH2vEponfXoMAiTRc1ddc9vATzEUxgX8,,,,,,0.021642361903078142,0.2273668217799647,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4N44SPQw9mPE9FEDPNgc8v66RdVq5ZBBGwQVYj7hE9BE,,,,,,0.02071001300568434,0.25762618237712587,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
