address,gmgn_note,reason,action
CUhN3ysyTxRiLApzXBSDgfqEoDEjB63VFgfYz1KVWRZ,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.17289480589088707；sell_ratio=0.0,risk_watch
63W3ivaQsDxxB8rQtmpK8EK9u1x7V4oZByM3Fh8VcWa8,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=2937.9029491738934；hold=0.07371838449265221；sell_ratio=0.20811837341057784,risk_watch
tptsJeAeNyTHMDcTZap7u468eDmZmWGoPXhRLiSNWQP,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1179.0397966286794；hold=0.041862855552754；sell_ratio=0.2016675302940637,risk_watch
8v1XRLkRrTfJUPozdgt77EGeM9fr3bAFssyxgbrDiAU3,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,top_holder；profit=2168.7671801257543；hold=0.03129697766228498；sell_ratio=0.0",risk_watch
CMwtfuHGNaX4YQxuqrCQKe2sCNN4cx1svQX1vehqEnED,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=245.14317288318034；hold=0.03129697766228398；sell_ratio=0.0",risk_watch
7uDdckhD8UXEzgwjLy8aeJNaU9jHTR2mHf7v5GCXVwPr,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1131.741840891298；hold=0.03105496662621299；sell_ratio=0.0,risk_watch
92qTZThZifAeByQMKSif9vz6HzCfd658sYdSrKdjrdYC,NPC-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bullx,top_holder；profit=1368.5649034594544；hold=0.028376310969024973；sell_ratio=0.05991734205149358",risk_watch
Dvz8TzLBAsqFwY8SnyZ7kbKXLYh46dBP2WMqrxuG5e6m,NPC-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bullx,top_holder；profit=1318.0493455670016；hold=0.02805361421474856；sell_ratio=0.0",risk_watch
9FJs2NzqrkLMCv8JiXVQU2tiVfEZzQkfS4rK35WjmPMx,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1120.287779780197；hold=0.02764772521804054；sell_ratio=0.0,risk_watch
9epYxJGFNTSQ9PLtNTBQpgvNgep5no3CTbcNmwcSv9Vb,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=966.6519514746971；hold=0.027000005513530993；sell_ratio=0.0,risk_watch
ERctmBpnuTCpApgBFWDK2UiSDHWxnJZtVyv29QLi3783,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=909.7210343671512；hold=0.025849454505278813；sell_ratio=0.0",risk_watch
4uSPfh5KzDEoarPjyquqbSXEWh3Luq1Wv2THafTnaVWm,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=fresh_wallet；profit=973.3371025782033；hold=0.025151608480502526；sell_ratio=0.0,risk_watch
HWprm3SpkTMmbSH95if8ojUbaw5ZmQVdwMg7UPkpyUQL,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=fresh_wallet；profit=564.0473314207717；hold=0.023267922257106007；sell_ratio=0.0,risk_watch
4RCBQrBwrBS1TH2vEponfXoMAiTRc1ddc9vATzEUxgX8,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=682.5792794637287；hold=0.021642361903078142；sell_ratio=0.2273668217799647,risk_watch
4N44SPQw9mPE9FEDPNgc8v66RdVq5ZBBGwQVYj7hE9BE,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=526.8289450114855；hold=0.02071001300568434；sell_ratio=0.25762618237712587,risk_watch
Bv2EqkDA4BBgscJVZGuearFv4NDxySssT4G5WJf4kVuh,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=617.4329703231385；hold=0.02047389450585401；sell_ratio=0.0,risk_watch
FhbnXhVCCrj3p8NRZJS6FLqVTtW6bkd9M842JKkGKxpX,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=77.67854692884146；hold=0.014820588353968904；sell_ratio=0.0,risk_watch
7BepYwrtLKLnfy8BmdffUkRiFeyqSpLR6MdVPsLadCRK,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=380.2338280062015；hold=0.014526696421261356；sell_ratio=0.0,risk_watch
3s9zq2heMWZq4GLRH4yCoCCrokkmzQpwD4tMMmdGX9ty,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=536.5679458104416；hold=0.014088148679441762；sell_ratio=0.0,risk_watch
BmgRKRPUABai57KjQMBy9a5KhU5UWPaJsZc3Na1RbsNy,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=664.666412544863；hold=0.013990002518200453；sell_ratio=0.2980298060361434,risk_watch
6UistZPGQ7JU8wjYJ3gtGjjaV1VTfatpkK5JXRUj1juX,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=trojan；profit=490.92682482984264；hold=0.01358201988191558；sell_ratio=0.0,risk_watch
J9ZnFHqbNrSn3aCHy7WuwnKsQLHh9M7UvHNZ8HKN1wNQ,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=456.81160920216934；hold=0.01228856794319623；sell_ratio=0.0,risk_watch
9uHUxKGRVwMCg5EMo4u4Urd1GgiHjmF75piozzYcV2Nv,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=fresh_wallet；profit=461.58280502262596；hold=0.011689069588710526；sell_ratio=0.0,risk_watch
2Acxjr9CYG9MXAdsNbmMef1sJbopxmyKafeoZjau6Rbp,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=260.97978488871144；hold=0.010311162895514321；sell_ratio=0.43868783364334923,risk_watch
3N9T4w9nu6QrVQVh1YiFZBW3i5hZCdQFm3922Jqni7gd,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=361.3338073911526；hold=0.009954638303011893；sell_ratio=0.0,risk_watch
QPXpWfrgcdS23XJ1Wz9MoiAZSe5nKhrH29QRR5pguFg,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=329.9898331775638；hold=0.008869893700982866；sell_ratio=0.0,risk_watch
3SS7Up9qWiJf94g3APpL8aZvaCAdwF6TLeyS8ofAN49H,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=208.10665033835087；hold=0.008869893700981867；sell_ratio=0.0,risk_watch
DgQfnpotma22xYJiNLEMLsqkkFw6VMrkntgQK7bQLw7i,NPC-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=trojan；profit=502.7882023044666；hold=0.008722112748037294；sell_ratio=0.40339467947674423,risk_watch
