钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
CUhN3ysyTxRiLApzXBSDgfqEoDEjB63VFgfYz1KVWRZ,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.17289480589088707；sell_ratio=0.0,仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
63W3ivaQsDxxB8rQtmpK8EK9u1x7V4oZByM3Fh8VcWa8,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=2937.9029491738934；hold=0.07371838449265221；sell_ratio=0.20811837341057784,仍持有,risk_watch,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
tptsJeAeNyTHMDcTZap7u468eDmZmWGoPXhRLiSNWQP,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1179.0397966286794；hold=0.041862855552754；sell_ratio=0.2016675302940637,仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8v1XRLkRrTfJUPozdgt77EGeM9fr3bAFssyxgbrDiAU3,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=2168.7671801257543；hold=0.03129697766228498；sell_ratio=0.0",仍持有,risk_watch,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
CMwtfuHGNaX4YQxuqrCQKe2sCNN4cx1svQX1vehqEnED,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=245.14317288318034；hold=0.03129697766228398；sell_ratio=0.0",仍持有,risk_watch,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
7uDdckhD8UXEzgwjLy8aeJNaU9jHTR2mHf7v5GCXVwPr,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1131.741840891298；hold=0.03105496662621299；sell_ratio=0.0,仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
92qTZThZifAeByQMKSif9vz6HzCfd658sYdSrKdjrdYC,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bullx,top_holder；profit=1368.5649034594544；hold=0.028376310969024973；sell_ratio=0.05991734205149358",仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
Dvz8TzLBAsqFwY8SnyZ7kbKXLYh46dBP2WMqrxuG5e6m,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bullx,top_holder；profit=1318.0493455670016；hold=0.02805361421474856；sell_ratio=0.0",仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
9FJs2NzqrkLMCv8JiXVQU2tiVfEZzQkfS4rK35WjmPMx,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1120.287779780197；hold=0.02764772521804054；sell_ratio=0.0,仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
9epYxJGFNTSQ9PLtNTBQpgvNgep5no3CTbcNmwcSv9Vb,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=966.6519514746971；hold=0.027000005513530993；sell_ratio=0.0,仍持有,risk_watch,NPC-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
ERctmBpnuTCpApgBFWDK2UiSDHWxnJZtVyv29QLi3783,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=909.7210343671512；hold=0.025849454505278813；sell_ratio=0.0",仍持有,risk_watch,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
4uSPfh5KzDEoarPjyquqbSXEWh3Luq1Wv2THafTnaVWm,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=973.3371025782033；hold=0.025151608480502526；sell_ratio=0.0,仍持有,risk_watch,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
HWprm3SpkTMmbSH95if8ojUbaw5ZmQVdwMg7UPkpyUQL,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=564.0473314207717；hold=0.023267922257106007；sell_ratio=0.0,仍持有,risk_watch,NPC-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
4RCBQrBwrBS1TH2vEponfXoMAiTRc1ddc9vATzEUxgX8,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=682.5792794637287；hold=0.021642361903078142；sell_ratio=0.2273668217799647,仍持有,risk_watch,NPC-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
