address,gmgn_note,reason,action
DpBKmAhDtdE27imBDxBuiTCV1SsNsHkaysW3VNQy4Ayz,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.12766455316672812；sell_ratio=0.0,risk_watch
BVEeFcq6v6otGN4vTmWAxWYgJWEWWS9uqDBrV8NVHPZj,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=713.3083524118783；hold=0.00549806953735214；sell_ratio=0.20219844448000995,risk_watch
6afeQ9kAdRwtmyWtD6hyRfVqdU8pfQSPPJN2sftdqEpJ,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=593.3122431502894；hold=0.00544066994658834；sell_ratio=0.29132189724035445,risk_watch
AbCfUbScykZeNf9JbzQmd57JdY3PbHJoZgAz6PNNjjC4,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=1253.2433067095324；hold=0.005419718177226436；sell_ratio=0.5110869206635605,risk_watch
8kBqAszfsv7c2Hrb9obs8QKXBBCMNYgRuAo8KdqYZMmg,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=1292.376241737732；hold=0.005338131225484263；sell_ratio=0.6226370793884914",risk_watch
141nssZf1tQLK8AMib3agtqsSpQmccL3UVTms7zu93ya,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=1183.1220650469204；hold=0.005071380680945762；sell_ratio=0.5260948350107996",risk_watch
HouXdug4nygEgBXadkXL6hWbjkVxxjsJ7VuZQTYRreae,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=462.6475331684317；hold=0.005037849423659699；sell_ratio=0.2852591056772296",risk_watch
DRjv2jmhLrKdy2rvesQUVqnEUHUNP83MKXKtjjXPJPSS,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=1535.2570125468128；hold=0.004895608100616216；sell_ratio=0.666880442378797,risk_watch
6SEhsS5ZL3SHXWCFdnWPZRvRceUqpnTVdPBxQmMvxvEL,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=399.6750400464198；hold=0.004783443613543888；sell_ratio=0.0,risk_watch
BcoRBYZzKuCp4ebnoGQo4AYgPpgyE5Ch2Wsr9LGQyixx,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=1047.3608675259388；hold=0.004703298135870596；sell_ratio=0.5809422969900878,risk_watch
GHxdhNimrTuyBMBSbCbE4coHkhg6ThLBdURJR7Hmwhqx,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=522.6214210896485；hold=0.0046619624088089255；sell_ratio=0.4452941874171782,risk_watch
AcVqnKWY5ybvUHGEEh8X4dhrXUJvW4scUG4vzYh6bohz,TROLLIEN-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=1403.0189095909973；hold=0.004598257239325514；sell_ratio=0.743330573935733,risk_watch
AmsAJUQm7hj5kEJDNrt7p8ATvybzrDc1CA7gMDP9Kqga,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=614.3564095457392；hold=0.004503348329366697；sell_ratio=0.3200727939002517,risk_watch
FgKwyDQAz8g6C54TcextFdFKEqnnTcMPQbWbXFP6TiTp,TROLLIEN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=1191.2268879694313；hold=0.004409236268743473；sell_ratio=0.5899004261370296,risk_watch
QkBxRaUy3xiTFbePssWVKMhmF6XhvdH3Ts1qikbnoiz,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=1132.3240460879763；hold=0.0041018197221156395；sell_ratio=0.8806502621336069,risk_watch
C9aYeQKsHPUhqVZioZ5FDKBPpCWEkouo6yBebmsYnMjS,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=537.1575724377323；hold=0.004014978292033957；sell_ratio=0.42110705713013724,risk_watch
2kAGJvGvWrxUY92LbVNoYxUyxiEmv6Zk9DfwtfQ7SAnH,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=980.5042401236849；hold=0.0038918415592836832；sell_ratio=0.6800252042379575,risk_watch
69BGu7NErsghnBdBR9FgUkXu6XhmFH8PkzjdsbJUDgz4,TROLLIEN-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=1407.3830794955038；hold=0.0038670154428960307；sell_ratio=0.7334013239317793,risk_watch
