address,gmgn_note,reason,action
CF4sPDx4p4TKsnxaeekzncDea9Vxpu926u1ZYNRFszt6,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.12106042489439829；sell_ratio=0.0,risk_watch
6WAXofspkAsK5dFPvur76fxg6ytACSE4M6hrDVk5uHws,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-36.55282685902658；hold=0.0014870850514965633；sell_ratio=0.2431723365940884,risk_watch
48KZCcHHZq2T2cJV7Z5Uswsn7gY47eWXaoA7C9ALat3C,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-124.23796752333308；hold=0.0014791470557143683；sell_ratio=0.06705159140974448,risk_watch
7Te7jpFm8CE7B7z4QJe2nFNBJZw6w3k7TXccjhSWnjHM,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-209.73448251062743；hold=0.0014614753977542575；sell_ratio=0.0,risk_watch
1WinQ6kgbWWyRCanE19Es7xCm4HztXtPtvnw8f24pZJ,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-150.1745752708631；hold=0.0014581523626868858；sell_ratio=0.10749460927086703,risk_watch
CvBCby3V2NUgtFR7TW1dTWY3RSm19zWUKQxahuXUmgCq,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-62.04240873456729；hold=0.001449281880613765；sell_ratio=0.0,risk_watch
B7nZTiKxGgkQ5b1DZ1Phqx7ddYP8mzC9RhHHUqKUSHG1,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-154.2688326256774；hold=0.001417591966334306；sell_ratio=0.0,risk_watch
6xY734B99GPSNWEGRP6hHDHai13UwUNjDrERDnE2FXwg,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-135.07904045337807；hold=0.0014155700272935503；sell_ratio=0.1047191944839304,risk_watch
An1nUYr8qvNC6H6wBtKreB7esE2eZEz5AVXqJKaF6Gu3,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-71.29135698085514；hold=0.00136104774410222；sell_ratio=0.20860534481577075,risk_watch
5NKrbyy2savxQN4rxwvUPJCPG2BzVqMTTb2iYBKT4ZW3,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-81.87696432671905；hold=0.0013584404390930224；sell_ratio=0.08447078091283183,risk_watch
A91MkQsT948VUtQdhqb2zGeWDEDu3C61HmcsjS3MWjCv,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-140.30187367588；hold=0.0013571302128271836；sell_ratio=0.0,risk_watch
MQ3T8h2uq1gsesQ2weE9TGcZogn1ZT6VZKKMUZE65jv,SMW-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-136.1202681316235；hold=0.0013537196303676873；sell_ratio=0.0,risk_watch
