钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
6BduhPsp2JahBug2u7NbwSk4QjaeQh26SWddXrDntxt2,,,,,,0.1202497215211282,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Ec9VUTrTLks1ACjku4WXgQEuMxgSKGFowAdeFT5fwkWT,,,,,,0.024960799639880467,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5WJ8vABvVHzNwutbtqKBAMPXWENa5Vin2i7FGKinPa9x,,,,,,0.018623469760533053,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,,,,,,0.017980219799236568,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
J4NpZBnk7r3qie133zBR4ZyWz6owrqT36tMmkiCUdmXs,,,,,,0.017022440034713295,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
9YpnHkbKaSHnrdhqub8cd8wgA2SX92ZzzY7AA7TTafuJ,,,,,,0.016393949755157813,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7XTNQb1ykPiUhLXGwcQWZ5iAsXwuyBxLA4ySoMLDxtnk,,,,,,0.016389976202678385,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,,,,,,0.015025658493612374,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
NBTm62mDgQWSUUcTurFStdVo4QLbvjkPqfSTGkRsfP7,,,,,,0.013305486418608084,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2nkLP96zs58YR2ddFgqU66koKhAtgNLK7jtmNdd1Q9EE,,,,,,0.013146614487966444,0.11212124287273278,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ASD8NwensFg738pDXUhus7oEgbu9afKR8coBs2FuWfMq,,,,,,0.0127468107739855,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
F1VK9yaawfJvz8WLEqsKwKBRUvr9paF2Qis2gBPncySd,,,,,,0.012569653943381727,0.07578590561266321,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4JyWrp1Hivauf2ogcnDThgoXkYQfBihpwXfRa2ScSFyo,,,,,,0.012012062583318656,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Diz54GnvcoX3F9oJbJhR84vutWzNwif1jomvT31wktk6,,,,,,0.010830879742006467,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8QYsy1JeYkZp8TpQHMZTYx1z3qHTiNX9dAqFb3insRJZ,,,,,,0.01012609351153885,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AuWQ7ABziV416UJZDCTZ9msMKx9QBLTxCmsksLj1rLav,,,,,,0.009977421395877544,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9QfBJk9dV5e8BQHVxBGxvkt212pbpSQi1Bku45ypGhnS,,,,,,0.00973695491515568,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5z6kUfp4rvDNp3YosjH6QogkkVyVZkDTKzb42DhqknbV,,,,,,0.009604817385773894,0.6518411770122902,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
4hSXPtxZgXFpo6Vxq9yqxNjcBoqWN3VoaPJWonUtupzD,,,,,,0.009387268636407245,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
29Sr7KmKRwuwFFrFDRfxTeLC2KYVT6qKSVkx5mqiTjp3,,,,,,0.009294797229470598,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HUg1XNBfdJbFDLEaMBmc2VWf6SCrBkFe11E83ktXXz3f,,,,,,0.009188403680597132,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8LPUfmDh48xARgQwzbvx2n9kVRgb6G4kYddr9cM8G9bS,,,,,,0.009166210450693183,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2eGBMrpMDBMCGMSoYmU7qYXEiNH65ggZYdWB8QoRmoQJ,,,,,,0.008988279569285204,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GN4e2kUo3Kor8zUcCccLHtjy77aZnDdt99BZaUi8QV5K,,,,,,0.008809992911923433,0.14999999999993247,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
Dq2UkKj2bAWusWGDkuJsRRz52y3NQpYvmqgyhd8PkRzA,,,,,,0.008306237176514858,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EWX5P3ousyVoHjFVA27G3fpJqhNjG1DPguMPidvFsJeW,,,,,,0.007848508863460208,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Bkx5ESy3n6iQc2uooNDUyt6NicyuhuJSr4ETHYDThjbu,,,,,,0.0077015446554461655,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
AnrR8mHZJuePcsuAEoXp1ugEZMgfjCK5nqE4JJct4KfS,,,,,,0.007434250798810789,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8F1UianUoyuqJMnovSrJh43Aud4yj78vnFday45SzpEd,,,,,,0.007342867962446203,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3gBCoTA6xqKPNMeuAse8RDRGPJU5bq5hWfN9D3v8jKdq,,,,,,0.0072832939213704,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FmqexZw75QqPoLZfXLuZx7PcRZuYKpMaRzUa1kYAZDad,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
22zjkDKzquzFCCvnxRSYQU1Bb6gSu52LTEU3ZCBBQYuf,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
rNwreXPz1co7rnBV5gQ91oNta4zYQMX9BqwhBUEpKSK,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
39q2g5tTQn9n7KnuapzwS2smSx3NGYqBoea11tBjsGEt,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
DYAn4XpAkN5mhiXkRB7dGq4Jadnx6XYgu8L5b3WGhbrt,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
M5kXWrshpWamAvMuhKHfM8UoEqzMnzaiX2SBTD53ths,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
