address,gmgn_note,reason,action
6BduhPsp2JahBug2u7NbwSk4QjaeQh26SWddXrDntxt2,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.1202497215211282；sell_ratio=0.0,risk_watch
Ec9VUTrTLks1ACjku4WXgQEuMxgSKGFowAdeFT5fwkWT,NYAN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=axiom,transfer_in,top_holder；profit=-144.47568671583076；hold=0.024960799639880467；sell_ratio=0.0",risk_watch
5WJ8vABvVHzNwutbtqKBAMPXWENa5Vin2i7FGKinPa9x,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,top_holder；profit=560.5053877265716；hold=0.018623469760533053；sell_ratio=0.0",risk_watch
Bf4zji6S979QySiGNjPJ2VMZ5i2SRVtAzfx8QUBScJm6,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,fomo,bundler,top_holder；profit=1274.2033533995302；hold=0.017980219799236568；sell_ratio=0.0",risk_watch
J4NpZBnk7r3qie133zBR4ZyWz6owrqT36tMmkiCUdmXs,NYAN-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=185.69926126086057；hold=0.017022440034713295；sell_ratio=0.0",risk_watch
9YpnHkbKaSHnrdhqub8cd8wgA2SX92ZzzY7AA7TTafuJ,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,bundler,top_holder；profit=1080.96359136471；hold=0.016393949755157813；sell_ratio=0.0",risk_watch
7XTNQb1ykPiUhLXGwcQWZ5iAsXwuyBxLA4ySoMLDxtnk,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=axiom,top_holder；profit=1049.8267763652348；hold=0.016389976202678385；sell_ratio=0.0",risk_watch
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=kol,fomo,bundler,top_holder；profit=834.6055515417297；hold=0.015025658493612374；sell_ratio=0.0",risk_watch
NBTm62mDgQWSUUcTurFStdVo4QLbvjkPqfSTGkRsfP7,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=gmgn,top_holder；profit=473.5440124301865；hold=0.013305486418608084；sell_ratio=0.0",risk_watch
2nkLP96zs58YR2ddFgqU66koKhAtgNLK7jtmNdd1Q9EE,NYAN-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=377.5198384551293；hold=0.013146614487966444；sell_ratio=0.11212124287273278,risk_watch
