钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
CHceMn3zzJzWzHkvqBKrsr9Zu5psujqVRd5gL5TGzX6w,,,,,,0.15443783492664415,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GyA4zgvttdRvshE3mCiPBpnajG5jvKuX6E1AeHyDRY7Q,,,,,,0.02730525410467857,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
3XXhVijEaJUPBsLrSQfaBf7R72BGKgSL7eaL38urXe56,,,,,,0.025125777203730663,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DaiZVvLXH9Vg8vj5AYJ2SXU5NnH1y3jnRaVoY47ovpzQ,,,,,,0.02478010277666645,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
EFUQ6awwCLofU5ZxDcZwxbZ8Z4u1318tv22J4VNKSnts,,,,,,0.02459737555001273,0.5336708757375793,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HXgv8j7WsDKM4DUT5L5yASBWDme3etr9EKVxBkhSzHEq,,,,,,0.02400000477600095,0.01662161631109271,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CcDtSFNbyDzNc6wn4E4KYMR4aJkweKYB2ijWSwEbN4VT,,,,,,0.022626389245083457,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DeDmKaXvEALXrJwLdZpERYMqWYxf4aANoMz8yqi5vgDQ,,,,,,0.02000000398000079,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
44j3ARnGhNTkphuHyfsyVd9Jtmgz8PkVTTB5dsjwx9Bw,,,,,,0.019966937915738645,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4dRLFVRSYYBncsFJFh2ZLV8NhpJSAqeYPKSupCPWzdkF,,,,,,0.01996427853640143,0.5211981331309286,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
HoNpgAExweevAzD7tUsoQXdCvPpSkanQD37jH43aSfeJ,,,,,,0.019789656856319712,0.33378609160359646,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DAEdBmTPEKM6xkwfzC3d411QUe6coKpkND6UURa4CvHC,,,,,,0.019634960622345165,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HDj8rYuJxGcnW8CghrYYVLsJ5yMMjVGrftQQw8c7vkc5,,,,,,0.01932827145062102,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5rAG9jXNdHGfGSHjjvhJP9YhsMLsbVavwpGtq36dsskn,,,,,,0.017421423646131303,0.28660440519127034,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FCVrkNpUDBjT2yiMJdazK2PcoH887dtmNaETB54bucY3,,,,,,0.016940613905741166,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
3pYbPii3ZdwXuLGLJamAPdtwTKx7Bgd4gSVyVj176B24,,,,,,0.016190352983210244,0.7269807322567856,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
99pBdW8yb8CQH8WzENrWwQkDRVaBR2PFj5Z4ELSSLCVY,,,,,,0.016014564547113346,0.5824786385054493,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
AowTUid5daQr9EqwazF7hDm3jBTQSisv6LaHGhQL8k92,,,,,,0.015737603529136102,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6gyeJmm1z1htuL4rpUEmaujV1JARrRMhELX8jZDFNgnb,,,,,,0.014096261378860015,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
F1BeqYpiFAGt2UoQW5qX8TSnWbPWtsXuvF14fBWtqzoc,,,,,,0.013727107746135442,0.5973066863657219,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
B8eq6eHUjwk232cz7wabHzybyXXfXEo9UPy5vPGLKatn,,,,,,0.013450184279106672,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HjNNPVtZUPqiRo2WWaJWHWncTpvdnnUqaWarYnrfDJgN,,,,,,0.01306570356282201,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4qmDEXkyNxPbPUxCkrKRvfECZ5JKaH4QK7B7TqwdGCwu,,,,,,0.01306570356282201,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
E5nFvG5kCN6HdN9ZDFQpfW7PA2kxKx9pubRudLLhF7mw,,,,,,0.01306570356282201,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4ntL2njcyBGM1MoXTCVWUTVgcqHs52D7YsQzcfdDDtQy,,,,,,0.01306570356282201,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5hCmfewv4rjMUouK3suJgqCiyFNtYdno4yTTHMN9qQxh,,,,,,0.012952785817859377,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
619F3XLsNzUp6FoP7AM5bkWvz8FcpgWxwXz9QWEvuxeS,,,,,,0.01280425105133196,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6yL2NHagzE15QwVMKFZhzghHauPZeAi4oaVVyWyfZbRs,,,,,,0.011712712872433861,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BjWW8dgq7qbMSCWVgRzQzdATvKiFzBVnvcarkKzvSq6s,,,,,,0.010972469884324508,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Dq2UkKj2bAWusWGDkuJsRRz52y3NQpYvmqgyhd8PkRzA,,,,,,0.010310006402117274,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6wzf3HZGExJJ9SQPSpS2QvCmXwU2FArFYvCK3cVAqzW8,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
C3FBN8SC7xwy4KRPMtnu3qB2cHwGm49u8DdME7RSYH92,,,,,,0.003669500765947652,0.6298883542837098,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
PwQ8N74QebNP79yNpcwjtVLwEENkMAZKkYsfkSpeqy3,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
4mpm6xEjRUm8sxrnF8kYcM7DSJAkBSp4ar8Ke2zSK3rU,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
38SLsXmTwoyDnbQ34hTrVETv2SDnxwMJ9rZ8U6vk5cS6,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
