钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
CHceMn3zzJzWzHkvqBKrsr9Zu5psujqVRd5gL5TGzX6w,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.15443783492664415；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
GyA4zgvttdRvshE3mCiPBpnajG5jvKuX6E1AeHyDRY7Q,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-791.0138824796688；hold=0.02730525410467857；sell_ratio=0.0",仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
3XXhVijEaJUPBsLrSQfaBf7R72BGKgSL7eaL38urXe56,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=trojan,top_holder；profit=-439.64563680528613；hold=0.025125777203730663；sell_ratio=0.0",仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DaiZVvLXH9Vg8vj5AYJ2SXU5NnH1y3jnRaVoY47ovpzQ,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,bundler,top_holder；profit=1588.1222494185765；hold=0.02478010277666645；sell_ratio=0.0",仍持有,risk_watch,lolcat-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
EFUQ6awwCLofU5ZxDcZwxbZ8Z4u1318tv22J4VNKSnts,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=1634.2462133824497；hold=0.02459737555001273；sell_ratio=0.5336708757375793",仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
HXgv8j7WsDKM4DUT5L5yASBWDme3etr9EKVxBkhSzHEq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-4046.92371626256；hold=0.02400000477600095；sell_ratio=0.01662161631109271,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
CcDtSFNbyDzNc6wn4E4KYMR4aJkweKYB2ijWSwEbN4VT,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=1397.4225394342475；hold=0.022626389245083457；sell_ratio=0.0",仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
DeDmKaXvEALXrJwLdZpERYMqWYxf4aANoMz8yqi5vgDQ,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-929.6822999999999；hold=0.02000000398000079；sell_ratio=0.0",仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
44j3ARnGhNTkphuHyfsyVd9Jtmgz8PkVTTB5dsjwx9Bw,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,bundler,top_holder；profit=2196.1955407637797；hold=0.019966937915738645；sell_ratio=0.0",仍持有,risk_watch,lolcat-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
4dRLFVRSYYBncsFJFh2ZLV8NhpJSAqeYPKSupCPWzdkF,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,axiom,bundler,top_holder；profit=1848.8247884581956；hold=0.01996427853640143；sell_ratio=0.5211981331309286",仍持有,risk_watch,lolcat-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
HoNpgAExweevAzD7tUsoQXdCvPpSkanQD37jH43aSfeJ,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-1838.6641065446208；hold=0.019789656856319712；sell_ratio=0.33378609160359646,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DAEdBmTPEKM6xkwfzC3d411QUe6coKpkND6UURa4CvHC,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=34.61351537318615；hold=0.019634960622345165；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HDj8rYuJxGcnW8CghrYYVLsJ5yMMjVGrftQQw8c7vkc5,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-1223.002037952041；hold=0.01932827145062102；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
5rAG9jXNdHGfGSHjjvhJP9YhsMLsbVavwpGtq36dsskn,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-901.9065872341068；hold=0.017421423646131303；sell_ratio=0.28660440519127034,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
FCVrkNpUDBjT2yiMJdazK2PcoH887dtmNaETB54bucY3,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=padre,axiom,trojan,bullx,transfer_in；profit=-151.66269551396113；hold=0.016940613905741166；sell_ratio=0.0",仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
3pYbPii3ZdwXuLGLJamAPdtwTKx7Bgd4gSVyVj176B24,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=737.7563972218995；hold=0.016190352983210244；sell_ratio=0.7269807322567856,仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
99pBdW8yb8CQH8WzENrWwQkDRVaBR2PFj5Z4ELSSLCVY,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,axiom,bundler；profit=1237.1980934628486；hold=0.016014564547113346；sell_ratio=0.5824786385054493",仍持有,risk_watch,lolcat-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
AowTUid5daQr9EqwazF7hDm3jBTQSisv6LaHGhQL8k92,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=1014.0850583363972；hold=0.015737603529136102；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6gyeJmm1z1htuL4rpUEmaujV1JARrRMhELX8jZDFNgnb,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=-1031.9341834049062；hold=0.014096261378860015；sell_ratio=0.0,仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
F1BeqYpiFAGt2UoQW5qX8TSnWbPWtsXuvF14fBWtqzoc,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=886.7992276498894；hold=0.013727107746135442；sell_ratio=0.5973066863657219,仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
B8eq6eHUjwk232cz7wabHzybyXXfXEo9UPy5vPGLKatn,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=无；profit=-1149.9133356566792；hold=0.013450184279106672；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HjNNPVtZUPqiRo2WWaJWHWncTpvdnnUqaWarYnrfDJgN,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-654.7040725453644；hold=0.01306570356282201；sell_ratio=0.0,仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
4qmDEXkyNxPbPUxCkrKRvfECZ5JKaH4QK7B7TqwdGCwu,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-654.7040725453644；hold=0.01306570356282201；sell_ratio=0.0,仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
E5nFvG5kCN6HdN9ZDFQpfW7PA2kxKx9pubRudLLhF7mw,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-654.7040725453644；hold=0.01306570356282201；sell_ratio=0.0,仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
4ntL2njcyBGM1MoXTCVWUTVgcqHs52D7YsQzcfdDDtQy,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-654.7040725453644；hold=0.01306570356282201；sell_ratio=0.0,仍持有,risk_watch,lolcat-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5hCmfewv4rjMUouK3suJgqCiyFNtYdno4yTTHMN9qQxh,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=fresh_wallet,bundler；profit=770.3136629350716；hold=0.012952785817859377；sell_ratio=0.0",仍持有,risk_watch,lolcat-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
619F3XLsNzUp6FoP7AM5bkWvz8FcpgWxwXz9QWEvuxeS,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=trojan；profit=-1739.269363139689；hold=0.01280425105133196；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6yL2NHagzE15QwVMKFZhzghHauPZeAi4oaVVyWyfZbRs,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=padre；profit=-2136.7819703518417；hold=0.011712712872433861；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
BjWW8dgq7qbMSCWVgRzQzdATvKiFzBVnvcarkKzvSq6s,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=-345.3717682532597；hold=0.010972469884324508；sell_ratio=0.0,仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
Dq2UkKj2bAWusWGDkuJsRRz52y3NQpYvmqgyhd8PkRzA,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=fomo；profit=-801.3538385577359；hold=0.010310006402117274；sell_ratio=0.0,仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6wzf3HZGExJJ9SQPSpS2QvCmXwU2FArFYvCK3cVAqzW8,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,"GMGN标签=gmgn,axiom,photon；profit=3271.24475001639；hold=0.0；sell_ratio=1.0",已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
C3FBN8SC7xwy4KRPMtnu3qB2cHwGm49u8DdME7RSYH92,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=fresh_wallet；profit=2820.490308321123；hold=0.003669500765947652；sell_ratio=0.6298883542837098,仍持有,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
PwQ8N74QebNP79yNpcwjtVLwEENkMAZKkYsfkSpeqy3,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=padre；profit=2679.5515663708；hold=0.0；sell_ratio=1.0,已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
4mpm6xEjRUm8sxrnF8kYcM7DSJAkBSp4ar8Ke2zSK3rU,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,"GMGN标签=padre,bundler；profit=2199.20768599922；hold=0.0；sell_ratio=1.0",已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
38SLsXmTwoyDnbQ34hTrVETv2SDnxwMJ9rZ8U6vk5cS6,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=paper_hands；profit=2139.377404488282；hold=0.0；sell_ratio=1.0,未知,risk_watch,lolcat-EARLY_BUYER-E2-STRUCTURE_SIDE,token_traders
3DdsaYJ4ZWdmLpYdQZX7WoQiBRkXzLtBkFtxkzfFLgoY,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,"GMGN标签=axiom,bundler,paper_hands；profit=2103.84012960228；hold=0.0；sell_ratio=1.0",已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
BqvR3QjqjLZGymbkjFB7QMQyx2JtvweEVt5uxQ6stRiL,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=axiom；profit=2046.9926962493；hold=0.0；sell_ratio=1.0,已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
DTRkB8pz9efUULbKseTyPaDZR5gmr3epRT14dbSZRfKS,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,bundler；profit=1862.591339550725；hold=0.009918361818859002；sell_ratio=0.5396267382217491",仍持有,risk_watch,lolcat-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
87qpNCBP9YKMrk6jfuJycpeDJKprn8pCaN9mHfFRkNz7,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,R2,GMGN标签=axiom；profit=1859.11483998563；hold=0.0；sell_ratio=1.0,已清仓,risk_watch,lolcat-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,token_traders
