钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
GzQBdNKgXxF4TkMW92q831hcrBrvrhoXr8s3ci2rVhbL,,,,,,0.1244908822223635,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6EBbAvqo9H6iJv1YRowvJS4nxaggCdkLpdiwHYjAvH98,,,,,,0.02827625366833492,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GQEDscC5otBQDb8UzbHE9zrRMSAtBvKiy4qFHpFZddju,,,,,,0.021815599785923647,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Wt7mnC5hYFNZaS2j8Zzpj4bTnqoBkfbreytsauFC7PY,,,,,,0.020833071639282212,0.16039323196517413,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,,,,,,0.01677830767095234,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
S43hGWPsPi3gYmFqSHDgttXnJHYjrwP12fi7Q6SYEJM,,,,,,0.015857464118097093,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Bdkt9qFro8h7uUu3t2KYgsif4Y41dLxMMasPPqHuLeyS,,,,,,0.014303940610098306,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7cp6BSN4Q8D1B5b2vAUombZ2PZpJFa3Dfm7aBsYKouSn,,,,,,0.013959434379035681,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GMj12TB43eDeW9sLDUfwy9gixj9HW7RFgDBd8kuTzkn9,,,,,,0.013788142427960481,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5RhGvFbyuoZDB5LknGJsPjP5v9hvh71SNsyVZMZLbGnJ,,,,,,0.013230808648704413,0.07644960225215726,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
53TDpUKBakvqVhs5G5M8P4JhwKMJ3qwxyUss7Upfd4uF,,,,,,0.012803238279944042,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GZkgxSpD6fDAibJrt5k7YRudQccagHj8VAj54MSqoDxz,,,,,,0.01266040340850343,0.09020290592297,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7pcf3w6KQKqJ8otbcENWtbU4cWAM1fpmb9wnS3UDTEZX,,,,,,0.012549008852402833,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
D6Ue7Scx4BGjwF9HrwWHkDAfBBpNixTYt3VdjaVsB5M8,,,,,,0.01015395881558741,0.14105438462402597,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9z332Pxs4xaz7CdE4sYPEHu9a9qrxcUTkbvMXVo1q1Q8,,,,,,0.010033778561024517,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9z37u5ZvrZ9wBavhFTrxisZFLtw1HugQdpkT4aukL8Ay,,,,,,0.009783232940874386,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7sPBcEJ3YDtNzXdAos7iMgKoqw8nwjSzjC7TzPNeSGN1,,,,,,0.009687297174401366,0.5446941155743801,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4ahPEozG66M8Hq2YuKFZab9fr9yjPoEzHnfEYBVqPH9A,,,,,,0.009245493738865988,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8LNB2h8fzsXdsBBVxaXBvDx39EghberCT7eB3iq11q2m,,,,,,0.008885203271929872,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BEKzFP1qtZjcFCXjkK8btm182FcqjK8Xwyvp73KFEPmo,,,,,,0.00875914539843368,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FM5TctEqvJFd5sL96dpaiaSvsKvXCdfNAWC8caQv54LD,,,,,,0.008618571160496552,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
