address,gmgn_note,reason,action
GzQBdNKgXxF4TkMW92q831hcrBrvrhoXr8s3ci2rVhbL,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.1244908822223635；sell_ratio=0.0,risk_watch
6EBbAvqo9H6iJv1YRowvJS4nxaggCdkLpdiwHYjAvH98,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=2566.493728067535；hold=0.02827625366833492；sell_ratio=0.0,risk_watch
GQEDscC5otBQDb8UzbHE9zrRMSAtBvKiy4qFHpFZddju,trollhouse-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=fomo,top_holder；profit=-212.8947582677879；hold=0.021815599785923647；sell_ratio=0.0",risk_watch
Wt7mnC5hYFNZaS2j8Zzpj4bTnqoBkfbreytsauFC7PY,trollhouse-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=fresh_wallet,top_holder；profit=2099.4882882732913；hold=0.020833071639282212；sell_ratio=0.16039323196517413",risk_watch
DxM1hfY8FQ8dNGrucuJzhJcF8KRbjk8WBwrgKvQ9spPv,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,kol,top_holder；profit=755.3039894313636；hold=0.01677830767095234；sell_ratio=0.0",risk_watch
S43hGWPsPi3gYmFqSHDgttXnJHYjrwP12fi7Q6SYEJM,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1322.6922124575121；hold=0.015857464118097093；sell_ratio=0.0,risk_watch
Bdkt9qFro8h7uUu3t2KYgsif4Y41dLxMMasPPqHuLeyS,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1280.829226227916；hold=0.014303940610098306；sell_ratio=0.0,risk_watch
7cp6BSN4Q8D1B5b2vAUombZ2PZpJFa3Dfm7aBsYKouSn,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=padre,axiom,top_holder；profit=1192.7713089258184；hold=0.013959434379035681；sell_ratio=0.0",risk_watch
GMj12TB43eDeW9sLDUfwy9gixj9HW7RFgDBd8kuTzkn9,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-735.1295128430966；hold=0.013788142427960481；sell_ratio=0.0,risk_watch
5RhGvFbyuoZDB5LknGJsPjP5v9hvh71SNsyVZMZLbGnJ,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=fomo,top_holder；profit=115.20794701791517；hold=0.013230808648704413；sell_ratio=0.07644960225215726",risk_watch
53TDpUKBakvqVhs5G5M8P4JhwKMJ3qwxyUss7Upfd4uF,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bundler,top_holder；profit=1041.8535456678726；hold=0.012803238279944042；sell_ratio=0.0",risk_watch
GZkgxSpD6fDAibJrt5k7YRudQccagHj8VAj54MSqoDxz,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-501.006078674828；hold=0.01266040340850343；sell_ratio=0.09020290592297,risk_watch
7pcf3w6KQKqJ8otbcENWtbU4cWAM1fpmb9wnS3UDTEZX,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=padre,fomo,bundler；profit=1010.6523187357157；hold=0.012549008852402833；sell_ratio=0.0",risk_watch
D6Ue7Scx4BGjwF9HrwWHkDAfBBpNixTYt3VdjaVsB5M8,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-395.0237015366676；hold=0.01015395881558741；sell_ratio=0.14105438462402597,risk_watch
9z332Pxs4xaz7CdE4sYPEHu9a9qrxcUTkbvMXVo1q1Q8,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=fomo；profit=838.8672007698242；hold=0.010033778561024517；sell_ratio=0.0,risk_watch
9z37u5ZvrZ9wBavhFTrxisZFLtw1HugQdpkT4aukL8Ay,trollhouse-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=padre；profit=147.58875916210354；hold=0.009783232940874386；sell_ratio=0.0,risk_watch
