钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
9EnihnVnjGfCmaqKdiKbvaSRB6EVkvPF9rSYLqPhMufg,,,,,,0.31937456081904103,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Gya9LkAerTRDtWuPV99ASCvi91E9K5URBh2dppM8XRWm,,,,,,0.020711311498683,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HCDrHB1TfcgQbvjEzrKGWfka2VoiKsAmR4emR9fruUtm,,,,,,0.018311514988723,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FancEowvdCuCxdvLjU7kCKfwH6Y6JUcvYvvVhf6wGML6,,,,,,0.017386936078181,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
8Xv2K7pBqCy11kmbQvtbeLo7Pa46NEMyk7iGnVm1aLNN,,,,,,0.016075876616682,0.5061615306517565,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
63KNjndrYuS9QEiVsiZmyKNcT8sMgSjGwWqYmSXxc6V8,,,,,,0.015565459134752,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3gaUUtMxFbEwUNZHGFeR1o2DRdWXoEcW3WSJmqrrsMrj,,,,,,0.01443333477683,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Bw4p3nv481wFUXdXCyEztteYZPDiotL99zaozTdfZPPB,,,,,,0.013083804421683,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6oVxn3C3xwETqdvNjFZTUkFCHnJGU5VSieQfEqBZwhR,,,,,,0.012595789434726,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3AV9TWvBDoS6bJsgBPWzAp1379Nu4VPb96gha1KkqyiP,,,,,,0.011341576711332001,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
54hKGbHbWMp4wa19yGUzEVCi6L5kZiHchjFyJ3RKjfqy,,,,,,0.010057148528039999,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FeLa4fypfDZQTGrxsjbYbHHC6Zzh2te3JSoXf4qjdFV5,,,,,,0.009416262892337,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
4XVFms5eHHgGmEfeLZG7ZezQuALVjTAUoVBbzLH6Wo8N,,,,,,0.009106147975382001,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
