钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
9EnihnVnjGfCmaqKdiKbvaSRB6EVkvPF9rSYLqPhMufg,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.31937456081904103；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Gya9LkAerTRDtWuPV99ASCvi91E9K5URBh2dppM8XRWm,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-1482.679967243609；hold=0.020711311498683；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
HCDrHB1TfcgQbvjEzrKGWfka2VoiKsAmR4emR9fruUtm,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-1333.4623702063802；hold=0.018311514988723；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
FancEowvdCuCxdvLjU7kCKfwH6Y6JUcvYvvVhf6wGML6,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-1249.8610413261288；hold=0.017386936078181；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
8Xv2K7pBqCy11kmbQvtbeLo7Pa46NEMyk7iGnVm1aLNN,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=117.16600275935525；hold=0.016075876616682；sell_ratio=0.5061615306517565,仍持有,risk_watch,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
63KNjndrYuS9QEiVsiZmyKNcT8sMgSjGwWqYmSXxc6V8,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-1189.4910761416568；hold=0.015565459134752；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
3gaUUtMxFbEwUNZHGFeR1o2DRdWXoEcW3WSJmqrrsMrj,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-1136.9821254389194；hold=0.01443333477683；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
Bw4p3nv481wFUXdXCyEztteYZPDiotL99zaozTdfZPPB,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,top_holder；profit=-903.1773868884374；hold=0.013083804421683；sell_ratio=0.0",仍持有,risk_watch,CLIPLIN-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
6oVxn3C3xwETqdvNjFZTUkFCHnJGU5VSieQfEqBZwhR,EARLY_BUYER,STRUCTURE_SIDE,E2,GMGN标签=top_holder；profit=-983.6953648032253；hold=0.012595789434726；sell_ratio=0.0,仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
3AV9TWvBDoS6bJsgBPWzAp1379Nu4VPb96gha1KkqyiP,EARLY_BUYER,STRUCTURE_SIDE,E3,"GMGN标签=top_holder,bundler；profit=-982.9990313989802；hold=0.011341576711332001；sell_ratio=0.0",仍持有,risk_watch,CLIPLIN-EARLY_BUYER-E3-STRUCTURE_SIDE,token_holders
