钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
4tDsXzQCHmzKmB3EUbXvxL93fakLSRh2zcBbbUwp5LYi,,,,,,0.09287550720969806,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4GRzWPDn8cFinHfV5H1uM8PUXT81b47Y6fpPHYXH7a7C,,,,,,0.050000007400001094,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
EmBX4vvryuR4KaU7SHZWJWF1YTs2bKq1X95aqPgoJkpF,,,,,,0.02450121357458461,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
Es29Y44oa2Lktx9wkqVrkFzyUEw9LCNT8tMq9iPZrAQA,,,,,,0.023373172578354542,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3aYqzuexo649pkcYvW8hH9Cu5m5BVfUW63eWZzhWwqq7,,,,,,0.018478741011419667,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
DsqDJ1e7tFLSvrRbey7TRmFaF3MCg5qGe786E5U6YDV9,,,,,,0.017880299276584292,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
E46qJHqLqWhRj8FST89XbpH1uy4UXrG6uXpEhYY43m8n,,,,,,0.017666894512310388,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
udQmB9HnqzvLkscbV7w8oK9LtejNjip9Cwyx17s69BB,,,,,,0.016054906845723214,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
7NZznjgjKHc7u8iV2a1CNHm4F8UeNfzbDYVDQNnisK2r,,,,,,0.015739101798532065,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
EXE3L4QKFhfZAogf9NF35Qh5zhBKHMPxWffaQCf1mDJJ,,,,,,0.015501029432570356,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
