address,gmgn_note,reason,action
EaKBWosvRxuNpVBdSzbEYMXDBFxuxajq6SNXQp2eZHt1,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.084409802068529；sell_ratio=0.0,risk_watch
GceLzqiREcvscxLaTXoMY9XUCbMjbT4RSHEQ7C326VjB,MSTRUMP-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=147.05202146255317；hold=0.002292989878101；sell_ratio=0.0,risk_watch
B5ZU1u1DBB8bJhenRzMvhJPLyctDu872ZzakorsW9oYU,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=145.82893870585025；hold=0.002262926819369；sell_ratio=0.07114023648363076,risk_watch
43E3o1PsAVYn3vUYHsRioHY8NnVi8myxLRd7ioeukSLB,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=169.01194954697013；hold=0.0022596150503349996；sell_ratio=0.0,risk_watch
5dxXvduNpRUBkmfNVRHtNbECWfYkF9U4i12fjoAkCpMn,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=182.23496148599534；hold=0.002251854213453；sell_ratio=0.22025973442996613,risk_watch
2ec6BnyqSTmQPPrfHbNPn1CVGWiSPC7gMzSBWdULqYyn,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=145.8241466012782；hold=0.002144558354385；sell_ratio=0.0,risk_watch
6d7r17cqDmhmmTiayFBbNgiWzY2E6ikcqhuanh2TtbXc,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=145.2750195176448；hold=0.002114617903374；sell_ratio=0.0,risk_watch
4uyrHtSMmhBHFBR14n1mEmhmPeMauQaq2D1bFaB7CJJC,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=98.02243176557181；hold=0.002035787257623；sell_ratio=0.0,risk_watch
DKqhQKjuf7sY3qE2sr7g2i6ffbTFvSh8J3zXoyp396fC,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=46.56129263934345；hold=0.002024800157108；sell_ratio=0.0646887065987256,risk_watch
3CYSZpFhoxhbo3Kp4yi5E3suFLUh7B95FYmQ6eLdVmKv,MSTRUMP-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=225.44699317486464；hold=0.002013409401538；sell_ratio=0.1953606116815884,risk_watch
