钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
HsTWUzpDTwD5UNEQ7YAeL5XNkvSH3mAM9uBFGYrmeyfb,,,,,,0.172751970870576,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EyocHG3vukUg8tjserz7EypSavCZrNWwr2TNT4dNcdS6,,,,,,0.038871536827048005,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9YpHQCLVbrU7YUzaKtkcXUtugdd5iDV956QWsH6Cazjo,,,,,,0.026724500247439,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3e8JcNQJVgannqt7iZjP2jqm9qNzJ3vsBNASyBv9qvvH,,,,,,0.026443707442603,0.4688986655157878,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
2X4cxEzEqjCyzLB4Ut3V9jRwxu8sGfAQUqVrbhauhBL8,,,,,,0.024306036250869,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
G3gZWqrYkNmYFKYCyfRCNtGuxdyuE2wiYKkZpiZn4WSS,,,,,,0.023543547986939,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Efh6pffDNswYqTDqnyxq8AmsxbcMGfHCKcXk4JzzLSQv,,,,,,0.022952577811972,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
5KzZvVeFRq1KWbiBsjdDvmBdQHZZnzp2c5Ynz9PoMVkN,,,,,,0.021893028969932,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
G3tVaeeeFagPtEHcAA2iGm9bg1AscXnHZmkQjEkqcxuT,,,,,,0.021255249316628002,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
DqUJZJ6e3sBiMtUbgveCJzqh3JhiLhpuBYmncg1ivwcc,,,,,,0.020829724150321,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5cLuQRKpTrHh2KyQacBuM9KBeit6qoKXMLtraNyF22in,,,,,,0.017738627034956,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6K7SHtjzSreEyCFf5eh6DJyHQJBzbGSGBfTBnA5J2qm8,,,,,,0.017044426629085,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GVMFcUwLgxSv2zKJn89zciYkXZ19bLDSD2pMMe3hmHaY,,,,,,0.017031998724054,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8Th24wY3TMmsfPxUrizeTNmMYGRKAsuWuDdYug45sPpb,,,,,,0.016358023176872,0.019999999999984423,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
FnGVt3jTiyHnm7qoj1v1diuKHis5oMw68CZKqb4hdQnq,,,,,,0.016128401263945002,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
B8vj2nxQTNDAmbwqMbVZVjQDkY6s7qrCvGYA76DtZG4U,,,,,,0.015879785642876,0.020000000000007408,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
G5hvqcb1A7Phgqztk5FSWB9s7YWCDbhEUwVfbmYVNJbX,,,,,,0.014993214761165,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CAQbDubrBzwXpWnLmMPeZ3HnPh3FKyRHkL9uv7MjmwvW,,,,,,0.01464699676103,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
7K9MBGoS7WAXuU4UDHd2dzCs1KYRekG1YsC6yvKCULEM,,,,,,0.013650118545345001,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2qdtLVD8MDaKZ6JjgXNaJbfSynSaoT1UPRFC3qux2Gs8,,,,,,0.013544443655517002,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
2cL2hWBokpySiEFyLdK7uti3J9LRYnEkGe3cRUByax8n,,,,,,0.013214722065995001,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
5BKL4jR4DLmhfYvYvhTjJf2myLzni9aEHQ8WMDGNoNpn,,,,,,0.013202639556025,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8ED6nXTuyPDPj6cyqyiJ5e7e4rNsVoLA2G3W5M3B7ehA,,,,,,0.01304021802188,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
J898BLdjUWFPsvqwraj1rjg33rE9B6zJY6HvWFKx71fo,,,,,,0.012855548237785,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HBzeK4nEVPABTGFt2aWtTXsLumddY4gxTrDZ384kq4X1,,,,,,0.0127,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
FZU56d9iPqohXM5XBrYYBZLi2UoUnZT4V5Qf2631tEzb,,,,,,0.0123840227675,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
AqrfnexLm8jJrtMFXY5qnrv76c8XQX98KwumwsMsVfz5,,,,,,0.012316649484772001,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Ep9WT1YspRzUXkzTjFRRUAZGQrcSbCKNnEtrC6Ye5sQS,,,,,,0.012198525623455,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EC2f5DnHzuNRit1ExqghSifDbp1wgrzktsRRZCtU92MJ,,,,,,0.012110577686132998,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FBvi3P1CfEYBcxm6ii2PrrA5gYhcmTRSab8uyuraU86d,,,,,,0.011035922159399001,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9jMkPZPAHLMFAoEueiHnstLkKfkUVY8JFDBYDGq7GSpP,,,,,,0.010059831705792001,0.7285516085001602,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
6RQGaC9WLmhDUYBpAvP3cRcgYCMu5BygHHmuMm9AEoH5,,,,,,0.010000000059696,0.39003491359121617,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_traders
7u3LzHaAvtG1seR2HNnTuEsxgbUG5shgwhM1nogfZPDM,,,,,,0.006971388108294,0.6056588177584441,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3c4Y4uHVVcBsnRye5pfnML9Se39sLGC4HD9b3grpDitE,,,,,,2.31065e-10,0.9999999857050856,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
9v7RZuSp52Q3Uw5Msb2hQ9G1ETcjR5AigbXCYde7g6E4,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
CyAm32e6zvDow28R7NmHqApqGe8QecAYeH5sYZHZCMpM,,,,,,0.00946178833687,0.19999999999996615,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
dDZHEJoao3qEWZSeNzes4bXJuEjZ2fJfAUFouaBK5Ks,,,,,,0.011030894967714,0.3912268998213799,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
7aNHjMVxFnyEipm2HZTpkiy78YNyWknMiaCsDdiE7zLx,,,,,,0.007854202334261,0.24999999999995223,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
12w8JPfD4ZufwtfS3RM6PbX9s6aMwvBzS5yyJxk6n6jR,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
xssvDKMg8jH6GYnQhLXz7UHMHtSi3VnsNi7DuFCSod9,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
EEQtBE9JYGmC29kvp26NucK9HnspVXvrm4hgAYDMPgZp,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
GQVfg8d9npbcWRspEhw9EHwMpXUZRHQT4vWLMWanqY33,,,,,,0.002044741425793,0.7364777283486393,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BkrGrQJvr8N7nEnPcPzcP6zA1YLn4ZLyaZgeeTwEMUsB,,,,,,0.0012223828442259998,0.8511023839000946,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
BK4Bc9cxAKA7pNNXWMmeYUJZfqeV33E6C5DLJhVzsber,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
2Kc1CDoE1YaG5mTLXtsMfNvLMrHuSKAJ1EubnsSxnoyQ,,,,,,0.0012681459462409999,0.7552164871813218,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
8dtx2tr4TuJsYpri2suggFu1pg3DVjFLBBVmhtDy1MEF,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
4qFfFMuDqLFMQ3XQjCcFddxx9Y764JTR9AT5f2C79ujs,,,,,,0.0027356750312859997,0.7119999999998569,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
