钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
HsTWUzpDTwD5UNEQ7YAeL5XNkvSH3mAM9uBFGYrmeyfb,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.172751970870576；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
EyocHG3vukUg8tjserz7EypSavCZrNWwr2TNT4dNcdS6,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=869.4187194519682；hold=0.038871536827048005；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
9YpHQCLVbrU7YUzaKtkcXUtugdd5iDV956QWsH6Cazjo,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=289.9250022638671；hold=0.026724500247439；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3e8JcNQJVgannqt7iZjP2jqm9qNzJ3vsBNASyBv9qvvH,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=652.3089473856294；hold=0.026443707442603；sell_ratio=0.4688986655157878,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
2X4cxEzEqjCyzLB4Ut3V9jRwxu8sGfAQUqVrbhauhBL8,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=446.4715304348539；hold=0.024306036250869；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
G3gZWqrYkNmYFKYCyfRCNtGuxdyuE2wiYKkZpiZn4WSS,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=padre,photon,top_holder,bundler；profit=-340.857612160353；hold=0.023543547986939；sell_ratio=0.0",仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Efh6pffDNswYqTDqnyxq8AmsxbcMGfHCKcXk4JzzLSQv,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=fresh_wallet,top_holder；profit=797.1122422656117；hold=0.022952577811972；sell_ratio=0.0",仍持有,risk_watch,ROSE-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
5KzZvVeFRq1KWbiBsjdDvmBdQHZZnzp2c5Ynz9PoMVkN,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1198.3322137421153；hold=0.021893028969932；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
G3tVaeeeFagPtEHcAA2iGm9bg1AscXnHZmkQjEkqcxuT,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=884.7538448709005；hold=0.021255249316628002；sell_ratio=0.0,仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
DqUJZJ6e3sBiMtUbgveCJzqh3JhiLhpuBYmncg1ivwcc,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=top_holder,bundler；profit=965.2375371353711；hold=0.020829724150321；sell_ratio=0.0",仍持有,risk_watch,ROSE-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
