钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
F8K6ecxp7HB67FW5u6ukQV4ZDUCvsDzBmBmqPfcps4V7,,,,,,0.11910096947012597,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
42FCKFYBCbSN8kacqcHVjZnQKMscFzeRENoS2zGJvzQ4,,,,,,0.009294452927348453,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
865srogeLFg4q139ebauJp3BmSTkXTFuH79weUBPbAcp,,,,,,0.008470897480920897,0.20074267325078374,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
24nHUA3jYZxooNPyGfaxLXZiB2SFNRgDJJDRMCYx46LR,,,,,,0.007622316982296318,0.14239772489122854,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6YiueD6ys6j5xqwB9nBqZoA2ZRsgQXHypMjz3pevBCxh,,,,,,0.00700994958978795,0.9196726362222728,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
fb6r3h9Ca7CDLJYmu3P9hqzsEA18cgqqVYjdoiWZhu8,,,,,,0.006879709176178709,0.1301240611420282,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
48hXnB9SXPrgJZaEg6UhyzjBhDzFaKitzB8frtA8hdY9,,,,,,0.0066116403071046406,0.45876606461906766,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
DVQCadsFrujWq7uGeiVbMFFdEoiqH6CC9wqoCNMxb4sh,,,,,,0.006285198692635199,0.43256233025916474,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
6SEhsS5ZL3SHXWCFdnWPZRvRceUqpnTVdPBxQmMvxvEL,,,,,,0.006240197951849198,0.25646365853022257,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GYAzENjE2vqk6miauxH26LXkVDfsbnniFRw8ERo4A5hZ,,,,,,0.006159573051622573,0.2977347902121881,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
7gryJKu39yAzPLS51AwAuRHvEDpcEszFUxp84QF9GW5y,,,,,,0.006154878187474878,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EsUbztozateY9bzaspThMpGmDZXxnwv32CaLmnjyKm5u,,,,,,0.00609866984840867,0.16564619706160666,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
D8KMaXnr6svp1iEjZHhEetRUbw41CoEAmk7w55f2Aa65,,,,,,0.0058996805318976804,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4n3UvEJJc42TyrVhBqE86bnJSMhZbTYyG9KuqgHR1wCR,,,,,,0.00585824939067125,0.26814436232644573,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
9NVLvdGJSdZsX2eatt2UjpSf7hdGQkwDf3oRZzsv8A8U,,,,,,0.005758322302961322,0.4281470426803137,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
3MPXJH4SfsBxnFc5ddcaekMb8MdzQPPp5pcLRZCNDCA2,,,,,,0.0056993519860723514,0.4760490478278936,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CaFcvaRE2uJxzHUJgrdm9HfS7RLZybYekDJvFmQMECaJ,,,,,,0.005617176725776177,0.32078370531355654,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
GeD5HYHCJTNxAsVk9yFniwWT98GWp668j627ntSGE1FR,,,,,,0.00542407944835908,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6FzpTW5GDdCueDqNfqtCn1sJPSNoog4GaKJD49YxxNmh,,,,,,0.005298274387720275,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Bmbr3hds5ZjuZm8ff8PGGanY2CSsU3gZwy7SSNvGNvGR,,,,,,0.004966472686523472,0.333657203893403,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
F6vxsxc2rkeG8Eb638F9a8RSbs33W7XjHLvWPG5DpyaN,,,,,,0.004888971630247972,0.8601797452499559,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
BwsB5DKCzQ6c2fh8zWyQBpuaaYQDnFJzWMCekFvMopuD,,,,,,0.004866342351214342,0.181943909076655,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
52mezHgBdoJa9K1EWex13TrUSUD9jZBbMD5quNepp3WZ,,,,,,0.00459473028845373,0.42406375399544105,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3dm3NbMcvSN3mLZSWaL9qmoJnYPx7aZV8edu4ikrKuj9,,,,,,0.004590828775096829,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EnNpvsqKkBDUaJ5RfBDDjyxXtzkyz5HkMPhD4knFzUyp,,,,,,0.00439714065067314,0.46072950164664855,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6N3nreTu2BoKn2A6Sypp4gMTQWEZCUoAzs6dfP88DJER,,,,,,0.004337296350089296,0.4325759260306231,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6Psmi31ToS5GZBuqcB6D2VAcu9gW3K5YdLJatvnkAwrZ,,,,,,0.004234612705758613,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GuRrsH7MopfUUAifDGR68ywAWciLgaE9abqVYbx9sMRL,,,,,,0.004144624546953624,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
QkBxRaUy3xiTFbePssWVKMhmF6XhvdH3Ts1qikbnoiz,,,,,,0.004047180849275181,0.8847364671410276,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
3kxP5RcLgU37zAgU7f4szreTUHGEG8NcwPBPw5Z3FGqz,,,,,,0.00399308967910509,0.586507496255197,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
4GiHTnos4qfrujuRmmcLmDiPnuKhr9H3NVQL5sd2WSUM,,,,,,0.0035563880068013877,0.6749717638765688,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
