address,gmgn_note,reason,action
F8K6ecxp7HB67FW5u6ukQV4ZDUCvsDzBmBmqPfcps4V7,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.11910096947012597；sell_ratio=0.0,risk_watch
42FCKFYBCbSN8kacqcHVjZnQKMscFzeRENoS2zGJvzQ4,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=936.0052805711165；hold=0.009294452927348453；sell_ratio=0.0,risk_watch
865srogeLFg4q139ebauJp3BmSTkXTFuH79weUBPbAcp,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=1018.3324230890364；hold=0.008470897480920897；sell_ratio=0.20074267325078374",risk_watch
24nHUA3jYZxooNPyGfaxLXZiB2SFNRgDJJDRMCYx46LR,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=773.7422563636354；hold=0.007622316982296318；sell_ratio=0.14239772489122854",risk_watch
6YiueD6ys6j5xqwB9nBqZoA2ZRsgQXHypMjz3pevBCxh,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=7071.387534746958；hold=0.00700994958978795；sell_ratio=0.9196726362222728",risk_watch
fb6r3h9Ca7CDLJYmu3P9hqzsEA18cgqqVYjdoiWZhu8,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=778.9858174307622；hold=0.006879709176178709；sell_ratio=0.1301240611420282,risk_watch
48hXnB9SXPrgJZaEg6UhyzjBhDzFaKitzB8frtA8hdY9,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=top_holder,bundler；profit=847.2264519611228；hold=0.0066116403071046406；sell_ratio=0.45876606461906766",risk_watch
DVQCadsFrujWq7uGeiVbMFFdEoiqH6CC9wqoCNMxb4sh,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=900.4869849764814；hold=0.006285198692635199；sell_ratio=0.43256233025916474,risk_watch
6SEhsS5ZL3SHXWCFdnWPZRvRceUqpnTVdPBxQmMvxvEL,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=746.1795975750586；hold=0.006240197951849198；sell_ratio=0.25646365853022257",risk_watch
GYAzENjE2vqk6miauxH26LXkVDfsbnniFRw8ERo4A5hZ,Trolljak-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=top_holder；profit=743.8866293379036；hold=0.006159573051622573；sell_ratio=0.2977347902121881,risk_watch
7gryJKu39yAzPLS51AwAuRHvEDpcEszFUxp84QF9GW5y,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=623.8598430670296；hold=0.006154878187474878；sell_ratio=0.0,risk_watch
EsUbztozateY9bzaspThMpGmDZXxnwv32CaLmnjyKm5u,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=596.618789750443；hold=0.00609866984840867；sell_ratio=0.16564619706160666,risk_watch
D8KMaXnr6svp1iEjZHhEetRUbw41CoEAmk7w55f2Aa65,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=598.0767052712702；hold=0.0058996805318976804；sell_ratio=0.0,risk_watch
4n3UvEJJc42TyrVhBqE86bnJSMhZbTYyG9KuqgHR1wCR,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=816.2532647169733；hold=0.00585824939067125；sell_ratio=0.26814436232644573,risk_watch
9NVLvdGJSdZsX2eatt2UjpSf7hdGQkwDf3oRZzsv8A8U,Trolljak-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=948.4883816330585；hold=0.005758322302961322；sell_ratio=0.4281470426803137,risk_watch
3MPXJH4SfsBxnFc5ddcaekMb8MdzQPPp5pcLRZCNDCA2,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=942.0332409025307；hold=0.0056993519860723514；sell_ratio=0.4760490478278936,risk_watch
CaFcvaRE2uJxzHUJgrdm9HfS7RLZybYekDJvFmQMECaJ,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=780.5143512903991；hold=0.005617176725776177；sell_ratio=0.32078370531355654,risk_watch
GeD5HYHCJTNxAsVk9yFniwWT98GWp668j627ntSGE1FR,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=371.1457565549013；hold=0.00542407944835908；sell_ratio=0.0,risk_watch
6FzpTW5GDdCueDqNfqtCn1sJPSNoog4GaKJD49YxxNmh,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=520.6210783649547；hold=0.005298274387720275；sell_ratio=0.0,risk_watch
Bmbr3hds5ZjuZm8ff8PGGanY2CSsU3gZwy7SSNvGNvGR,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=667.5682055500669；hold=0.004966472686523472；sell_ratio=0.333657203893403,risk_watch
F6vxsxc2rkeG8Eb638F9a8RSbs33W7XjHLvWPG5DpyaN,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=2289.1774574284373；hold=0.004888971630247972；sell_ratio=0.8601797452499559,risk_watch
BwsB5DKCzQ6c2fh8zWyQBpuaaYQDnFJzWMCekFvMopuD,Trolljak-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=531.819831374965；hold=0.004866342351214342；sell_ratio=0.181943909076655,risk_watch
52mezHgBdoJa9K1EWex13TrUSUD9jZBbMD5quNepp3WZ,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=779.0241135882043；hold=0.00459473028845373；sell_ratio=0.42406375399544105,risk_watch
3dm3NbMcvSN3mLZSWaL9qmoJnYPx7aZV8edu4ikrKuj9,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=398.97609508412927；hold=0.004590828775096829；sell_ratio=0.0,risk_watch
EnNpvsqKkBDUaJ5RfBDDjyxXtzkyz5HkMPhD4knFzUyp,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=693.5884787072707；hold=0.00439714065067314；sell_ratio=0.46072950164664855,risk_watch
6N3nreTu2BoKn2A6Sypp4gMTQWEZCUoAzs6dfP88DJER,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=565.3903732766165；hold=0.004337296350089296；sell_ratio=0.4325759260306231,risk_watch
6Psmi31ToS5GZBuqcB6D2VAcu9gW3K5YdLJatvnkAwrZ,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=408.5017717891593；hold=0.004234612705758613；sell_ratio=0.0,risk_watch
GuRrsH7MopfUUAifDGR68ywAWciLgaE9abqVYbx9sMRL,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=266.5474702767599；hold=0.004144624546953624；sell_ratio=0.0,risk_watch
QkBxRaUy3xiTFbePssWVKMhmF6XhvdH3Ts1qikbnoiz,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=2199.1019285374828；hold=0.004047180849275181；sell_ratio=0.8847364671410276,risk_watch
3kxP5RcLgU37zAgU7f4szreTUHGEG8NcwPBPw5Z3FGqz,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=887.2667977417407；hold=0.00399308967910509；sell_ratio=0.586507496255197,risk_watch
4GiHTnos4qfrujuRmmcLmDiPnuKhr9H3NVQL5sd2WSUM,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=1061.6806973711714；hold=0.0035563880068013877；sell_ratio=0.6749717638765688,risk_watch
3FqJGbwPugoV88JijkzqQRUcF1iifD84AcpP6Eu5fRjN,Trolljak-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=723.4585292196371；hold=0.0008932914112232914；sell_ratio=0.9028023320900116,risk_watch
C6rjZszKeRuQFZ3rUdu3K49Wv5YR1BKcLt459JmXNZTH,Trolljak-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=无；profit=705.7771148993448；hold=0.001849231025727231；sell_ratio=0.7882867617565104,risk_watch
Cb44FZAgigP51SGRFEtaQpgmFdwvGrjbKNrRxMaDAHG3,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=686.6961947065688；hold=0.00018128780866828782；sell_ratio=0.9777458026267334,risk_watch
DqHiX1Zy1oFohDQ8yeMCeNEcREf2uL2ufmUG2nR6CUe9,Trolljak-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=无；profit=675.32882599008；hold=0.00015624225997424226；sell_ratio=0.9765953150912868,risk_watch
HCnkBG2XYRMcsfY9wFsrAMCnfgf85HvHWYydpDUZucVp,Trolljak-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=bundler；profit=673.9794881883181；hold=0.00026428493400928495；sell_ratio=0.9678069468044641,risk_watch
9Uf7LH9Wmvgps8Aiaq9v9PSpeaXx6MDhS7E6hYbeg29u,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=667.0871685353957；hold=0.0017098212541018212；sell_ratio=0.7783800925881355,risk_watch
DRMo3wgjDYb7yTdCcfcMqJVaBhRv1rndqCqRBFSFaCd,Trolljak-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=无；profit=653.8991147237487；hold=0.0026163823554893823；sell_ratio=0.7441779975201579,risk_watch
HK2ZuHQ2PrTiaCWUBwW5umpSd7uiU7TohayQyvkiCZ4S,Trolljak-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=bundler；profit=651.56590655826；hold=0.0；sell_ratio=1.0,risk_watch
4aLX9cDoQtDCz4pmzcbVnoiN9vnHH2f3oH7BxKDafbEa,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,"GMGN标签=sniper,dev_team,paper_hands,bundler；profit=636.62555073196；hold=0.0；sell_ratio=1.0",risk_watch
HNjt3Z7gPGjeLGJDxkXGZxy4NJS5otWcFMskYQRDdbi4,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=630.4871495818581；hold=0.0018446212590696213；sell_ratio=0.7083120789903746,risk_watch
AYQRaS7XTuEKQLp268AUJHNtCP7y2pPfAa65mgPzKRpT,Trolljak-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=628.671573859769；hold=0.000592942952210943；sell_ratio=0.9283372670976833,risk_watch
GxZCGaYV37WZ1DZxZXvN8nv3En6zc3aFoGgEm2DxFzoB,Trolljak-EARLY_BUYER-E3-STRUCTURE_SIDE,GMGN标签=bundler；profit=315.3034506004996；hold=0.003431257041585257；sell_ratio=0.0,risk_watch
H5V1M538Q4jtf3xhEDZzW38Ms3mNuAcNA5Y1Q3zQW7WK,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=518.1305238636041；hold=0.003238331640407332；sell_ratio=0.5091590478612166,risk_watch
DzpRC9dwD2NwLfp5ggdBdC7f44hCetmf1AHkBZtXbay8,Trolljak-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=bundler；profit=474.11707447829144；hold=0.0025068281944388283；sell_ratio=0.5676763541378075,risk_watch
