钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
2MVjjf6hAVwLKSKBUdYFz85VVoSved8oiukwWBGQzHbD,,,,,,0.16512286726092984,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BqyRStP1JCSJnfEMJSQrwHuLnS8TjhteoLq8JHT6HERy,,,,,,0.027314199714630696,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7tCwDHQ3TEMFE4HK3o5S89wvrHBNB44jAnMMcxmSDkWF,,,,,,0.02241771532035635,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
23qFRddV8vJvkBoTEKHYfZVUZw4TtbXoKhXPJrFXsBn2,,,,,,0.02209782755202984,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8fSnLTnRViK83dDesivTsPx2wiRhwti9xoafeMGjEyLJ,,,,,,0.02156180781302045,0.25,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
9CjYSuzv69UKiPh8Sw8paXMNoPcDRNxG4yrXVWqwAc9J,,,,,,0.02108422544721693,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
3NpxLs6VcCFTc1F6PnnjdTb5GPVvDEaEeB3GiLLg43d4,,,,,,0.020032879652256183,0.5920804056792577,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2wetDRKwAHWTmRWU4mSsRSjBVXK88HNKmPJyUNwmtMDF,,,,,,0.01940849839971104,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
zkExzM4e6wAGSJVWUoom3hfsSww7TEZ6AV9erC8EYLi,,,,,,0.017133788930802238,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,,,,,,0.01651156946212964,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4uH1YDim1N7SKxDgrnF3KWK368i9ZgqnBMMtZSvefK8M,,,,,,0.015881126122515656,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EyiSgNn8gyJJhZdRNc1TKQBuMSbvqJfmX9TUfXMB3DHL,,,,,,0.015581631059760253,0.28297148447005677,RETAIL_NOISE,NOISE_SIDE,资金待查,token_traders
5QztLwt1827zXdMC3FEzkWyApAi4j7UNhu5zzVTPyjpY,,,,,,0.015177614403164898,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Ht3xabnZ8eVCZrJqi8FSJXfhgww7fqrEkiSEJuWBDDR1,,,,,,0.01462160574615816,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
92aQv4XC6MPKj1Y22ojJ8vzfi7xqCVpBtgD3JH6xDE22,,,,,,0.014316309083457232,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
57um4VdTEYtURz98jRbvz5yUj5wCNyQifPR1cUnFzu1T,,,,,,0.01223005337705977,0.5781249999999682,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
7auxt8W4susFx7kiR82Zgf35cSYWLT4hyyXuZM7rmihY,,,,,,0.01189531713378695,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
UXQLBpu2sykJzV9hMyoGGAT8ESkMmg3jUgGae7e6Mob,,,,,,0.01169700710324546,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
GoR7XyMDFeQ7qroca7ArLpw6axMUbnTxrruiMNs5BzEA,,,,,,0.011582715271040392,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CH99zD7iN4jUw9dw7bratWo89eB9BpfYw3DHwzuYDyGR,,,,,,0.01094486456553473,0.30922257625357497,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Ftb9bra21D8mQTjHNnA46Ki4RmwqZ5AWjMurRqN1w2xf,,,,,,0.010045581554371902,0.4423504638753715,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8f8y6Kf1JsMAbQevUiDpDB1ygoPY3vvKKPxCBBrZnwsb,,,,,,0.010001005921177563,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
7xwDKXNG9dxMsBSCmiAThp7PyDaUXbm23irLr7iPeh7w,,,,,,0.009511549303127007,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
Fqyg6V1hSS6YSpUVpk7wfakoJaj5ArmDwtVm2bY79yfU,,,,,,0.009315958761165116,0.5546800538085811,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BkyzJXQChv5h3EZVnQYRxZhaS2uNLPfByAbqbs1AcNBB,,,,,,0.0083722661927512,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
BL4qtraXh9RYapms7NgZZSC6mrtpi7DovzHrSxLxeiTg,,,,,,0.008098756392726494,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
J7tDFVR4F9m8DK6ykXAdYEtsLunrpQCvhwhCaPAd4wqC,,,,,,0.007976988156671774,0.5642736458809214,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2CMMtBU7i8dYxwg78L6h4RJcTs3sSjabw1Cs1nqnZ6yi,,,,,,0.007562375575874172,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
96VZ6RLWS8xdAoMhDvTurXyhKYfhMUe6giJ6kgc66qHa,,,,,,0.007235245592564191,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
GCRxLELdB5FFgcUnRNBjk3gG9rTSFRyVYCSvHWtiXfMA,,,,,,0.007001309892208578,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CH7H7cuuZAqF28geUR52rCcnKwVqr3KTxNKjgL69zU6r,,,,,,0.0,1.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_traders
5H8phzFu9jTEmcDj2MDeyHcyvMmRY1UwPonqKbFNiiNG,,,,,,0.0,1.0,BAGHOLDER_WHALE,COUNTERPARTY_SIDE,资金待查,token_traders
