钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
2MVjjf6hAVwLKSKBUdYFz85VVoSved8oiukwWBGQzHbD,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.16512286726092984；sell_ratio=0.0,仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
BqyRStP1JCSJnfEMJSQrwHuLnS8TjhteoLq8JHT6HERy,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=917.4646652246319；hold=0.027314199714630696；sell_ratio=0.0,仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
7tCwDHQ3TEMFE4HK3o5S89wvrHBNB44jAnMMcxmSDkWF,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=744.8710649360952；hold=0.02241771532035635；sell_ratio=0.0",仍持有,risk_watch,Gigadowns-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
23qFRddV8vJvkBoTEKHYfZVUZw4TtbXoKhXPJrFXsBn2,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=padre,top_holder；profit=543.9311843873004；hold=0.02209782755202984；sell_ratio=0.0",仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8fSnLTnRViK83dDesivTsPx2wiRhwti9xoafeMGjEyLJ,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bundler,top_holder；profit=1157.744266777956；hold=0.02156180781302045；sell_ratio=0.25",仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
9CjYSuzv69UKiPh8Sw8paXMNoPcDRNxG4yrXVWqwAc9J,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bundler,top_holder；profit=1074.238065638091；hold=0.02108422544721693；sell_ratio=0.0",仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
3NpxLs6VcCFTc1F6PnnjdTb5GPVvDEaEeB3GiLLg43d4,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=gmgn,bundler,top_holder；profit=863.3534765408292；hold=0.020032879652256183；sell_ratio=0.5920804056792577",仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
2wetDRKwAHWTmRWU4mSsRSjBVXK88HNKmPJyUNwmtMDF,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=fresh_wallet,transfer_in,top_holder；profit=710.4542039732861；hold=0.01940849839971104；sell_ratio=0.0",仍持有,risk_watch,Gigadowns-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
zkExzM4e6wAGSJVWUoom3hfsSww7TEZ6AV9erC8EYLi,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-100.00446098713917；hold=0.017133788930802238；sell_ratio=0.0,仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
BAr5csYtpWoNpwhUjixX7ZPHXkUciFZzjBp9uNxZXJPh,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=axiom,wash_trader,top_holder；profit=76.20933954852251；hold=0.01651156946212964；sell_ratio=0.0",仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
4uH1YDim1N7SKxDgrnF3KWK368i9ZgqnBMMtZSvefK8M,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=11.391201623472057；hold=0.015881126122515656；sell_ratio=0.0,仍持有,risk_watch,Gigadowns-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
