address,gmgn_note,reason,action
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=bluechip_owner,top_holder；profit=0.0；hold=0.058166093759787346；sell_ratio=0.0",risk_watch
Gxo5juH9o1Mni26Pxh5X8bZyDALw52xkaTC9sBaCCZsN,UNITED-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,"GMGN标签=trojan,top_holder；profit=6925.446030142757；hold=0.013072896453850501；sell_ratio=0.0",risk_watch
EYfuMRbrDNEBmsHJvjqbRrCmdpoREdpU7JnmcrGhLKtG,UNITED-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,GMGN标签=top_holder；profit=7629.634275412079；hold=0.011857854024628767；sell_ratio=0.15317556947801864,risk_watch
6DiCAFFHqNtzMMaPfU4n9CR1rGpCuAd8nj4P8y7kFRkw,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=6951.964039314619；hold=0.011020691473898305；sell_ratio=0.0",risk_watch
GWeQGuyTop4GRDHU3gq83F6piruEJVBmNc1fncU1Gb6V,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=2063.1356434784057；hold=0.010007598201694758；sell_ratio=0.0,risk_watch
CKGj5boqAZSfXwQrosgf7t1bCxMUy6Q5ijLBxvDoNzVN,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-1057.6572454012423；hold=0.009800036201333727；sell_ratio=0.01906419943802066",risk_watch
EKuXVPeWXkfQrvzyRwwLP169yMzStJKr7DBV7RQKP5Nh,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=783.7851941933795；hold=0.009732384094148843；sell_ratio=0.0,risk_watch
26oteN7xSpLcn4JddXm85x4xex8KLPhPDXziJZvocwnq,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=axiom,transfer_in,top_holder；profit=4603.663555651292；hold=0.009232133852721452；sell_ratio=0.0",risk_watch
F6Es5797851e4b6HEm2g7w4UZu99qaCrKPjBHbdRT7oD,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-7364.312889502344；hold=0.008400031029714624；sell_ratio=0.15998931506408762",risk_watch
34CyZFfaYHNtJhZksH6VbXa282uEUqumfXuNdptGffY7,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=1332.6597338290744；hold=0.007410082244343811；sell_ratio=0.3133183699423653,risk_watch
F53yJHjy2foBN5FwKZaxwAd1HufBSt2Qdf2wPdAhukuJ,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=2163.514991854719；hold=0.007056980997258804；sell_ratio=0.0,risk_watch
ELdQuTPKC64J7rafh49awE4qWt2R52mfPC6Q6oAhWNnb,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=trojan；profit=3561.3980875343686；hold=0.006596479080883725；sell_ratio=0.0,risk_watch
R1XAkpZWiRPuCkoic2B94Gpn8yNCtkJNSG2UZbTbnj8,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=padre,transfer_in；profit=202.85761433375887；hold=0.006152339832665342；sell_ratio=0.0",risk_watch
93NHsCw4zta7UNW8GFoCJSQM5h2cQc4STrg2E6dEQmoh,UNITED-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=fresh_wallet；profit=942.685884354404；hold=0.0051241024074412935；sell_ratio=0.5367397585167116,risk_watch
82f4BeANNDcwyUMZZ6M9zFsgc1X4nr9jqZgvoD6Jio84,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-2781.0668226472253；hold=0.005000462233581491；sell_ratio=0.49995562381260006,risk_watch
C9TpQ25RLoFT5NpLP3T6M1B8qdcz3GRVRwCY37MgPav2,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-5944.828702110721；hold=0.0050000184700682284；sell_ratio=0.2857142857142857,risk_watch
5wi8x7cfqnSVQ13T9GVF8o8HDUSHbnXqASypMKkmdXJc,UNITED-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=dev_team,whale,sniper,creator；profit=75150.99387767988；hold=0.0050000184700682284；sell_ratio=0.0",risk_watch
22RfjvETFkpoH75MAPwEeNm1c5etKaDZJSr9Av8W6kut,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=2161.087144551778；hold=0.0048851504135536275；sell_ratio=0.08391735627248346,risk_watch
DxDGmovbooJGMQDQsBnBYjn8RFMtRt4GRi7XD5MPc7am,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-9212.161260091765；hold=0.004617708527214299；sell_ratio=0.20380189295579498,risk_watch
54Sc9nUm9Q3RtxMzMCzdVWoRFSXgmqDseyAJnQCtjFBK,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=-409.05073223887666；hold=0.004485488746908431；sell_ratio=0.0,risk_watch
CQeQSVNS8DwoUch9FeoqMdVAMCSjKBVSZaURCetEb1Hy,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=axiom；profit=1788.1550676688635；hold=0.004026588360199403；sell_ratio=0.07820889138573689,risk_watch
CJBvVPMnSosPDQGXK56CkUzBdX6VcDzcQsW1153P6Ybs,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-107.88270697066991；hold=0.004000015776058277；sell_ratio=0.0,risk_watch
DVACTrmRgEZWUd22vT9ozQ1131if8rQRVLHJPd9ZVRY5,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=无；profit=1137.9759164306915；hold=0.003956524500563505；sell_ratio=0.0,risk_watch
J2yK5CUw2qA93pfEARA1CV4UtgmCmTty1kZuHAkquvqL,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-8153.276166260341；hold=0.003750013852551171；sell_ratio=0.0,risk_watch
