钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
HLnpSz9h2S4hiLQ43rnSD9XkcUThA7B8hQMKmDaiTLcC,RETAIL_NOISE,NOISE_SIDE,E1,"GMGN标签=bluechip_owner,top_holder；profit=0.0；hold=0.058166093759787346；sell_ratio=0.0",仍持有,risk_watch,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
Gxo5juH9o1Mni26Pxh5X8bZyDALw52xkaTC9sBaCCZsN,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,"GMGN标签=trojan,top_holder；profit=6925.446030142757；hold=0.013072896453850501；sell_ratio=0.0",仍持有,risk_watch,UNITED-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_holders
EYfuMRbrDNEBmsHJvjqbRrCmdpoREdpU7JnmcrGhLKtG,HIGH_RESULT_WALLET,STRUCTURE_SIDE,E4,GMGN标签=top_holder；profit=7629.634275412079；hold=0.011857854024628767；sell_ratio=0.15317556947801864,仍持有,risk_watch,UNITED-HIGH_RESULT_WALLET-E4-STRUCTURE_SIDE,token_traders
6DiCAFFHqNtzMMaPfU4n9CR1rGpCuAd8nj4P8y7kFRkw,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=6951.964039314619；hold=0.011020691473898305；sell_ratio=0.0",仍持有,risk_watch,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
GWeQGuyTop4GRDHU3gq83F6piruEJVBmNc1fncU1Gb6V,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=2063.1356434784057；hold=0.010007598201694758；sell_ratio=0.0,仍持有,risk_watch,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
CKGj5boqAZSfXwQrosgf7t1bCxMUy6Q5ijLBxvDoNzVN,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-1057.6572454012423；hold=0.009800036201333727；sell_ratio=0.01906419943802066",仍持有,risk_watch,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
EKuXVPeWXkfQrvzyRwwLP169yMzStJKr7DBV7RQKP5Nh,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=783.7851941933795；hold=0.009732384094148843；sell_ratio=0.0,仍持有,risk_watch,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
26oteN7xSpLcn4JddXm85x4xex8KLPhPDXziJZvocwnq,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=axiom,transfer_in,top_holder；profit=4603.663555651292；hold=0.009232133852721452；sell_ratio=0.0",仍持有,risk_watch,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
F6Es5797851e4b6HEm2g7w4UZu99qaCrKPjBHbdRT7oD,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-7364.312889502344；hold=0.008400031029714624；sell_ratio=0.15998931506408762",仍持有,risk_watch,UNITED-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
34CyZFfaYHNtJhZksH6VbXa282uEUqumfXuNdptGffY7,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1332.6597338290744；hold=0.007410082244343811；sell_ratio=0.3133183699423653,仍持有,risk_watch,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
F53yJHjy2foBN5FwKZaxwAd1HufBSt2Qdf2wPdAhukuJ,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=2163.514991854719；hold=0.007056980997258804；sell_ratio=0.0,仍持有,risk_watch,UNITED-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
