钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
93ktyXtiGDz2DMygZ7uG7Tn9o3FXef7Lz6jYmeGhpwPn,,,,,,0.10638593620184844,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8X9tMcLY9ktXBm1x22SYd19p1zprRgbMABcnp8CScqwB,,,,,,0.021416351622596475,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
2sAYeLCp7CncGHGtUJcUXZSQHZCWhoemwx5hHnkSiDXa,,,,,,0.020465597624654427,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
BdBuNAjyBwg5maJz77X2nnrSHoW2aaKCmiUieLLc39pi,,,,,,0.017606068643561613,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
CEurMntfZmTcK9jY36H3McZZpgQmeUS4BpDAg9nhbkbo,,,,,,0.015546576444527402,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
H2VZ6Z7jhvvpbXiDsiuPaHFK6iGvd6jpLpJ9zrQtdZtE,,,,,,0.014309646735657567,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
4tA7jM2RgLHUpYsvTm6ECMZhbm3eo1HuCAhWSkhpabDL,,,,,,0.014246415896123034,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
8WY3DxcH66x7aE6kfMdbG2TQ5R9w4cZeFpXLnDLcW7Bm,,,,,,0.013947904263639456,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
GGZBCcTJi38HJweE6STT9suxTyTkXajvJNZD9A6fKzxM,,,,,,0.013646251772240896,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5su7cPhQDoCsAATeLWjW7HQwvbESxPNq9AEeUFPEEiMB,,,,,,0.01344901583511535,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
FudL15RmTVNBUnzwbMDB4uTXJKD5UBJEHVa6hDiEn6Wt,,,,,,0.013390479827566045,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
5hoVDnpLd5tSABC88h15wkDRF8MZ925FwDPk1BH58hML,,,,,,0.01338642871972984,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
E4xiBtpGmYZkJ5QmUyrvUDknc5C4X4ATctB79xN4SWPN,,,,,,0.013385289408168004,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
