address,gmgn_note,reason,action
93ktyXtiGDz2DMygZ7uG7Tn9o3FXef7Lz6jYmeGhpwPn,WINNING-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.10638593620184844；sell_ratio=0.0,risk_watch
8X9tMcLY9ktXBm1x22SYd19p1zprRgbMABcnp8CScqwB,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-21.000496666999837；hold=0.021416351622596475；sell_ratio=0.0",risk_watch
2sAYeLCp7CncGHGtUJcUXZSQHZCWhoemwx5hHnkSiDXa,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-0.1380496762576513；hold=0.020465597624654427；sell_ratio=0.0",risk_watch
BdBuNAjyBwg5maJz77X2nnrSHoW2aaKCmiUieLLc39pi,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-16.28344811301986；hold=0.017606068643561613；sell_ratio=0.0",risk_watch
CEurMntfZmTcK9jY36H3McZZpgQmeUS4BpDAg9nhbkbo,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=896.5392011606252；hold=0.015546576444527402；sell_ratio=0.0",risk_watch
H2VZ6Z7jhvvpbXiDsiuPaHFK6iGvd6jpLpJ9zrQtdZtE,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=2370.2600329760016；hold=0.014309646735657567；sell_ratio=0.0",risk_watch
4tA7jM2RgLHUpYsvTm6ECMZhbm3eo1HuCAhWSkhpabDL,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=71.96645658359989；hold=0.014246415896123034；sell_ratio=0.0",risk_watch
8WY3DxcH66x7aE6kfMdbG2TQ5R9w4cZeFpXLnDLcW7Bm,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=804.3470529352501；hold=0.013947904263639456；sell_ratio=0.0",risk_watch
GGZBCcTJi38HJweE6STT9suxTyTkXajvJNZD9A6fKzxM,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=63.512206159200105；hold=0.013646251772240896；sell_ratio=0.0",risk_watch
5su7cPhQDoCsAATeLWjW7HQwvbESxPNq9AEeUFPEEiMB,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=793.8528898539299；hold=0.01344901583511535；sell_ratio=0.0",risk_watch
FudL15RmTVNBUnzwbMDB4uTXJKD5UBJEHVa6hDiEn6Wt,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-24.308587333479863；hold=0.013390479827566045；sell_ratio=0.0",risk_watch
5hoVDnpLd5tSABC88h15wkDRF8MZ925FwDPk1BH58hML,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-380.3018654310399；hold=0.01338642871972984；sell_ratio=0.0",risk_watch
E4xiBtpGmYZkJ5QmUyrvUDknc5C4X4ATctB79xN4SWPN,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,"GMGN标签=transfer_in,top_holder；profit=-24.299164835940246；hold=0.013385289408168004；sell_ratio=0.0",risk_watch
8BM67ie8bMqJ5VgJauig4t1iqZ54UD7ZQr1m9Sph2vBb,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-377.00347174143985；hold=0.013270326969964842；sell_ratio=0.0,risk_watch
AdkSqawX4t3En6GTfKFGfsn9qLrvW3fTKSfSmzFhs7Ru,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-243.8269476520702；hold=0.013255283856199736；sell_ratio=0.0,risk_watch
2xUGdmkvjA38TpncRMFvnXSEjqQFjQHBsQ78RxCmUjx5,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=25.513506528480093；hold=0.013116891010600214；sell_ratio=0.0,risk_watch
GhP53KsuwFcWAmMksBZUbgnXcS4VkGZPm4DRA7vKiq8D,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-12.05196371670013；hold=0.012980790791953922；sell_ratio=0.0,risk_watch
oKsXZAfq4Erxqxvsc43y1UvMMp8gBGrG5wwXj2ZRnjb,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-368.515997472；hold=0.012971572271011093；sell_ratio=0.0,risk_watch
BPbtwYodYm85JsdrTH72p8FxYPWFfG4ZbXt457WrBtST,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=750.17136258249；hold=0.012952151960235806；sell_ratio=0.0,risk_watch
6DCqBkYUVfigYq8FbRfNNavAjh7TTSYyH6yjDoa9U81s,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=763.818136685325；hold=0.012940183687332057；sell_ratio=0.0,risk_watch
A3GmqajkKgU93U65FBXsFHVsLZXHVcUkRTmGV2cPqpFK,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-237.91918074339992；hold=0.012934117028313147；sell_ratio=0.0,risk_watch
94fXaL7ZASLn7vjiACo5gpY7zSDMTgc11zhaPrAyS41C,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-367.08331188351985；hold=0.012921142480228355；sell_ratio=0.0,risk_watch
8XkFpSQrEfWDmhvrh2X4YvsqRjYypJEMiugiSsNW1nXz,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-23.026423114360114；hold=0.012684194683299068；sell_ratio=0.0,risk_watch
9MEVXE459CjqGHmfyfnTYBwzex53nL2BYz93qSReZ6rA,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-231.15588158892；hold=0.012566440481646313；sell_ratio=0.0,risk_watch
AnoZcK92bSNoNqmnmvTVbLny9DMRx9VuLUeVHbXriBb3,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-11.65274530509987；hold=0.012550805205945644；sell_ratio=0.0,risk_watch
AKU7QVNngjuoQ89FtbX6AYGHRL4FwqvmSjCRUNffEN28,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-22.646412644580323；hold=0.012474864438803758；sell_ratio=0.0,risk_watch
58LtifpLGhejSwVcR3ibrWBrKnVGbYMSdpUTMaQBYTSH,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-35.45722257247985；hold=0.012156572397070565；sell_ratio=0.0,risk_watch
FfsmcZHzXVi3522d72a1CsfyQRUmm2Kg72uuCw3ip14t,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=52.25710164617976；hold=0.011992345486758536；sell_ratio=0.0,risk_watch
5P6Bbm5gArY5ZnvjbCx13gdGK6bThUybTjdEtCzU35v2,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=-34.95966166454991；hold=0.011985982746771847；sell_ratio=0.0,risk_watch
4LQivX8pUQ6w1yf2hBsmYn4F3LYNMvhyDa44k1n6brAR,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=703.1795150157001；hold=0.011912877755115302；sell_ratio=0.0,risk_watch
niggerd597QYedtvjQDVHZTCCGyJrwHNm2i49dkm5zS,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,paper_hands,dev_team；profit=1009.05258528469；hold=0.0；sell_ratio=1.0",risk_watch
G9yDf5T598YT6Rp3u9f8B6ZH21qv6r8jmcotoGuQMbYi,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=无；profit=679.0560143906602；hold=0.009074136037284436；sell_ratio=0.0,risk_watch
6q1rN6szfa7YdfKdn6KzYzamZkPCpp4iNVmanxBMJL1T,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,GMGN标签=transfer_in；profit=490.610226881775；hold=0.009289675401083558；sell_ratio=0.0,risk_watch
BnnNJJgy9w2MLQ9XBKJKG9FQa2r9qdW7u5VpzEkwUcc3,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,bundler,paper_hands,dev_team；profit=178.42121290987；hold=0.0；sell_ratio=1.0",risk_watch
33F73jmBM2BzN8sEAAkzw5BPYhSwdfoUGUNme2QTfeaw,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=106.98682092159；hold=0.0；sell_ratio=1.0",risk_watch
DrnuP46qcf7b7utTY9Esm46SwkTFhYu4TrtRGTyvkE67,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=paper_hands；profit=102.06661167613；hold=0.0；sell_ratio=1.0,risk_watch
BHAnUwUEpfBVG4GGQMb1cd73eEYea1kr7SFhfuPiqapf,WINNING-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=gmgn；profit=72.41932694997844；hold=0.000564062735073847；sell_ratio=0.4999999999995567,risk_watch
qQ6reFuvuQ7fJL55CNb65d5NRZ5ESDmh69d62hYBhPo,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=gmgn,paper_hands；profit=66.06602331957；hold=0.0；sell_ratio=1.0",risk_watch
F7RV6aBWfniixoFkQNWmRwznDj2vae2XbusFfvMMjtbE,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,"GMGN标签=sniper,paper_hands；profit=40.23005016916；hold=0.0；sell_ratio=1.0",risk_watch
3SkBCx49BsK64h6tssBBJZ1WNvpiLdnhnXNmJtP46d7b,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=sniper；profit=39.22325747967；hold=0.0；sell_ratio=1.0,risk_watch
6eXakCJQoNurWBFWHEhw9UyPqmWcoRNJwxbBKc9dQn3f,WINNING-EARLY_BUYER-E2-STRUCTURE_SIDE,GMGN标签=sniper；profit=38.89921888185934；hold=9.67777653315964e-10；sell_ratio=0.9999978085789042,risk_watch
3Q9rv8HfGFDDjz4X8Mit5RLaC5Qm1oyAzsg68r9BXFrT,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=paper_hands；profit=35.38252870114；hold=0.0；sell_ratio=1.0,risk_watch
7qFB5H9LSrVqty3kNL2y6Msqy3BVhCDshxP9QvkdaViy,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=padre,axiom,bundler；profit=30.75502960463；hold=0.0；sell_ratio=1.0",risk_watch
ErhePoJ1g7yUJKJFFsj3CZARdMbEs9jWbji5MaP3g1w1,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler,paper_hands；profit=30.46156331249；hold=0.0；sell_ratio=1.0",risk_watch
Bp4wu4JLAvRnVTDU9pNE2ikVdyPag3Q28J169WV8aTNa,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,bundler,paper_hands；profit=30.09899058911；hold=0.0；sell_ratio=1.0",risk_watch
sdQ3nsqfX1cgqYLipBFf6C39LSk1Jg1P2psAdnKWBng,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=bundler；profit=29.89041462751；hold=0.0；sell_ratio=1.0,risk_watch
7frdUgfTwfRXfczprcHcGKBuEvucgT72oMfe8vJePLpC,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=27.29304677985；hold=0.0；sell_ratio=1.0",risk_watch
2tgUbS9UMoQD6GkDZBiqKYCURnGrSb6ocYwRABrSJUvY,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=trojan,paper_hands；profit=25.67878805135；hold=0.0；sell_ratio=1.0",risk_watch
7BNmLfXMRZPmRGBBtCHz52LBGqBdJDqPDRJH4T64reJg,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=padre,axiom,gmgn,paper_hands；profit=25.56698311793；hold=0.0；sell_ratio=1.0",risk_watch
2QftzPq7BmxFUUw2GedctuvEEpS41D5Qbpp72kTtGWB4,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=25.25892761424；hold=0.0；sell_ratio=1.0",risk_watch
BcGfyme9tv5w4uRr3FW25NpcArSU9rHsPyXYtTMcBrH5,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=23.17446361569；hold=0.0；sell_ratio=1.0",risk_watch
4Cm7Chzkna6LNh8J57yBoRa51Mn2Fjyt1qfYuWWPk4Ct,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=fomo,paper_hands；profit=21.9926286289；hold=0.0；sell_ratio=1.0",risk_watch
8fj8gxpdp3EsGxok1pxqtoR3dPdsnyrCCCaqxfmp82oT,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,paper_hands；profit=21.65756894365；hold=0.0；sell_ratio=1.0",risk_watch
7t98N9NRhTw9U2ub5Xciky4VHSi8kd8td8m8okfuKA1g,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,GMGN标签=paper_hands；profit=21.07966829587；hold=0.0；sell_ratio=1.0,risk_watch
44kdzNHg3XTFz4syy5SDVmu4Gy2DDaXZErqqNieMbBFH,WINNING-BAGHOLDER_WHALE-R2-COUNTERPARTY_SIDE,"GMGN标签=axiom,gmgn,paper_hands；profit=16.62358774845；hold=0.0；sell_ratio=1.0",risk_watch
