钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
93ktyXtiGDz2DMygZ7uG7Tn9o3FXef7Lz6jYmeGhpwPn,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.10638593620184844；sell_ratio=0.0,仍持有,risk_watch,WINNING-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8X9tMcLY9ktXBm1x22SYd19p1zprRgbMABcnp8CScqwB,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-21.000496666999837；hold=0.021416351622596475；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
2sAYeLCp7CncGHGtUJcUXZSQHZCWhoemwx5hHnkSiDXa,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-0.1380496762576513；hold=0.020465597624654427；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
BdBuNAjyBwg5maJz77X2nnrSHoW2aaKCmiUieLLc39pi,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-16.28344811301986；hold=0.017606068643561613；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
CEurMntfZmTcK9jY36H3McZZpgQmeUS4BpDAg9nhbkbo,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=896.5392011606252；hold=0.015546576444527402；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
H2VZ6Z7jhvvpbXiDsiuPaHFK6iGvd6jpLpJ9zrQtdZtE,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=2370.2600329760016；hold=0.014309646735657567；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
4tA7jM2RgLHUpYsvTm6ECMZhbm3eo1HuCAhWSkhpabDL,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=71.96645658359989；hold=0.014246415896123034；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
8WY3DxcH66x7aE6kfMdbG2TQ5R9w4cZeFpXLnDLcW7Bm,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=804.3470529352501；hold=0.013947904263639456；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
GGZBCcTJi38HJweE6STT9suxTyTkXajvJNZD9A6fKzxM,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=63.512206159200105；hold=0.013646251772240896；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5su7cPhQDoCsAATeLWjW7HQwvbESxPNq9AEeUFPEEiMB,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=793.8528898539299；hold=0.01344901583511535；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
FudL15RmTVNBUnzwbMDB4uTXJKD5UBJEHVa6hDiEn6Wt,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-24.308587333479863；hold=0.013390479827566045；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5hoVDnpLd5tSABC88h15wkDRF8MZ925FwDPk1BH58hML,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-380.3018654310399；hold=0.01338642871972984；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
E4xiBtpGmYZkJ5QmUyrvUDknc5C4X4ATctB79xN4SWPN,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,"GMGN标签=transfer_in,top_holder；profit=-24.299164835940246；hold=0.013385289408168004；sell_ratio=0.0",仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
8BM67ie8bMqJ5VgJauig4t1iqZ54UD7ZQr1m9Sph2vBb,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-377.00347174143985；hold=0.013270326969964842；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
AdkSqawX4t3En6GTfKFGfsn9qLrvW3fTKSfSmzFhs7Ru,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-243.8269476520702；hold=0.013255283856199736；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
2xUGdmkvjA38TpncRMFvnXSEjqQFjQHBsQ78RxCmUjx5,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=25.513506528480093；hold=0.013116891010600214；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
GhP53KsuwFcWAmMksBZUbgnXcS4VkGZPm4DRA7vKiq8D,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-12.05196371670013；hold=0.012980790791953922；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
oKsXZAfq4Erxqxvsc43y1UvMMp8gBGrG5wwXj2ZRnjb,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-368.515997472；hold=0.012971572271011093；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
BPbtwYodYm85JsdrTH72p8FxYPWFfG4ZbXt457WrBtST,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=750.17136258249；hold=0.012952151960235806；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
6DCqBkYUVfigYq8FbRfNNavAjh7TTSYyH6yjDoa9U81s,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=763.818136685325；hold=0.012940183687332057；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
A3GmqajkKgU93U65FBXsFHVsLZXHVcUkRTmGV2cPqpFK,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-237.91918074339992；hold=0.012934117028313147；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
94fXaL7ZASLn7vjiACo5gpY7zSDMTgc11zhaPrAyS41C,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-367.08331188351985；hold=0.012921142480228355；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
8XkFpSQrEfWDmhvrh2X4YvsqRjYypJEMiugiSsNW1nXz,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-23.026423114360114；hold=0.012684194683299068；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
9MEVXE459CjqGHmfyfnTYBwzex53nL2BYz93qSReZ6rA,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-231.15588158892；hold=0.012566440481646313；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
AnoZcK92bSNoNqmnmvTVbLny9DMRx9VuLUeVHbXriBb3,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-11.65274530509987；hold=0.012550805205945644；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
AKU7QVNngjuoQ89FtbX6AYGHRL4FwqvmSjCRUNffEN28,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-22.646412644580323；hold=0.012474864438803758；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
58LtifpLGhejSwVcR3ibrWBrKnVGbYMSdpUTMaQBYTSH,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-35.45722257247985；hold=0.012156572397070565；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
FfsmcZHzXVi3522d72a1CsfyQRUmm2Kg72uuCw3ip14t,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=52.25710164617976；hold=0.011992345486758536；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
5P6Bbm5gArY5ZnvjbCx13gdGK6bThUybTjdEtCzU35v2,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,E3,GMGN标签=transfer_in；profit=-34.95966166454991；hold=0.011985982746771847；sell_ratio=0.0,仍持有,risk_watch,WINNING-DISTRIBUTION_SELLER-E3-DISTRIBUTION_SIDE,token_holders
