钱包地址,首次买入时间,买入延迟,所属时间窗口,买入金额,卖出金额,当前持仓,卖出占比,钱包角色,game_side,资金来源状态,原始证据引用
CpmyJCaQ7esp5gdnEAWgC62ZT8vokA3UPgz6ka2WJQsu,,,,,,0.1816857569641217,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8AUom4x7zpnYsCxMfVW4WDkjDEyNUfFiRBZwJMWVvYko,,,,,,0.01599386785743305,0.45476500588270635,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
D2eZgX5Q9tL3n1u52JgUTMaXs5sNiSTPJmnLzeh52RYU,,,,,,0.007520365592319486,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
E4d1uPTRByvUhSaMCSV4ckWGDjR4rQaLvMTZ4xYZAe71,,,,,,0.007114711677650442,0.16422700616823133,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5AugVvdXv5FutsKQPRsCk6nG1LFxPWAg5npwnpkTDpWn,,,,,,0.006439907467629842,0.08882445395951333,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5PSmbubE2s8gwm78yBSYueSywW8GCHLWYPs1nBL7gHt3,,,,,,0.006303429280272055,0.20559363490723032,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
UsQCuJEn12KR3JmAWEQdmWmubs1hhsdKnhjZoRqAYtD,,,,,,0.006088626385189264,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
6Fn78UAcveG4t5GseVbjtGk61qphF9p7FNmbUwPJpj3L,,,,,,0.005836929526582768,0.04958065905282845,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
66y9szjFZMvBNnukZv2t7NBd18UEjFd7ZYdrxK4mffWb,,,,,,0.005281033471186,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
5ShcuoFvfiaWzZBCdZtpM5ZpYa3UZsMaW7jdmVTXxafL,,,,,,0.005195513122656029,0.6261958921505274,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
ALQXF433Rs2BvibWrHndNVxSbyhBWRA79iGCPpSuXdx,,,,,,0.0050200931483679444,0.033908801727036274,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8wwenotKdcbj474eRSM1N9mTYpDoCWHRvsLebUEs2uMD,,,,,,0.004949752406558474,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
9oeQwGUJDGVX1V4Mbe7nC8PLf7ApSqtCV2gNYqpHPP2t,,,,,,0.004900189640291578,0.02267302855046456,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
Ee6tTLskvTD4JwSc5BisWNis7hU7fcRuHqEpqWfWfZiX,,,,,,0.0046143867787728846,0.12893355772101425,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
FHKA9d3fAyV9aLDDkydkJvjiP61tthdhyukaziC7Aia3,,,,,,0.004571702345554398,0.1456129493576468,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4YmxuY676tq5xHgVhQq39bGbU9hmNULb9SCu5wv2dCzL,,,,,,0.0044334241037440525,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
2y7gWZX4wHAZYPCX7bAvisHMv9w7Mg4kYn9tRGiZztGn,,,,,,0.004374273469859516,0.15873618048707647,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
EHzeamo1m8xHpN1q9YgACmDEDAVRmds7g7d6xoa5Ppdo,,,,,,0.004179414311455675,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
7WKcGZKwjQcqzwDSTi8ioNNfqbHj8pAnkEBTnPNF1yzQ,,,,,,0.004015299022005566,0.20757882503745004,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8WEnGw1Dga6b77cWy613GanDhGznVdcWCSBv95SG3Hgw,,,,,,0.0039139464784558944,0.49395211038700493,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4g1U9HMGntZrvoSnWENfYUJPaHA44BUk7C41NwquYWJR,,,,,,0.0039073271197149935,0.4785876929885154,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
4WWHELKgRv7EyZTMVHVboNsXQYmZNdxQ91a3c2cq4oUP,,,,,,0.003902582403788806,0.2837552025045408,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
cD5954pPB11nhZVTDbgtjyojhz4wy75nBcLBDzcx88N,,,,,,0.0036984493908053346,0.1930125091687634,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
CNgNZaJnq66sk23CMMnCUPji8has9JKDVYg88agBvMeT,,,,,,0.0036336708652631674,0.2731058843203907,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
E2rh1xeyEu4V55mTZKW4eNRpgRPmfUGVnTvTPF4GtwNu,,,,,,0.003592655053129344,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
743FhyCsQf95mEru1zT3JCL262kiye7Q7KY45RkLDqGX,,,,,,0.0033940856354471717,0.0,DISTRIBUTION_SELLER,DISTRIBUTION_SIDE,资金待查,token_holders
9foNETyvfduL7cM6RqyzyJ3Mnds5TwrDkPtu4VpYp78M,,,,,,0.0033003358546673067,0.48160956413201134,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
8zq9m1ghQidG28DCq52RXAH8g6g2vfrzzcvTM1xeDYNJ,,,,,,0.0032799349045753534,0.1457309381146421,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
HZ3MgrVjEjQLQyZVXCU6tCpzk4An9iUcp7odkqA9pLV1,,,,,,0.0032587384439000107,0.0,RETAIL_NOISE,NOISE_SIDE,资金待查,token_holders
E4kHx1TKz5moHRANQ1HKtoBRvWyzU3BmVh7xpbrqYibv,,,,,,0.0029818448432243558,0.0,EARLY_BUYER,STRUCTURE_SIDE,资金待查,token_holders
