address,gmgn_note,reason,action
CpmyJCaQ7esp5gdnEAWgC62ZT8vokA3UPgz6ka2WJQsu,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=0.0；hold=0.1816857569641217；sell_ratio=0.0,risk_watch
8AUom4x7zpnYsCxMfVW4WDkjDEyNUfFiRBZwJMWVvYko,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-12828.742812326132；hold=0.01599386785743305；sell_ratio=0.45476500588270635,risk_watch
D2eZgX5Q9tL3n1u52JgUTMaXs5sNiSTPJmnLzeh52RYU,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-8575.45847457595；hold=0.007520365592319486；sell_ratio=0.0,risk_watch
E4d1uPTRByvUhSaMCSV4ckWGDjR4rQaLvMTZ4xYZAe71,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-6813.502967201728；hold=0.007114711677650442；sell_ratio=0.16422700616823133,risk_watch
5AugVvdXv5FutsKQPRsCk6nG1LFxPWAg5npwnpkTDpWn,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-5686.08314599941；hold=0.006439907467629842；sell_ratio=0.08882445395951333,risk_watch
5PSmbubE2s8gwm78yBSYueSywW8GCHLWYPs1nBL7gHt3,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-5471.140380422434；hold=0.006303429280272055；sell_ratio=0.20559363490723032,risk_watch
UsQCuJEn12KR3JmAWEQdmWmubs1hhsdKnhjZoRqAYtD,NKT-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=-6935.173246946698；hold=0.006088626385189264；sell_ratio=0.0",risk_watch
6Fn78UAcveG4t5GseVbjtGk61qphF9p7FNmbUwPJpj3L,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-7353.043935820291；hold=0.005836929526582768；sell_ratio=0.04958065905282845,risk_watch
66y9szjFZMvBNnukZv2t7NBd18UEjFd7ZYdrxK4mffWb,NKT-RETAIL_NOISE-E1-NOISE_SIDE,GMGN标签=top_holder；profit=-4653.980329669293；hold=0.005281033471186；sell_ratio=0.0,risk_watch
5ShcuoFvfiaWzZBCdZtpM5ZpYa3UZsMaW7jdmVTXxafL,NKT-RETAIL_NOISE-E1-NOISE_SIDE,"GMGN标签=top_holder,bundler；profit=-4829.489847474228；hold=0.005195513122656029；sell_ratio=0.6261958921505274",risk_watch
