钱包地址,钱包角色,game_side,证据等级,筹码解释,当前状态,处理动作,GMGN备注,原始证据引用
GsVbrzdUrurGvg6Ka3BiBKis3DKYnLv833ycfkNRrJWA,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=0.0；hold=0.086120656421588；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
8EEpQyd7qhAY9uFXdpAyjwfZXXKhZBtFykvvDEGUr35S,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=sniper,dev_team,top_holder,bundler；profit=25100.916079068724；hold=0.054921759292785；sell_ratio=0.5627383821384393",仍持有,risk_watch,RCF-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
HF4E4GgCAwrAkKcadbAc5wHvuV6VCadPkrZKAobCHgPW,EARLY_BUYER,STRUCTURE_SIDE,E2,"GMGN标签=sniper,dev_team,top_holder,bundler；profit=12028.712324013539；hold=0.039747826721841；sell_ratio=0.4405175292984313",仍持有,risk_watch,RCF-EARLY_BUYER-E2-STRUCTURE_SIDE,token_holders
jaZHPqkFGgXHYFytEHopUTk3XqS8VpudUDnLJv97x3i,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=1199.0654803406132；hold=0.008973392213737；sell_ratio=0.19999999999998216,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
Bq5sjcUGt1YjopoLCtpTDQrwchXAo1KeE9pkErGPBNqu,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-54.07861448424728；hold=0.004303694576078；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
JcpLXyYcT5uwoNvDBjd2sriWcnU67HBJNZueMPGDqdq,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=5.8205612031824785；hold=0.004263889348057；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
97BUVXWeohA1z79UnBHfnTx2gkBbEjkt4FR1xoLzGcY7,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=407.7965635589053；hold=0.004177658650833；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
F5XWc62SE1KqPA9QaSXdMWJaXrvu4rEaL2bFFdXj8DLC,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=158.35342323569432；hold=0.003905183273139；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_traders
9ugCpnSNPyhvQMgw9qvTMUTTQjzQovNN7yXDDaSmsnc1,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=-195.1450560902058；hold=0.0038399327305220004；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
BHcypcAbKmT2TyBcgi6346jtD7SUieC5txiYJJN36oK9,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=283.6468331235753；hold=0.003751085102276；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
C253fALNhcuLBA55zq8bst3n8SzSno4azcK8jKSkL4zY,RETAIL_NOISE,NOISE_SIDE,E1,GMGN标签=top_holder；profit=270.6640003547643；hold=0.003448292571949；sell_ratio=0.0,仍持有,risk_watch,RCF-RETAIL_NOISE-E1-NOISE_SIDE,token_holders
